evolve	 [iˈvɒlv]	vt. 	使发展；使进化；设计，制订出；发出，散发
subordinate	 [səˈbɔ:dɪnət]	adj. 	级别或职位较低的；下级的；次要的；附属的
		n. 	部属；部下，下级
		vt. 	使…居下位，使在次级；使服从；使从属
subside	 [səbˈsaɪd]	vi. 	减弱，平息；（洪水）退去，（热度）消退；沉下去；坐下
subsidize	 [ˈsʌbsɪdaɪz]	vt. 	以津贴补助；以金钱收买；向…发放奖金；用贿赂拉拢
suffice	 [səˈfaɪs]	vi. 	足够；有能力
		vt. 	满足…的需要；使满足
superficial	 [ˌsu:pəˈfɪʃl]	adj. 	表面（上）的；肤浅的，缺乏深度的；一知半解的
superimpose	 [ˌsu:pərɪmˈpəʊz]	vt. 	添加；附加
suppress	 [səˈpres]	vt. 	镇压，压制；止住，忍住；禁止发表；阻止…的生长（或发展）
suspend	 [səˈspend]	v. 	暂停；延缓；挂；悬
sustain	 [səˈsteɪn]	vt. 	维持；支撑，支持；遭受，忍受；供养
sweat	 [swet]	vi. 	流汗，渗出；发酵；做苦工；〈非〉烦恼，焦急
		vt. 	使出汗；使流出，使排出；使过度工作；逼问
		n. 	汗水；湿气；繁重、耗力的劳动；担心，焦虑
symptom	 [ˈsɪmptəm]	n. 	症状；征兆
synthetic	 [sɪnˈθetɪk]	adj. 	合成的；人造的；摹拟的，虚构的；[语]综合的
		n. 	合成物；合成纤维；合成剂
telescope	 [ˈtelɪskəʊp]	n. 	望远镜
		vt.& vi. 	（使某物）变短（叠缩在一起）；（使某物）叠缩，嵌入
		vt. 	压缩某物使其少占空间或时间
tense	 [tens]	adj. 	拉紧的；肌肉绷紧的；神经紧张的；[语]（语音）紧的
		n. 	[语]时，时态；〈古〉时间
		v. 	使或变的紧张
tentative	 [ˈtentətɪv]	adj. 	试探性的；试验的；尝试性的；不确定的
		n. 	假设；实验；尝试
terminology	 [ˌtɜ:mɪˈnɒlədʒi]	n. 	专门名词；术语，术语学；用辞
texture	 [ˈtekstʃə(r)]	n. 	质地；结构；本质
		v. 	使具有某种结构
theft	 [θeft]	n. 	偷盗，偷窃；被盗，失窃；盗窃之物，赃物；失窃案例
theorem	 [ˈθɪərəm]	n. 	[数] 定理；（能证明的）一般原理，公理，定律，法则
tolerate	 [ˈtɒləreɪt]	vt. 	容许；承认；忍受；容忍（不同意或不喜欢的事物）
topic	 [ˈtɒpɪk]	n. 	主题；话题，论题；标题，细目
trait	 [treɪt]	n. 	特点，特性；少许
transact	 [trænˈzækt]	vt. 	办理（业务等）
		v. 	交易，谈判
transform	 [trænsˈfɔ:m]	vt. 	改变；改观；变换
		vi. 	改变
		n. 	[数]变换式
transmit	 [trænsˈmɪt]	vt. 	传输；传送，传递；发射；传染
		vi. 	发送信号
transparent	 [trænsˈpærənt]	adj. 	透明的；清澈的；易识破的；显而易见的
transport	 [ˈtrænspɔ:t]	vt. 	运送，运输；流放；使欣喜若狂
		n. 	运输；运输船（机），运输系统；狂喜；流放犯
triangle	 [ˈtraɪæŋgl]	n. 	三角形；三人一组；三角铁；三角板
trivial	 [ˈtrɪviəl]	adj. 	琐碎的，无价值的；平常的，平凡的；不重要的；[生]种的
tropical	 [ˈtrɒpɪkl]	adj. 	热带的；炎热的；热情的
undergo	 [ˌʌndəˈgəʊ]	vt. 	经历，经验；遭受，承受
underlie	 [ˌʌndəˈlaɪ]	vt. 	位于或存在于（某物）之下；构成…的基础（或起因）；[经]构成优先于…的财政要求
undertake	 [ˌʌndəˈteɪk]	vt. 	承担，从事；保证；同意，答应；承诺
unduly	 [ˌʌnˈdju:li]	adv. 	不适当地；过分地；过度地；不相称地
upsurge	 [ˈʌpsɜ:dʒ]	n. 	高潮；高涨
		vi. 	高涨；涌起
usage	 [ˈju:sɪdʒ]	n. 	使用；用法；习惯；惯例
utilize	 [ˈju:təlaɪz]	vt. 	利用，使用
utter	 [ˈʌtə(r)]	vt. 	发出声音；说，讲；出版（书籍）等；[法]流通使用
		adj. 	彻底的，完全的，绝对的
verify	 [ˈverɪfaɪ]	vt. 	核实；证明；判定
vertical	 [ˈvɜ:tɪkl]	adj. 	垂直的，竖立的；[解]头顶的；顶点的；[植]纵长的，直上的
		n. 	垂直线，垂直面；[建]竖杆；垂直位置
vibrate	 [vaɪˈbreɪt]	vt.& vi. 	（使）振动[颤动]；摆动；犹豫；激动
violate	 [ˈvaɪəleɪt]	vt. 	违反；妨碍；侵犯；亵渎，强奸
virtual	 [ˈvɜ:tʃuəl]	adj. 	实质上的，事实上的；（计算机）虚拟的；有效的，虚像的；（粒子）实际存在的
vocabulary	 [vəˈkæbjələri]	n. 	（某一语言的）词汇；（尤指外语教科书中附有释义的）词汇表
volt	 [vəʊlt]	n. 	伏特；[马术]环骑；[剑]闪避
withdraw	 [wɪðˈdrɔ:]	vt. 	撤走；拿走；撤退；（从银行） 取 （钱）
		vi. 	撤退；（从活动或组织中） 退出
x-ray	 [ˈeksrei]	n. 	X光照片
		vt. 	照X光
crew	 [kru:]	n. 	全体船员；全体乘务员；一群，一帮
		vt. 	当（尤指船上的）工作人员；当（尤指船上的）工作人员
		vi. 	当船员；当机务人员
tip	 [tɪp]	n. 	小窍门；小费；末梢
		vt. 	给小费；倾斜，翻倒；装顶端
		vi. 	给小费；翻倒；倾覆
equipped	 [ɪk'wɪpt]	 	装备的
managed	 [ˈmænɪdʒd]	v. 	使用( manage的过去式和过去分词 )；完成（困难的事）；经营；明智地使用（金钱、时间、信息等）
classic	 [ˈklæsɪk]	adj. 	典型的；传统式样的；著名的；有趣的
		n. 	文豪；文学名著；优秀的典范；古希腊与古罗马的文化研究（尤指对其语言与文学的研究）
kinds	 [kaɪndz]	n. 	种类( kind的名词复数 )；类型；一类人（或事物）；本质
occupied	 [ˈɒkjupaɪd]	adj. 	已占用的，在使用的，无空闲的
		v. 	占领( occupy的过去式和过去分词 )；使用；使从事；任职
outlook	 [ˈaʊtlʊk]	n. 	前景，展望；观点，见解；景色；眺望处
		v. 	瞪着看，瞧；比…漂亮；用目光压倒
fortunate	 [ˈfɔ:tʃənət]	adj. 	侥幸的，幸运的；带来幸运的，吉利的
		n. 	有好运的人
characters	 ['kærɪktəz]	n. 	[计] 字符；（令人讨厌的或古怪的）人( character的名词复数 )；特征；品质；人物
passenger	 [ˈpæsɪndʒə(r)]	n. 	乘客，旅客；行人，过路人；碍手碍脚的人
substantially	 [səbˈstænʃəli]	adv. 	本质上，实质上；大体上；充分地；相当多地
desirable	 [dɪˈzaɪərəbl]	adj. 	令人满意的；值得拥有的；可取的；性感的
		n. 	称心如意的人[东西]
conclusions	 [kənk'lu:ʒnz]	n. 	结束( conclusion的名词复数 )；结论；推论；签订
bowl	 [bəʊl]	n. 	碗；一碗东西；碗状物；[体]木球
		vi. 	参加保龄球赛；[体]投球；[体]玩滚木球；稳而快地行驶
		vt. 	投掷或滚动（球）；滚球得分；表演保龄球；打倒，撞击
patients	 ['peɪʃənts]	n. 	患者( patient的名词复数 )；接受治疗者；受动着；承受者
ratio	 [ˈreɪʃiəʊ]	n. 	比，比率；比例；系数
		vt. 	求出比值，除，使…成比例；将（相片）按比例放大[缩小]
Spanish	 [ˈspænɪʃ]	adj. 	西班牙的；西班牙人的；西班牙语的；西班牙式的
		n. 	西班牙语；西班牙人；〈美〉新墨西哥州的别名；[地名] [加拿大] 西班牙村
stored	 [stɔ:d]	 	存信息的
shell	 [ʃel]	n. 	（贝、卵、坚果等的）壳；外壳；炮弹；（人的）表面性格
		vt. 	去壳，脱落；炮击
		vi. 	剥皮；炮轰
columns	 ['kɒləm]	n. 	柱( column的名词复数 )；纵队；栏；（舰队的）纵列
scientists	 ['saɪəntɪsts]	n. 	科学家( scientist的名词复数 )
dressed	 [drest]	adj. 	打扮好的，穿着衣服的；（畜、禽、鱼）剥皮（或去毛、鳞）、去内脏及分割加工好的；动词dress的过去式和过去分词
fault	 [fɔ:lt]	n. 	缺点，缺陷；过错，责任；[电]故障；（猎狗的）失去嗅迹
		vt. 	挑剔，找…的缺点；批评；做错，在…中出错；[地质学]产生断层
		vi. 	找错误，挑剔；[地质学]变动从而产生断层
similarly	 [ˈsɪmələli]	adv. 	相似地；类似地
accuracy	 [ˈækjərəsi]	n. 	精确（性），准确（性）
variable	 [ˈveəriəbl]	adj. 	变化的，可变的；[数]变量的；[生]变异的
		n. 	可变因素，变量；易变的东西
rent	 [rent]	n. 	租金；地租；（意见等的）分裂，分歧；（衣服等的）裂缝
		vt.& vi. 	出租；付地租；“rend”的过去式和过去分词；租借
		adj. 	撕碎的；分裂的
Smiling	 ['smaɪlɪŋ]	adj. 	微笑的，风景明媚的，喜气洋洋的
		v. 	以微笑表示( smile的现在分词 )
symbols	 ['sɪmbəls]	n. 	象征( symbol的名词复数 )；标志；符号；记号
Forty	 [ˈfɔ:ti]	n. 	四十；四十几
		adj. 	四十的
plaster	 [ˈplɑ:stə(r)]	n. 	灰泥，涂墙泥；石膏；膏药
		vt. 	涂以灰泥；在…上敷贴膏药；减轻；黏贴
coating	 [ˈkəʊtɪŋ]	n. 	涂层，覆盖层；（食品上的）面衣，糖衣，涂料；外衣布料上衣料，细呢，花呢
		v. 	给…穿上外衣；覆盖；“coat”的现在分词
affect	 [əˈfekt]	vt. 	影响；假装；感动；（疾病）侵袭
		n. 	感情，情感，心情；[精神病学]（表露或觉察到的）情绪反应
dirty	 [ˈdɜ:ti]	adj. 	恶劣的；肮脏的；卑劣的；下流的
		vt. 	弄脏，污染；使名声受玷污
		vi. 	变脏，污染
resist	 [rɪˈzɪst]	v. 	抵抗，抗拒；忍耐；反对，抵制
		n. 	防染剂；防腐剂
BINOMIAL	 [baɪˈnəʊmiəl]	adj. 	二项的，二项式的
joke	 [dʒəʊk]	n. 	笑话，玩笑；笑柄，笑料
		vt.& vi. 	开玩笑；戏弄；闹着玩；说着玩
tape	 [teɪp]	n. 	带子；胶带，磁带；卷尺
		vt. 	用带子捆起来；录音
		vt.& vi. 	录音
Atlanta	 [ætˈlæntə]	n. 	亚特兰大（美国佐治亚州首府）
rush	 [rʌʃ]	vi. 	（使）急速行进，仓促完成；猛攻；急速流动，奔腾
		vt. 	突袭；（使）仓促行事；催促；（为物色、招募目的）特别关注
		n. 	冲；匆忙；繁忙的活动；涌动
urged	 ['ɜ:dʒd]	v. 	力劝( urge的过去式和过去分词 )；强烈要求；推进；驱策
counties		n. 	郡，县( county的名词复数 )
orange	 [ˈɒrɪndʒ]	n. 	桔子，橙子；[植]桔树；橙色；桔色
		adj. 	橙色的；橘色的；桔红色的
dare	 [deə(r)]	vt. 	敢；敢做；激（某人做某事）；问（某人）有没有胆量（做某事）
		vi. 	敢；敢于；大胆；无畏于
		aux. 	敢，竟敢
		n. 	激将，挑战
September	 [sepˈtembə(r)]	n. 	九月；[电影]情怀九月天
Wednesday	 [ˈwenzdeɪ]	n. 	星期三
Harry		 	（常作 old Harry ）恶魔，恶鬼
		 	[男子名] [英格兰人姓氏] 哈里 Henry的变体
accurate	 [ˈækjərət]	adj. 	精确的，准确的；正确无误的
Revenue		 	[地名] [加拿大] 勒沃纽
sounded	 ['saʊndɪd]	v. 	（使）发出声音，响( sound的过去式和过去分词 )；发（音）；试探；探测
Clark		 	[男子名] [英格兰人姓氏] 克拉克职业名称，来源于古英语，含义是“牧师”(priest)；[地名] [菲律宾、美国] 克拉克
bench	 [bentʃ]	n. 	（木制）长凳，工作台；法官，法官席；（英国议会的）议员席；场边的运动员休息区
		vt. 	给…以席位；为…设置条凳
latest	 [ˈleɪtɪst]	n. 	最新事物；最新消息
		adj. 	最近的；最新的；最现代的
context	 [ˈkɒntekst]	n. 	上下文；背景；环境；语境
nationalism	 [ˈnæʃnəlɪzəm]	n. 	爱国主义，爱国心；民族主义；国家主义；民族特性
myth	 [mɪθ]	n. 	神话；神怪故事；奇人，奇事；虚构的人，虚构的事
		v. 	使神话化
sequence	 [ˈsi:kwəns]	n. 	[数]数列，序列；顺序；连续；片断插曲
		vt. 	使按顺序排列，安排顺序；[生化]确定…的顺序，确定…的化学结构序列
vehicle	 [ˈvi:əkl]	n. 	车辆；交通工具；传播媒介，媒介物；[药]赋形剂
sheep	 [ʃi:p]	n. 	羊，绵羊；胆小鬼；易受人摆布的人；缺乏主见或轻易盲从的人
stores	 [s'tɔ:z]	n. 	商店( store的名词复数 )；贮存；大量；零售商店
wealth	 [welθ]	n. 	财产，财富；富豪（阶级）；丰富，大量；繁荣
alternative	 [ɔ:lˈtɜ:nətɪv]	adj. 	替代的；备选的；其他的；另类的
		n. 	可供选择的事物
retired	 [rɪˈtaɪəd]	adj. 	退休的，退职的，退役的；偏远的，幽静的；与世隔绝的
		n. 	退休
		v. 	退职，退役，（使）退休( retire的过去式)
lumber	 [ˈlʌmbə(r)]	n. 	木材；隆隆声；废物
		vt.& vi. 	砍伐；笨重地行进；胡乱堆积
dispute	 [dɪˈspju:t]	vt.& vi. 	辩论，争论
		vt. 	就…进行争论，辩论；对…的真实或有效进行争论，怀疑；争夺，竞争；抵抗，抵制
		n. 	辩论；争端；（劳资）纠纷；罢工
		vi. 	激烈争辩；争执；争吵；吵架
convenient	 [kənˈvi:niənt]	adj. 	方便的；[废语]适当的；[口语]近便的；实用的
returning		v. 	返回，回来( return的现在分词 )；恢复；还；归还
genuine	 [ˈdʒenjuɪn]	adj. 	真正的；坦率的，真诚的；血统纯粹的，纯种的；[医学]真性的
Virgin	 ['vɜ:dʒɪn]	 	[地名] [美国] 维尔京
performed		v. 	执行( perform的过去式和过去分词 )；履行；表演；扮演
moderate	 [ˈmɒdərət]	adj. 	有节制的；稳健的，温和的；适度的，中等的；慢吞吞的
		vt. 	使和缓；主持；节制
		vi. 	变缓和；作主持人
claimed		v. 	要求（应得权利）( claim的过去式和过去分词 )；声称；需要；夺走
solve	 [sɒlv]	vt. 	解决；解答；解释；清偿（债务）
Pat		 	帕特（男子名， Patrick的昵称）
		 	[女子名] 帕特 Martha,Patricia等的昵称；[男子名] 帕特 Patrick的昵称
jumped		v. 	跳( jump的过去式和过去分词 )；跳过；快速移动；（因吃惊、害怕或激动而）猛地一动
Jane	 [dʒeɪn]	n. 	简（女子名）
bombs		n. 	炸弹( bomb的名词复数 )；彻底的失败
		v. 	轰炸，投弹于( bomb的第三人称单数 )；失败，不及格；快速前进
Stanley	 [ˈstænli]	n. 	斯坦利（男子名）
imitation	 [ˌɪmɪˈteɪʃn]	n. 	模仿，仿效；仿制品；赝品；[生]拟态
		adj. 	人造的；仿制的
penny	 [ˈpeni]	n. 	便士；（美国、加拿大的）一分钱；少量的钱
grade	 [greɪd]	n. 	等级；职别；成绩等级；年级
		vt. 	安排；依序排列，依等级排列；评估；评分
		vi. 	属于…等级；缓缓地变化或发展
engineers		n. 	工程师( engineer的名词复数 )；设计师；机修工；工兵
certainty	 [ˈsɜ:tnti]	n. 	确定性，确实性；确定的事，必然的事
eggs	 [egz]	n. 	卵( egg的名词复数 )；蛋；卵子；卵细胞
Sciences		n. 	科学( science的名词复数 )；科学研究；自然科学的学习与研究；理科
vary	 [ˈveəri]	vi. 	变化；不同，偏离；[生]变异
		vt. 	使不同；使多样化；[音乐]变奏
emotion	 [ɪˈməʊʃn]	n. 	情感，感情；情绪；感动，激动
installed	 [ɪns'tɔ:ld]	v. 	安装( install的过去式和过去分词 )；安顿；安置；使…正式就职
Presently	 [ˈprezntli]	adv. 	目前；不久；马上
routine	 [ru:ˈti:n]	n. 	常规；例行程序；生活乏味；（演出中的）一套动作
		adj. 	例行的；常规的；日常的；普通的
output	 [ˈaʊtpʊt]	n. 	产量；输出；作品；[计]输出信号
		vt. 	输出
adjustment	 [əˈdʒʌstmənt]	n. 	调解，调整；调节器；调解，调停；（赔偿损失的）清算
beam	 [bi:m]	n. 	梁，栋梁；束；光线；（电波的）波束
		vi. 	发出光与热；面露喜色
		vt. 	播送；以梁支撑；用…照射；流露
		vt.& vi. 	笑容满面，眉开眼笑；发射电波，播送；放出束状的光（或热）
dignity	 [ˈdɪgnəti]	n. 	尊严；高尚；自豪；自尊
isolated	 [ˈaɪsəleɪtɪd]	adj. 	隔离的；孤独的；单独的；偏远的
		v. 	使隔离(isolate的过去式和过去分词)；使孤立；使绝缘；脱离
loud	 [laʊd]	adj. 	响亮的，大声的，高声的；响亮的，洪亮的，高亢的；高声的，激烈的；刺眼的，太招摇的
		adv. 	大声地，高声地，响亮地
washed	 [wɒʃt]	adj. 	洗过的
		v. 	洗( wash的过去式和过去分词 )；洗涤；冲；（向着某一方向）流动
desert	 [ˈdezət]	n. 	沙漠；荒地；应得的赏罚；功劳，美德
		adj. 	沙漠的；荒芜的，不毛的；无人的
		v. 	丢开，抛弃；擅离职守；逃亡，逃走；开小差
producing	 [prə'dju:sɪŋ]	n. 	生产的
		v. 	生产( produce的现在分词 )；产生；制作；创作
slide	 [slaɪd]	vi. 	滑落；下跌；打滑；[棒球]滑垒
		vt. 	衰落（成）；逐渐降低；使悄悄转动；（使）快捷而悄声地移动
		n. 	幻灯片；降低
divine	 [dɪˈvaɪn]	adj. 	神的， 天赐的；极好的；神圣的
		vt.&vi. 	占卜，预言；猜测， 预测；（用丫形杖）探测（地下水）
		n. 	牧师；神学家
instructions		n. 	操作指南；用法说明；指示；命令( instruction的名词复数 )；（计算机的）指令；教导；教诲
		adj. 	说明用法的，操作指南的
abstract	 [ˈæbstrækt]	adj. 	抽象的，理论上的；难解的；抽象派的；茫然的
		n. 	抽象概念；抽象派艺术作品；摘要；[化]萃取物
		vt. 	提取，分离；转移（注意等）；概括，摘录；剽窃
phenomenon	 [fəˈnɒmɪnən]	n. 	现象，事件；奇迹；非凡的人
empire	 [ˈempaɪə(r)]	n. 	帝国，帝国领土；帝权，君权，最高统治权；大企业组织
		adj. 	新古典风格的
symbolic	 [sɪmˈbɒlɪk]	adj. 	象征的，象征性的
disappeared	 [dɪsə'pɪəd]	v. 	不见，消失( disappear的过去式和过去分词 )；不复存在；奭
calculated	 [ˈkælkjuleɪtɪd]	adj. 	计算出的；有计划的；适当的；适合的
		v. 	计算(calculate的过去式和过去分词)
neat	 [ni:t]	adj. 	整洁的，干净的；灵巧的；匀整的；未搀水的
glory	 [ˈglɔ:ri]	n. 	光荣，荣誉；壮观，壮丽；（对上帝的）赞颂；非常美的事物
		vi. 	得意，自豪；骄傲
aunt	 [ɑ:nt]	n. 	阿姨；姨母，姑妈；舅妈；婶娘
patent	 [ˈpætnt]	n. 	专利；专利品；专利权；专利证
		adj. 	专利的；显然，显露；明摆着的
		vt. 	获得…专利，给予…专利权；取得专利权
Matsuo		 	[地名] [日本] 松尾
loyalty	 [ˈlɔɪəlti]	n. 	忠诚，忠实；忠心；忠于…感情
candidate	 [ˈkændɪdət]	n. 	报考者；申请求职者；攻读学位者；最后命运或结局如何已显然可见者
interview	 [ˈɪntəvju:]	n. 	接见；采访；面试；会谈
		vt.& vi. 	面试
		vt. 	采访；访问；会见；（私下）提问
shortly	 [ˈʃɔ:tli]	adv. 	立刻，马上；简单地，扼要地；唐突地，简慢地；在即
sending	 ['sendɪŋ]	n. 	发送，派遣，发射
		v. 	送( send的现在分词 )；使作出（某种反应）；派遣；使进入（某状态）
senior	 [ˈsi:niə(r)]	adj. 	（级别、地位等）较高的；资深的；年长的；最高年级的
		n. 	上级；毕业班学生；较年长者；地位较高的，资历较深的
receiving	 [rɪ'si:vɪŋ]	n. 	接受；收款，收货
		adj. 	接受的
		v. 	收到( receive的现在分词 )；接到；接纳；接待
tied	 [taɪd]	v. 	（用线、绳等）系( tie的过去式和过去分词 )
Presidential	 [ˌprezɪ'denʃl]	adj. 	总统[总裁，议长，董事长，校长等]（职务）的；统辖的，支配的，监督的，指挥的；总统制的；有总统气派的
facing	 [ˈfeɪsɪŋ]	n. 	饰面，覆盖（如墙壁的）表面的覆饰；（衣服的）贴边
		v. 	面对( face的现在分词 )；面向…；正视；承认
Canada	 ['kænədə]	n. 	加拿大
raising	 [ˈreɪzɪŋ]	n. 	增加；提高；高岗；高地
		v. 	引起（ raise的现在分词 ）；养育；提起；唤起
Harvard	 [ˈhɑ:vəd]	 	美国哈佛大学
exposed	 [ɪkˈspəʊzd]	adj. 	裸露的，暴露的
		v. 	揭露；暴露
financing		n. 	筹措资金；理财；筹集资金；融资
		v. 	为…供给资金，从事金融活动( finance的现在分词 )
bigger	 [bɪgə]	adj. 	大的，长大的；大的( big的比较级 )；重要的；（计划） 庞大的；大方的
ownership	 [ˈəʊnəʃɪp]	n. 	物主身份；所有权；所有制；所有
precise	 [prɪˈsaɪs]	adj. 	清晰的；精确的；正规的；精密
reporters		n. 	记者( reporter的名词复数 )
Johnson	 [ˈdʒɔnsn]	n. 	詹森，约翰逊
repair	 [rɪˈpeə(r)]	vt. 	修理；纠正；恢复；弥补
		n. 	修理；修理工作；维修状态；经修理的东西
badly	 [ˈbædli]	adv. 	非常，在很大程度上；坏，拙劣地；不利地，有害地
scheme	 [ski:m]	vt.& vi. 	策划，图谋
		n. 	计划；体系；阴谋
		vt. 	设计，计划；谋划，图谋
		vi. 	密谋，制定计划
stiff	 [stɪf]	adj. 	严厉的；僵硬的，坚硬的；呆板的，拘谨的；顽固的
		adv. 	极度地，非常
		n. 	死尸；笨蛋，傻瓜；流动工人；吝啬鬼穷光蛋
		vt. 	诈骗；失信
currently	 [ˈkʌrəntli]	adv. 	当前，目前；通常，一般，现在；容易，流畅；普遍地
Samuel	 [ˈsæmjuəl]	n. 	塞缪尔（男子名）
		 	[男子名] [英格兰人姓氏] 塞缪尔来源于希伯来语，含义是“太阳的侍从”(sun’s mann) 昵称Sam,Sammie,Sammy
Lee		 	含义：来自牧场之人；[人名] [英格兰人姓氏] 李地貌名称，源中世纪英语、古英语，含义是“树林，开垦地”(wood,clearing)；[人名] [英格兰人姓氏] 李住所名称，来源于古英语，含义是“树林，开垦地”(wood,clearing)；[人名] [爱尔兰姓氏] 李盖尔语姓氏的英语形式，来源于人名，含义是“诗人”(poet)
realistic	 [ˌri:əˈlɪstɪk]	adj. 	现实的；[艺] 现实主义的，[哲]实在论（者）的；逼真的；栩栩如生的
golf	 [gɒlf]	n. 	高尔夫球；高尔夫球运动
		vi. 	打高尔夫球
thermal	 [ˈθɜ:ml]	adj. 	热的，保热的；温热的
		n. 	上升的暖气流
arrangement	 [əˈreɪndʒmənt]	n. 	安排；排列；约定；改编
bold	 [bəʊld]	adj. 	明显的，醒目的；勇敢的，无畏的；莽撞的；陡峭的
		n. 	粗体字；黑体字
elaborate	 [ɪˈlæbərət]	vi. 	详尽说明；变得复杂
		vt. 	详细制定；详尽阐述；[生理学]加工；尽心竭力地做
		adj. 	复杂的；精心制作的；（结构）复杂的；精巧的
logical	 [ˈlɒdʒɪkl]	adj. 	逻辑（上）的；符合逻辑的；推理正确的；合乎常理的
debate	 [dɪˈbeɪt]	n. 	讨论；辩论；争论；辩论
		vt.& vi. 	辩论；仔细考虑；思考；盘算
owned	 [əʊnd]	adj. 	自身拥有的
		v. 	承认( own的过去式和过去分词 )；拥有；服从于；认领
Metropolitan	 [ˌmetrəˈpɒlɪtən]	adj. 	大都会的；大城市的；宗主国的；大主教教区的
		n. 	大城市人；大主教；宗主国的公民；有大城市气派的人
patience	 [ˈpeɪʃns]	n. 	耐心，耐性；忍耐；单人纸牌游戏
worst	 [wɜ:st]	adj. 	最差的；最严重的；最令人不满的；最糟的
		n. 	最坏的事情；最严重的事
		adv. 	最坏；最糟；最严重
		vt. 	胜过，击败
folk	 [fəʊk]	n. 	民族；人们；〈口〉家属，亲戚；民间音乐
		adj. 	民间的；普通平民的；流传民间的；普通百姓的
beer	 [bɪə(r)]	n. 	啤酒，麦酒；（一般）发酵饮料；[印，纺]比尔
crop	 [krɒp]	n. 	农作物；产量；庄稼；平头
		vt. 	种植；收割；修剪；剪短
		vi. 	收成；收获
roles	 ['rəʊlz]	n. 	作用( role的名词复数 )；地位；角色
soap	 [səʊp]	n. 	肥皂；肥皂剧；[化]皂，脂肪酸盐
		vt. 	抹肥皂；用肥皂擦洗；拍…的马屁，吹捧（某人）
		vi. 	用肥皂擦洗
tells		v. 	表明( tell的第三人称单数 )；讲；知道；讲述
transition	 [trænˈzɪʃn]	n. 	过渡，转变，变迁；[语]转换；[乐]变调
backward	 [ˈbækwəd]	adj. 	向后的；反向的；怯生生的；落后的
		adv. 	向后地；相反地；回溯地
crazy	 [ˈkreɪzi]	adj. 	疯狂的；不理智的；离奇的；生气的
		n. 	[俚语]疯子，怪人，政治狂人（尤指政治上持激进或极端主义态度、行为异常、不可思议的人）
autumn	 [ˈɔ:təm]	n. 	秋；秋天；成熟期；渐衰期
		adj. 	秋天的；秋季的
duties	 [dj:tɪs]	n. 	关税；责任；上班；职责；职责( duty的名词复数 )；义务；本分；税收
temporary	 [ˈtemprəri]	adj. 	临时的，暂时的；短暂的
		n. 	临时工，临时雇员
border	 [ˈbɔ:də(r)]	n. 	边；镶边；包边；边界
		vt.& vi. 	与…接界，在…的边上
		vt. 	沿…的边，环绕…，给…镶边
		vi. 	近似，毗邻
decades		n. 	十年，十年间( decade的名词复数 )
visible	 [ˈvɪzəbl]	adj. 	看得见的；明显的，显然的；手头的，可得到的；可察觉到的
swept	 [swept]	v. 	扫( sweep的过去式和过去分词 )；扫视；蜿蜒；步态轻盈地走
despair	 [dɪˈspeə(r)]	n. 	绝望；使人绝望的人（或事物）
		vi. 	绝望
suitable	 [ˈsu:təbl]	adj. 	合适的，适当的，适宜的，恰当的
hunting	 [ˈhʌntɪŋ]	n. 	打猎；搜索，追寻；[电]（同步电动机的）速度偏差
		v. 	打猎(hunt的现在分词)
Italy	 ['ɪtəlɪ]	n. 	意大利（欧洲）
LISTS		abbr. 	library information system, time-sharing 分时程序库信息系统
trap	 [træp]	vt. 	诱骗；使受限制；困住；使（水与气体等）分离
		n. 	圈套；（对付人的）计谋；（练习射击用的）抛靶器；（捕捉动物的）夹子
		vi. 	设陷阱；装捕捉机；设圈套
mechanical	 [məˈkænɪkl]	adj. 	机械的，机械学的；呆板的；体力的；手工操作的
returns	 [rɪ'tɜ:nz]	n. 	回复( return的名词复数 )；利润；偿还
		v. 	返回，回来( return的第三人称单数 )；恢复；还；归还
Catholics		n. 	天主教徒( Catholic的名词复数 )
phrase	 [freɪz]	n. 	短语；成语；说法；乐句
		vt. 	叙述，措词
		vt.& vi. 	划分乐句，分乐节（尤指为奏乐或歌唱）
fallen	 [ˈfɔ:lən]	n. 	阵亡者
		adj. 	倒下的；（女子）已失身的；落下的；落在地上的
		v. 	降低( fall的过去分词 )；来临；成为；降落
crash	 [kræʃ]	v. 	碰撞；使发出巨响；暴跌；睡觉
		n. 	碰撞；碰撞声；暴跌；崩溃
		adj. 	应急的；速成的
tears	 [tɪəs]	n. 	眼泪( tear的名词复数 )；破洞；裂口；裂缝
		v. 	撕( tear的第三人称单数 )；（使）分裂；撕碎；扯破
consequences		n. 	重要（性）( consequence的名词复数 )；结果；重要地位；因果关系
dying	 [ˈdaɪɪŋ]	adj. 	渴望，切盼；垂死的，临终的；会死的；快熄灭的
		v. 	“die”的现在分词
laughter	 [ˈlɑ:ftə(r)]	n. 	笑，笑声；〈古〉好笑的事；〈美俚〉力量悬殊得可笑的体育比赛；大笑
openly	 [ˈəʊpənli]	adv. 	公开地；公然地；直率地；当众
bent	 [bent]	adj. 	弯曲的；决心的；腐败的；同性恋
		n. 	爱好，癖好；[建]排架；剪股颖属草；[植]梗草，荒草地
		v. 	（使）弯曲，屈身(bend的过去式和过去分词)
tools	 [tu:l]	n. 	工具( tool的名词复数 )；（有助于做工或完成某事的）用具；受人利用的人
tends		v. 	照料( tend的第三人称单数 )；照顾；招待；侍候
ugly	 [ˈʌgli]	adj. 	难看的；丑陋的；有敌意的；不祥的
		n. 	丑陋的人（东西）
