enclose	 [ɪnˈkləʊz]	vt. 	（用墙、篱笆等）把…围起来；把…装入信封；附入
chimney	 [ˈtʃɪmni]	n. 	烟囱；玻璃灯罩；烟囱状东西；壁炉
foods	 [fu:dz]	abbr. 	foodstuff 粮食，食品
		n. 	食物( food的名词复数 )；粮食；食品；（某种）食物
mad	 [mæd]	adj. 	疯狂的；猛烈的；着迷的；〔口语〕愤怒的，生气的
		vt. 	使疯狂
dissatisfaction	 [ˌdɪsˌsætɪsˈfækʃn]	n. 	不满，不平；令人不满的事物
annoyance	 [əˈnɔɪəns]	n. 	恼怒，烦恼；使人烦恼的事，令人讨厌的人或事
attractive	 [əˈtræktɪv]	adj. 	有魅力的；引人注目的；迷人的；招人喜爱的
October	 [ɒkˈtəʊbə(r)]	n. 	十月
Arthur	 [ˈɑ:θə]	n. 	亚瑟
aware	 [əˈweə(r)]	adj. 	意识到的；知道的；觉察到的
ornament	 [ˈɔ:nəmənt]	n. 	装饰；装饰物；[乐]装饰音
		v. 	装饰；美化
sex	 [seks]	n. 	性别；两性之一；性，性特征；性活动
		vt. 	辨识性别；引起性欲；吸引
honesty	 [ˈɒnəsti]	n. 	诚实，真诚；正直；〈古〉贞洁；[植]一年生缎花
shadow	 [ˈʃædəʊ]	n. 	阴影；影子；鬼，幽灵；隐蔽处
		vt. 	投阴影于；使朦胧；跟踪，尾随；预示
		vi. 	渐变；阴沉
		adj. 	影子内阁的；阴影的；非正式的
outward	 [ˈaʊtwəd]	adj. 	向外的；外面的；公开的；[宗]肉体上的
		adv. 	向外（等于outwards）；在外
		n. 	外表；外面；物质世界
Warren		 	沃伦（姓氏，男子名）
sharpen	 [ˈʃɑ:pən]	vt.& vi. 	使锐利；使敏捷；加重；削尖
		vi. 	尖锐；变锋利
handkerchief	 [ˈhæŋkətʃɪf]	n. 	手帕；方巾，围巾
greed	 [gri:d]	n. 	贪心；贪婪
stages		n. 	台( stage的名词复数 )；舞台；站；阶段
heavenly	 [ˈhevnli]	adj. 	神圣的；天空的；天国的；庄严的
		adv. 	无比，极其
player	 [ˈpleɪə(r)]	n. 	演员；[体]运动员；[音]演奏者；播放机
guy	 [gaɪ]	n. 	家伙，伙计；（架设天线、支撑帐篷等用的）牵索；[复数]各位；一群男人（或女人）
		vt. 	（用牵索等）牵拉；（用拉索等）固定；开…的玩笑；取笑
		vi. 	[俚语]逃亡，逃走；乱演某角色
thirst	 [θɜ:st]	n. 	（口）渴；渴感；长期的干渴
		vi. 	渴望；口渴
niece	 [ni:s]	n. 	外甥女；侄女
spill	 [spɪl]	vt.& vi. 	溢出；泼出；涌出；蜂拥而出
		vt. 	使跌落；泄露机密
		n. 	洒出（量）；泼出（量）；溢出（量）；小塞子
conscience	 [ˈkɒnʃəns]	n. 	良心；道德心
loaf	 [ləʊf]	n. 	一条（块）面包
		v. 	游荡；游手好闲
blow	 [bləʊ]	n. 	殴打，打击；吹风，一阵风；意外的灾害；吹奏（声）
		vt.& vi. 	（风）吹；（轮胎等）爆炸
		vt. 	吹，吹气；使爆炸；奏出，演奏；使气喘
		vi. 	吹刮，吹动；随风飘动；鸣叫；喘气
devoted	 [dɪˈvəʊtɪd]	adj. 	献身的；忠诚的；挚爱的；专心的
		v. 	献身于…；致力于…(devote的过去分词)
wheat	 [wi:t]	n. 	小麦
papers	 ['peɪpəz]	n. 	文件，官方文件；纸( paper的名词复数 )；文件；报纸；文章
		v. 	贴纸( paper的第三人称单数 )；用纸覆盖；隐瞒，掩饰
worm	 [wɜ:m]	n. 	虫，蠕虫；（昆虫的）幼虫；寄生虫；懦夫
		vt.& vi. 	蠕动，曲折行进；给（动物）驱肠虫；使缓慢前进
crisis	 [ˈkraɪsɪs]	n. 	危机；危难时刻；决定性时刻，紧要关头；转折点
rear	 [rɪə(r)]	vt. 	饲养；养育；抚养；养育
		vt.& vi. 	抬起
		n. 	后部，背面，背后；臀部；（舰队或军队的）后方，后尾，殿后部队；〈英口〉厕所
		vi. 	直立；高耸
		adj. 	后面的，后部的
secrecy	 [ˈsi:krəsi]	n. 	保密；保密能力；秘密（状态）；守秘密
waste	 [weɪst]	n. 	浪费，白费，挥霍钱财；废料，废品，废物；荒地，荒芜；消耗（量），损耗
		vt.& vi. 	徒劳；（使）损耗；（使）消瘦；浪费
		vt. 	破坏；干掉；（游戏或比赛中）大胜
		adj. 	废弃的， 无用的， 荒芜的
noise	 [nɔɪz]	n. 	噪音；嘈杂声，喧闹声；声音，声响；杂音
		vt. 	谣传；哄传；传说
		vi. 	发出声音；大声议论
rude	 [ru:d]	adj. 	粗鲁的；简陋的；狂暴的；近乎下流的
argue	 [ˈɑ:gju:]	vt. 	坚决主张；提出理由证明；说服，劝告；表明，证明
		vi. 	争论，辩论；提出理由
heighten	 [ˈhaɪtn]	vt.& vi. 	（使）变高；（使）加强
situations	 [sɪtʃ'ʊeɪʃnz]	n. 	位置( situation的名词复数 )；（人的）情况；局面；[心理学]情境
smell	 [smel]	n. 	嗅觉；气味；臭味；发出臭气的人[东西]
		vt.& vi.& link-v. 	嗅，闻；闻出，发觉，查出；发出…的气味
flatten	 [ˈflætn]	vt.& vi. 	变平，使（某物）变平；打倒，击倒；使失去光泽
instance	 [ˈɪnstəns]	n. 	例子，实例；情况；要求，建议；[法]诉讼手续
		vt. 	举…为例
loosen	 [ˈlu:sn]	vt. 	解开或使松；放宽，放松；使（肠）通畅
		vi. 	变松或变得更松
begun	 [bɪˈgʌn]	v. 	开始( begin的过去分词 )；着手；创始；创办
cheese	 [tʃi:z]	n. 	奶酪；微笑
		vt. 	停止
colors	 ['kɒlərz]	n. 	国旗；旗帜；船旗；军旗；颜色( color的名词复数 )；肤色；颜料；本质
rivalry	 [ˈraɪvlri]	n. 	竞争，对抗，对立；竞争行为，对抗行为
easier	 ['i:zɪə]	adj. 	不费力的( easy的比较级 )；宽松的；宽裕的；从容的
royalty	 [ˈrɔɪəlti]	n. 	王族成员；版税；王位，王权；堂皇，庄严
discontent	 [ˌdɪskənˈtent]	n. 	不满，不平；不愉快；不满的人
		adj. 	不满的；不安分的；不快的
		v. 	使不满意；使不快
shoulders	 ['ʃəʊldəz]	n. 	肩( shoulder的名词复数 )；（衣服的）肩部；山肩；路肩（公路两侧供车辆紧急停靠的地带）
		v. 	承担( shoulder的第三人称单数 )；背；用肩顶…；挤
complication	 [ˌkɒmplɪˈkeɪʃn]	n. 	[医]并发症；错杂，纠纷；混乱，精神错乱
fright	 [fraɪt]	n. 	恐怖；惊吓；可怕的东西，难看的人
		v. 	使惊恐
nodded	 ['nɒdɪd]	v. 	点头( nod的过去式和过去分词 )；打盹；打瞌睡；点头致意
indoor	 [ˈɪndɔ:(r)]	adj. 	室内的，户内的；在室内使用的；待在家里的；救济院内的
opportunities	 [ˌɒpə'tju:nɪtɪs]	n. 	机会( opportunity的名词复数 )；适当的时机；条件；就业（或晋升、进步等）的良机
probable	 [ˈprɒbəbl]	adj. 	可能的；大概的
		n. 	很可能的事；可能入选者
flour	 [ˈflaʊə(r)]	n. 	面粉
		vt. 	撒上粉
necessarily	 [ˌnesəˈserəli]	adv. 	必要地；必需地；必定地；必然地
actress	 [ˈæktrəs]	n. 	女演员；女表演者
congratulation	 [kənˌgrætʃuˈleɪʃn]	n. 	祝贺，恭喜；贺词
index	 [ˈɪndeks]	n. 	索引；指数；指示；标志
		vt. 	给…编索引；把…编入索引；[经济学]按生活指数调整（工资、价格等）
		vi. 	[机械学]转位
mankind	 [mænˈkaɪnd]	n. 	人类；男性，男子
ounce	 [aʊns]	n. 	盎司；少量，一点儿；雪豹
waves	 ['weɪvz]	n. 	波( wave的名词复数 )；挥手；涌现的人（或事物）；汹涌的行动（或思想）态势
		v. 	飘扬，摇摆，起伏( wave的第三人称单数 )；（一端固定地）飘扬；挥手指引；挥动…示意
fish	 [fɪʃ]	n. 	鱼，鱼肉，鱼类；〈口〉（特殊的）人物，家伙，东西；[建]接合板，夹片，鱼尾板；[航]钓锚器，撑夹桅杆的加固夹箍
		vt.& vi. 	捕鱼；钓鱼；摸出；掏出
		vt. 	钓鱼，捕鱼；搜寻；[航]加夹箍夹牢；[工]用接合板连接[加固]
		vi. 	捕鱼，钓鱼；用钩捞取
fry	 [fraɪ]	n. 	鱼苗，鱼秧；弗赖伊（姓氏）；油炸食物；（口语）烦恼，愤激
		vi. 	用油煎；用油炸烤炒；油炸
		vt. 	油炸；油煎；（美俚）使被处电刑；瓦解
gate	 [geɪt]	n. 	门；闸门；登机门；入场费
		vt. 	给…装大门；[电子学] 电波传送
laughed	 ['lɑ:ft]	v. 	笑( laugh的过去式和过去分词 )；发笑；嘲笑；（特别表示因成功而）处于有利地位
wise	 [waɪz]	adj. 	聪明的，有智慧的；博学的，博识的；明白的；像智者的
		vt. 	使知道，使懂得；教导；指点
		vi. 	了解，知道
everlasting	 [ˌevəˈlɑ:stɪŋ]	adj. 	永久的，永恒的，接连不断；不断的，冗长的，使人厌烦的；[植]干后花的形状颜色不变的
		n. 	永久，无穷；〈英〉牢固耐久的毛呢；[植]蜡菊，蝶须，鼠曲草
automobile	 [ˈɔ:təməbi:l]	n. 	汽车
		v. 	开汽车，坐汽车
compare	 [kəmˈpeə(r)]	vt.& vi. 	比较，对照
		vt. 	比拟，喻为；[语]构成
		vi. 	相比，匹敌；比较，区别；比拟（常与to连用）
		n. 	比较
fruit	 [fru:t]	n. 	成果；水果；果实；（大地的）产物
		vi. 	树或花草结果
		vt. 	使…结果实
goat	 [gəʊt]	n. 	山羊；色鬼；替罪羊
indicate	 [ˈɪndɪkeɪt]	vt. 	表明，标示，指示；象征，暗示，预示；[医]显示需要做…的治疗
ink	 [ɪŋk]	n. 	墨水，油墨；（乌贼分泌的）墨液
		vt. 	给…上油墨（以供印刷、签订合同等）；签名（在…上）；涂油墨
weak	 [wi:k]	adj. 	柔弱的，虚弱的；无力的，软弱的；不中用的，愚钝的；淡薄的
courts		n. 	庭院( court的名词复数 )；求爱；法庭；宫廷
disappearance	 [ˌdɪsə'pɪərəns]	n. 	消失，不见；消散；失踪；出走，一去不返
issued		v. 	发行者( issuer的过去式和过去分词 )
reproduction	 [ˌri:prəˈdʌkʃn]	n. 	繁殖，生殖；再生产，再现，[心]再生作用；复制品
introduction	 [ˌɪntrəˈdʌkʃn]	n. 	介绍；引言，导言；采用，引进；新采用的东西
thicken	 [ˈθɪkən]	vt.& vi. 	（使）变厚；使更厚
		vt. 	使（话等）不清晰；使模糊；使（情节等）复杂
		vi. 	变得不清晰；变得模糊；变复杂
tough	 [tʌf]	adj. 	坚强的，坚韧的，不屈不挠的；艰苦的，困难的，难办的；牢固的，强壮的；粗暴的
		n. 	粗暴的人；暴徒，恶棍
		vt. 	忍耐，忍受（常与out连用）
		adv. 	强硬地，顽强地；以强硬的态度
avoidance	 [əˈvɔɪdəns]	n. 	逃避；职位空缺；废止；无效
economy	 [ɪˈkɒnəmi]	n. 	节约；经济；理财；秩序
extremely	 [ɪkˈstri:mli]	adv. 	极端地；非常，很；去；绝
glad	 [glæd]	adj. 	高兴的，乐意的；令人高兴的，使人愉快的；（风光）明媚的，（景色）美丽的；充满欢乐的，兴高采烈的
		vt. 	使高兴
maximum	 [ˈmæksɪməm]	adj. 	最大值的，最大量的
		n. 	最大的量、体积、强度等
spoon	 [spu:n]	n. 	匙，调羹；一匙的量；匙状物，匙桨
		vt. 	用汤匙舀取；向上击
		vi. 	轻轻向上击；用匙状假饵钓鱼；痴爱，迷恋
atmosphere	 [ˈætməsfɪə(r)]	n. 	大气，空气；大气层；风格，基调；气氛
strap	 [stræp]	v. 	用带捆扎；用皮带抽打；拼命工作
		n. 	带子；皮带；磨刀皮带；鞭打
treat	 [tri:t]	n. 	款待；招待；乐事；乐趣
		v. 	对待；治疗；处理；款待
deceive	 [dɪˈsi:v]	v. 	欺诈；误导
television	 [ˈtelɪvɪʒn]	n. 	电视，电视机；电视节目；电视业
host	 [həʊst]	n. 	[计算机]主机；主人，东道主；节目主持人；酒店业主
		vt. 	当主人；主办宴会，主持节目；款待，做东
		vi. 	做主人，做东道主
lengthen	 [ˈleŋθən]	vt.& vi. 	延长；伸长
Assembly	 [əˈsembli]	n. 	立法机构；议会；集会；装配
chicken	 [ˈtʃɪkɪn]	n. 	鸡；鸡肉；胆小鬼；懦夫
		adj. 	胆怯的；幼小的；胆小的
		vi. 	以畏缩的方式去做，失去勇气；在最后一刻因胆怯而退出了
revenge	 [rɪˈvendʒ]	n. 	报仇，报复
		vt. 	为…报仇，报…之仇
correction	 [kəˈrekʃn]	n. 	修改；改[纠]正；惩罚；有待改正
		adj. 	改正的，纠正的
descendant	 [dɪˈsendənt]	n. 	后代；后裔；（由过去类似物发展来的）派生物；弟子
		adj. 	下降的；祖传的
Latin	 [ˈlætɪn]	n. 	拉丁文；拉丁语，拉丁文学；拉丁美洲人；拉丁姆人
		adj. 	拉丁的，拉丁语的；古罗马的；拉丁姆的；拉丁美洲的
bound	 [baʊnd]	vi. 	跳，弹跳；限制；接壤
		vt. 	给…划界，限制；使弹回，使跳跃；束缚
		n. 	界限，限制；跃起；（球等的）反跳
		adj. 	用带子绑住的；有义务的；装订的，有封面的；[化，物]结合的
Eisenhower	 ['aɪzənˌhaʊə]	n. 	艾森豪威尔(Dwight David 1890-1969，美国第三十四任总统(1953-1961))
hesitation	 [ˌhezɪ'teɪʃn]	n. 	犹豫；踌躇；含糊；口吃
anywhere	 [ˈeniweə(r)]	adv. 	什么地方；任何地方；无论何处；〈口〉（用于否定句〕根本(不）
knowing	 [ˈnəʊɪŋ]	adj. 	（对别人不知道的秘密）知悉的；世故的；难以预料；无从知道
		v. 	知道( know的现在分词 )；看到过；听到过；经历过
spade	 [speɪd]	n. 	铁锹，铲子；纸牌中的)黑桃
		vt. 	铲
basin	 [ˈbeɪsn]	n. 	盆；盆地；流域；水坑，池塘
manufacturers	 [mænjʊ'fæktʃərəz]	n. 	制造商，制造厂( manufacturer的名词复数 )
quarter	 [ˈkwɔ:tə(r)]	n. 	四分之一；一刻钟；地区；（美式足球的）一节
		vt. 	把…四等分；供…住宿；使（士兵）驻扎
tone	 [təʊn]	n. 	[语]声调，语调；[画]色调，色泽，明暗；[乐]乐音，全音，全音程；[医]（正常的）健康状态
		vt. 	使更健壮；定调；使变调子；[摄影术]给…上色
		vi. 	带有某种腔调；呈现某种色彩；（颜色）调和（与 with 连用）
weed	 [wi:d]	n. 	杂草；大麻；废物；烟草
		vt. 	给…除杂草；除（草）；消除
		vi. 	除草
omission	 [əˈmɪʃn]	n. 	省略，删节；遗漏；疏忽；[法]不履行法律责任
furniture	 [ˈfɜ:nɪtʃə(r)]	n. 	家具；设备；附属品
old-fashioned	 [ˈəuldˈfæʃənd]	adj. 	老式的，过时的；老派的，守旧的；村女蛾眉；陈旧
bicycle	 [ˈbaɪsɪkl]	n. 	自行车；脚踏车
		v. 	骑自行车
temple	 [ˈtempl]	n. 	庙，寺；耶路撒冷古神殿；[犹太教] 犹太教聚会；太阳穴
breadth	 [bredθ]	n. 	宽度；宽容；（知识、兴趣等的）广泛
Philadelphia	 [ˌfɪlə'delfjə]	n. 	费城（美国宾西法尼亚州东南部港市）
photography	 [fəˈtɒgrəfi]	n. 	摄影，摄影术；一组照片
Angeles		 	[人名] 安杰利斯；[地名] [美国] 安杰利斯；[地名] [波多黎各（美）、菲律宾、哥斯达黎加] 安赫莱斯
coward	 [ˈkaʊəd]	n. 	胆小鬼，懦夫
		adj. 	怯懦的，胆小的
mat	 [mæt]	n. 	席子，垫子；（体育运动用的）厚垫子；衬边；团，簇
		vt. 	遮盖，用垫子作装饰；使…缠结；给（照片）镶框；使…表面无光
		vi. 	缠结
		adj. 	粗糙的；暗淡的，无光泽的
replace	 [rɪˈpleɪs]	vt. 	替换；代替；把…放回原位；（用…）替换
brilliant	 [ˈbrɪliənt]	adj. 	明亮的；美好的；闪耀的；才华横溢的
		n. 	宝石；钻石
rejoice	 [rɪˈdʒɔɪs]	vi. 	高兴；欢庆
		vt. 	使高兴；使欢喜
cheat	 [tʃi:t]	vt. 	欺骗，诈骗；误导，愚弄；躲避，逃脱
		vi. 	作弊，行骗；犯规；俚〉不忠；消磨，解（闷），消除（疲劳）
		n. 	欺骗（行为）；骗子；雀麦；〈美俚〉反光镜
tonight	 [təˈnaɪt]	n. 	今晚，今夜
		adv. 	在今晚
congratulate	 [kənˈgrætʃuleɪt]	vt. 	向（某人）道贺；祝贺；（为成就或成功）感到高兴
taught	 [tɔ:t]	v. 	教( teach的过去式和过去分词 )；教书；训练；教育
discomfort	 [dɪsˈkʌmfət]	n. 	不舒适，不舒服；不安；不方便；苦恼
		vt. 	使…不舒服；使…不安；使苦恼；使不便
citizen	 [ˈsɪtɪzn]	n. 	公民；国民；市民；平民
enclosure	 [ɪnˈkləʊʒə(r)]	n. 	圈占；围绕；圈占地；附件
Hills		 	[人名] [英格兰人姓氏] 希尔斯 Hill的变体；[人名] [英格兰人姓氏] 希尔斯取自父名，含义是“希尔之子”(son of Hill)；[地名] [美国] 希尔斯
attentive	 [əˈtentɪv]	adj. 	注意的；周到的，殷勤的；温存；细心
conviction	 [kənˈvɪkʃn]	n. 	定罪；说服；确信；信念
paw	 [pɔ:]	n. 	爪子；手；笔迹
		vt. 	用爪抓；用蹄触；盘弄；艰苦地行走
		vi. 	用爪子抓；翻找
sacred	 [ˈseɪkrɪd]	adj. 	宗教的；神圣的；受崇敬的，值得崇敬的；有宗教性质的
sympathy	 [ˈsɪmpəθi]	n. 	意气相投，同感；同情，同情心；慰问；和谐的一致
overflow	 [ˌəʊvəˈfləʊ]	vt.& vi. 	溢出，淹没；挤满，充满；洋溢；资源过剩
		n. 	泛滥，溢出物；溢流管；充溢，过多；超出额
		vi. 	泛滥，溢出；充溢
		adj. 	溢出的，满出的
region	 [ˈri:dʒən]	n. 	地区，地域，地带；行政区，管辖区；（大气，海水等的）层，界，境；（学问等的）范围，领域
burning	 [ˈbɜ:nɪŋ]	adj. 	燃烧的；发热的；急切的；（欲望等）炽烈的
		v. 	燃烧(burn的现在分词)；使用某物为燃料
calm	 [kɑ:m]	adj. 	镇定的；平静的；（海洋，天气等）安静的，平静的；（人）从容不迫的
		vt.& vi. 	（使）平静，（使）镇定；（使）镇静
		n. 	平静；镇定；安定；无风
		vt. 	使安静；使冷静；使镇定；使（疼痛等）减轻
		vi. 	安静下来，平静下来，镇静下来
dissatisfy	 [dɪs'sætɪsfaɪ]	vt. 	使不满意，使不满足；使失望
multiplication	 [ˌmʌltɪplɪˈkeɪʃn]	n. 	增加，增殖，倍增；[数]乘法，乘法运算
Moments	 ['məʊmənt]	n. 	瞬间( moment的名词复数 )；片刻；时刻；力矩
whichever	 [wɪtʃˈevə(r)]	pron. 	任何一个；无论哪个；究竟哪一个
		adj. 	究竟哪个，无论哪些；无论哪一个
tidy	 [ˈtaɪdi]	adj. 	整洁的，整齐的；（数量）相当大的；相当好的；健康的
		n. 	盛零碎物品的容器；椅子的背罩
		vt.& vi. 	使整洁；弄整齐；使有条理；整理，收拾
bribe	 [braɪb]	vt.& vi. 	贿赂，行贿
		n. 	贿赂；诱惑物
desired	 [dɪ'zaɪəd]	adj. 	渴望的，想得到的
		v. 	希望( desire的过去式和过去分词 )；渴望；要求；请求
mend	 [mend]	vt. 	修理，修补；改正，纠正；加强；使恢复健康
		vi. 	康复，痊愈；修理，矫正
		n. 	修补；补丁；痊愈
convinced	 [kənˈvɪnst]	adj. 	确信的；深信的；有坚定信仰的
		v. 	使确信(convince的过去分词)；说服
stocking	 [ˈstɒkɪŋ]	n. 	长袜；似长袜之物
worship	 [ˈwɜ:ʃɪp]	vt. 	崇拜，尊崇；爱慕
		vi. 	做礼拜；热爱；爱慕；崇拜（尤指达到看不到缺点的地步）
		n. 	（对治安官或市长的尊称）阁下；尊敬；崇拜；礼拜
feast	 [fi:st]	n. 	盛会；宴会；宗教节日；使人欢快的事物（或活动）
		vi. 	大吃大喝，享用美食；参加宴会
		vt. 	款待（某人），宴请（某人）
noticed	 ['nəʊtɪst]	v. 	注意（ notice的过去式和过去分词 ）；觉察
nuisance	 [ˈnju:sns]	n. 	讨厌的东西（人，行为）麻烦事；非法妨害，损害；麻烦事
height	 [haɪt]	n. 	高度，海拔；高地；身高；绝顶，顶点
thorn	 [θɔ:n]	n. 	刺；棘刺，荆棘；带刺的植物；刺痛
towns		n. 	镇( town的名词复数 )；（生活、工作或刚提到的）城镇；城镇居民；商业中心[闹市区]
tame	 [teɪm]	adj. 	驯服的；平淡的；无精打采的
		v. 	驯服；抑制
inclusive	 [ɪnˈklu:sɪv]	adj. 	包括的，包罗广泛的；包括…的；一切开支包括在内的；（语言使用上）不分男女的
Protestant	 ['prɒtɪstənt]	n. 	新教教徒
		adj. 	新教教徒的；新教的
employed	 [ɪm'plɔɪd]	v. 	雇用( employ的过去式和过去分词 )；使用，利用
homemade	 ['həʊm'meɪd]	adj. 	（衣服、食品等）自家制的
handwriting	 [ˈhændraɪtɪŋ]	n. 	书法，手书；笔迹，字迹
		v. 	亲手写(handwrite的ing形式)
speaker	 [ˈspi:kə(r)]	n. 	说话者；演讲者，发言人；讲某种语言的人；扬声器
chalk	 [tʃɔ:k]	n. 	粉笔，白垩；用粉笔画的记号；〈英〉（比赛）得分纪录，记入借方的款项；〈美俚〉牛奶
		v. 	用粉笔写（记下）；用白垩粉擦（桌球杆等）；使苍白；（英）把（酒钱）记于（某人）账上
Constitution	 [ˌkɒnstɪˈtju:ʃn]	n. 	建立，组成；体格；构成方式；宪法
positive	 [ˈpɒzətɪv]	adj. 	积极的；确实的，肯定的；[数]正的；[医]阳性的
		n. 	正面；正片；[语]原级形容词；[数]正量
sour	 [ˈsaʊə(r)]	adj. 	有酸味的；敌对的；坏脾气的；别扭的
		vi. 	变酸，变馊；发酵；厌烦；败坏
		vt. 	变坏，恶化；使变酸；使失望；使不毛
		n. 	酸味；苦事
hurt	 [hɜ:t]	vt. 	损害；使受伤；使伤心；使受皮肉之苦
		vi. 	疼痛；感到疼痛；受痛苦；有坏处，有害
		n. 	伤害；痛苦
		adj. 	受伤的；痛苦的；（受）损坏的
millions	 ['mɪlɪənz]	n. 	数百万；百万( million的名词复数 )
slippery	 [ˈslɪpəri]	adj. 	狡猾的；滑溜的；不可靠的
procession	 [prəˈseʃn]	n. 	队伍，行列；一列，一排；列队行进
		vi. 	排队前进或列队而行
Roberts	 [ˈrɔbəts]	 	罗伯茨（姓氏）
ripen	 [ˈraɪpən]	vt.& vi. 	（使）成熟；（使）熟
firmly	 [ˈfɜ:mli]	adv. 	坚固地；稳固地；坚定地；坚决地
jealous	 [ˈdʒeləs]	adj. 	妒忌的；羡慕的；精心守护的；吃醋的
chapter	 [ˈtʃæptə(r)]	n. 	章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
		vt. 	把…分成章节
jealousy	 [ˈdʒeləsi]	n. 	妒忌，猜忌；戒备，小心提防
liar	 [ˈlaɪə(r)]	n. 	说谎者
tendency	 [ˈtendənsi]	n. 	倾向，趋势；（话或作品等的）旨趣，意向；性情；癖好
acceptance	 [əkˈseptəns]	n. 	接受，接纳；[金融]承兑；无怨接受（逆境、困境等）；赞成
homecoming	 [ˈhəʊmkʌmɪŋ]	n. 	归国；同学会；省亲回家；校友日
barber	 [ˈbɑ:bə(r)]	n. 	理发师；理发店(= barber's shop)
		vt. 	为…理发剃须；修整
		vi. 	当理发师；给人理发
contrast	 [ˈkɒntrɑ:st]	n. 	对比，对照；差异；对照物，对立面；[摄]反差
	 [kənˈtrɑ:st]	vi. 	对比；形成对照
		vt. 	使对照，使对比；和…形成对照
driver	 [ˈdraɪvə(r)]	n. 	驾驶员，司机；驱动器，驱动程序；驱逐者，驱赶者；（高尔夫球）球棒
depends		v. 	依靠( depend的第三人称单数 )；依赖；信赖；决定于
whiten	 [ˈwaɪtn]	vt.& vi. 	（使某物）变白或更白
berry	 [ˈberi]	n. 	浆果；干种子，干果仁；子，卵
		vi. 	寻找浆果，采摘浆果；结浆果
impressive	 [ɪmˈpresɪv]	adj. 	给人印象深刻的，感人的；引人注目的；可观的；显赫
lighten	 [ˈlaɪtn]	vt. 	使（某物）更明亮
		vi. 	点亮；减轻
branch	 [brɑ:ntʃ]	n. 	树枝；分支；部门，分科；支流
		vi. 	分支形成；分支扩张；扩大某人的兴趣，业务或活动范围；[计]下分支的指令
		vt. 	使分支；使分叉；用枝形叶脉刺绣花纹装饰
pigeon	 [ˈpɪdʒɪn]	n. 	鸽子；易受骗的人；责任
Sports	 [spɔ:ts]	adj. 	有关运动的
		n. 	运动( sport的名词复数 )；运动会；突变；娱乐
cotton	 [ˈkɒtn]	n. 	棉；棉线；棉织物；（其他植物所生的绒毛状的）棉状物
		vi. 	喜欢；赞成；一致；交往
hinder	 [ˈhɪndə(r)]	vt.& vi. 	阻碍，妨碍；成为阻碍
		adj. 	后面的，后方的
bravery	 ['breɪvərɪ]	n. 	勇敢，勇气；辉煌，华丽；刚毅
baggage	 [ˈbægɪdʒ]	n. 	行李；辎重；精神包袱；荡妇
guilt	 [gɪlt]	n. 	有罪，犯罪行为，罪恶；[法律] 轻罪，过失；内疚，知罪；自责
tragedy	 [ˈtrædʒədi]	n. 	悲剧，惨剧；悲剧文学；悲剧理论，悲剧表演艺术；悲剧式作品
noun	 [naʊn]	n. 	名词；名词性单词；名词词性
suggestion	 [səˈdʒestʃən]	n. 	建议，意见，暗示；联想，启发；微量
amongst	 [ə'mʌŋst]	prep. 	（表示位置）处在…中；（表示范围）在…之内；（表示牵涉）经过；（表示所属）为…所特有
destruction	 [dɪˈstrʌkʃn]	n. 	破坏，毁灭，消灭，灭亡，扑灭，驱除；摧毁；毁灭的原因，破坏手段；杀害
extension	 [ɪkˈstenʃn]	n. 	伸展，扩大；延长，延期；[医]牵引；电话分机
grammar	 [ˈgræmə(r)]	n. 	语法；语法书；（学术的）基本原理；（人的）语言知识及运用能力
payments	 ['peɪmənts]	n. 	支付，付款，缴纳，报酬( payment的名词复数 )；付出的[要付出的]款项；报答，报偿
row	 [rəʊ]	n. 	行，排；划船；吵闹；路，街
		vt. 	划船；使…成排；与…进行划船比赛；〈口〉争吵，吵闹
creative	 [kriˈeɪtɪv]	adj. 	创造性的，有创造力的；有创意的，创新的，创造的
		n. 	（非正式）创意人士
cultivation	 [ˌkʌltɪˈveɪʃn]	n. 	教养；栽培；耕作；（关系的）培植
companionship	 [kəmˈpæniənʃɪp]	n. 	伙伴关系；友情，友谊
bird	 [bɜ:d]	n. 	鸟，禽；少女，姑娘，人，家伙，东西；飞机，火箭，导弹
		vi. 	观察和辨认鸟；捕鸟，打鸟
measures	 ['meʒəz]	n. 	程度；度量法；度量单位；度量器具；（一定的）量( measure的名词复数 )；程度；措施
		v. 	量( measure的第三人称单数 )；测量；衡量；量出
rubbish	 [ˈrʌbɪʃ]	n. 	垃圾；无意义的东西；废话；劣质的东西
		vt. 	把…说得一钱不值，贬损…；轻视，蔑视；消灭，销毁
consideration	 [kənˌsɪdəˈreɪʃn]	n. 	考虑，考察；照顾，关心；报酬；尊敬
legal	 [ˈli:gl]	adj. 	法律的；合法的；法定的；法律（上）的
		n. 	法定权利；依法必须登报的声明
modesty	 [ˈmɒdəsti]	n. 	谦虚，谦逊；稳重；端庄；朴实，质朴
camera	 [ˈkæmərə]	n. 	照相机；摄影机
leaves	 [li:vz]	n. 	树叶，花瓣；(leaf的复数)；页( leaf的名词复数 )；叶子；有…状叶的；金属薄片
		v. 	离开( leave的第三人称单数 )；遗弃；忘了带；交托
woolen	 ['wʊlɪn]	adj. 	羊毛制的，羊毛的；毛织品的
		n. 	毛织品，羊毛织物，毛料衣服
deepen	 [ˈdi:pən]	vt.& vi. 	变深，加深；低沉
		vt. 	加浓
