bullet	 [ˈbʊlɪt]	n. 	子弹，弹药；弹丸；[印]着重号
marginal	 [ˈmɑ:dʒɪnl]	adj. 	边的，边缘的；旁注的；临界的，最低限度的；收入仅敷支出的
painful	 [ˈpeɪnfl]	adj. 	痛苦的；（肉体）疼的；费力的，（工作）困难的；讨厌的，使人厌烦的
proceeded		v. 	进行( proceed的过去式和过去分词 )；前进；（沿特定路线）行进；（尤指打断后）继续说
cents	 [sents]	n. 	分，一分钱的硬币( cent的名词复数 )
impressions	 [ɪm'preʃəns]	n. 	印象( impression的名词复数 )；影响；滑稽模仿；印记
glanced		v. 	一瞥( glance的过去式和过去分词 )；略视；闪耀；浏览
ritual	 [ˈrɪtʃuəl]	n. 	（宗教等的）仪式；例行公事，老规矩；典礼
		adj. 	作为仪式的一部分的；礼节性的；例行公事的
wildly	 [ˈwaɪldli]	adv. 	疯狂地；粗暴地，野蛮地；野生地；失去控制地
responsibilities		n. 	责任( responsibility的名词复数 )；职责；责任感；责任心
pupils	 ['pju:plz]	n. 	学生( pupil的名词复数 )；瞳孔；弟子；门生
operational	 [ˌɒpəˈreɪʃənl]	adj. 	即可使用的；（用于）操作的；经营的；军事行动的
honey	 [ˈhʌni]	n. 	蜂蜜；宝贝；可爱的人
		adj. 	蜜的；心爱的；加了蜜的；（蜜一样）甘美的
		vt. 	给…加蜜；对…甜言蜜语
fist	 [fɪst]	n. 	拳，拳头；〈口〉笔迹；掌握；[印]指标参见号
		vt. 	紧握；握成拳；用拳打
magazines	 ['mæɡəzi:nz]	n. 	弹药库( magazine的名词复数 )；杂志；弹仓；（电视、广播）专题节目
continually	 [kən'tɪnjʊəlɪ]	adv. 	不停地；持续地；屡屡地；一再地
lands	 [lændz]	n. 	陆地( land的名词复数 )；国家；地产；土地
		v. 	（使）登岸( land的第三人称单数 )；降临；使陷于（困境）；使不得不应付
twenty-five		 	[医][=LSD-25]麦角酰二乙胺；25
exposure	 [ɪkˈspəʊʒə(r)]	n. 	暴露；揭发；公开；（商品等的）展出
fog	 [fɒg]	n. 	雾；烟雾；迷惑；割后再生的草
		vt. 	以雾包围；使模糊；使迷惑
		vi. 	为雾笼罩；朦胧；照片（模糊）
cigarette	 [ˌsɪgəˈret]	n. 	纸烟，香烟
Marshal		 	马歇尔（男子名）
continuity	 [ˌkɒntɪˈnju:əti]	n. 	连续性，继续；分镜头电影剧本；串联，衔接；[影视]剪辑
yours	 [jɔ:z]	pron. 	你（们）的东西；你的责任[义务]；你的家属；来信，尊函
		adj. 	你（们）的（东西）；信末署名前用语
disk	 [dɪsk]	n. 	磁盘；唱片；圆盘；光盘
		v. 	把…录成唱片；使成圆盘状；用圆盘耕地
transformed		v. 	改变( transform的过去式和过去分词 )；使改变形态，使改变外观（或性质），使改观
pond	 [pɒnd]	n. 	池塘
		v. 	筑成池塘
structural	 [ˈstrʌktʃərəl]	adj. 	结构（上）的，构架（上）的；建筑的；构造上的；组织上的
contacts	 ['kɒntækts]	v. 	联络（通过电话或信件）( contact的第三人称单数 )；使接触；与（某人）接触（或交往），与…联系；[美国英语]与…通讯（或通话）
detergent	 [dɪˈtɜ:dʒənt]	n. 	洗涤剂；去垢剂
exploration	 [ˌekspləˈreɪʃn]	n. 	探测，勘探，探险；搜索，研究；[医]探查术
regiment	 [ˈredʒɪmənt]	n. 	（军队的）团；大量的人或物
		vt. 	严格地管制，严密地编组
SBA		abbr. 	Small Business Administration 小型企业管理局
Yeah	 [jeə]	adv. 	( yes的俗音)；（用于表示对后说的话不相信）；（用于作出回应）哦；是
Alec		n. 	亚历克(Alexander的昵称，亦作Aleck)(m.)
		 	[男子名] 亚历克 Alexander的昵称
Barton	 [ˈbɑ:tn]	 	巴顿（姓氏）
Tilghman		 	[人名] 蒂尔曼；[地名] [美国] 蒂尔曼
January	 [ˈdʒænjuəri]	n. 	一月；[人名] 贾纽厄里
occupation	 [ˌɒkjuˈpeɪʃn]	n. 	职业，工作；占有，占领；（土地、房屋、建筑等的）使用
enthusiastic	 [ɪnˌθju:ziˈæstɪk]	adj. 	热心的；热情的；热烈的；狂热的
entering	 ['entərɪŋ]	v. 	进入( enter的现在分词 )；进去；参加；登记
contracts		n. 	契约( contract的名词复数 )；婚约；[法律]契约法；行贿
subjected		v. 	提交( subject的过去式和过去分词 )；使经受；使遭受；使服从
recommendation	 [ˌrekəmenˈdeɪʃn]	n. 	推荐；推荐信；建议；可取之处
ruling	 [ˈru:lɪŋ]	adj. 	统治的；支配的；管辖的；流行的
		n. 	统治；支配；裁定；[法]判决
qualified	 [ˈkwɒlɪfaɪd]	adj. 	有资格的，胜任的，适当的，合格的；过检定的，得到许可的；有限制的，有条件的；（俚）十足的，无比的
		vt. 	描述，形容；使合适；授权予；有权，达标
		vi. 	合格，成为合格；取得…的资格
realization	 [ˌri:əlaɪˈzeɪʃn]	n. 	认识，领会；实现
neighboring	 ['neɪbərɪŋ]	adj. 	邻近的
		v. 	邻居，邻国( neighbor的现在分词 )；邻近的，邻接的
Advisory	 [ədˈvaɪzəri]	adj. 	劝告的，忠告的；提供咨询的；顾问的
		n. 	报告；公告
full-time	 [ˈfʊlˈtaɪm]	adj. 	全部时间的；全日制的；专职的，专任的
undoubtedly	 [ʌn'daʊtɪdlɪ]	adv. 	毋庸置疑地，的确地；显然；必定；无疑
cited		v. 	引用( cite的过去式和过去分词 )；传唤；记起；[军事]传（或通）令嘉奖
draft	 [drɑ:ft]	n. 	汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
		vt. 	起草；制定；征募
		vi. 	拟稿；绘样；作草图
		adj. 	初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
Clubs		n. 	（尤指年轻人听音乐、跳舞等的）俱乐部( club的名词复数 )；梅花；（尤指英国）男性俱乐部；（以优惠价出售图书、激光唱片等给成员的）读者俱乐部
managers	 ['mænɪdʒəz]	n. 	经理，管理人( manager的名词复数 )；以某种方式管理人、家庭、钱财等的人
announcement	 [əˈnaʊnsmənt]	n. 	通告；布告；预告；宣告
honored	 ['hɒnɔ:d]	adj. 	光荣的：荣幸的
		v. 	尊敬，给以荣誉( honor的过去式和过去分词 )
estimates	 ['estɪməts]	n. 	估计( estimate的名词复数 )；报价；（承包人的）估价单；估计的成本
		v. 	估计，评价，评估( estimate的第三人称单数 )；（粗略）估计（…的距离、价值、数目、大小、重量、费用等），估量，预算
biggest	 [bɪgɪst]	adj. 	大的，长大的；大的( big的最高级 )；重要的；（计划） 庞大的；大方的
Puerto		 	[地名] 港口、山口（西班牙语）
Portland	 [ˈpɔ:tlənd]	n. 	波特兰（美国俄勒冈西北部港市）
workshop	 [ˈwɜ:kʃɒp]	n. 	车间；专题讨论会，研究会；创作室；实习班，实验班
relieved	 [rɪˈli:vd]	adj. 	放心的；宽慰的
		v. 	解除(relieve的过去分词)；减轻；使得到解脱；使宽慰
coach	 [kəʊtʃ]	n. 	教练；（铁路）旅客车厢；长途客运汽车；四轮大马车
		vt.& vi. 	训练；辅导
		vt. 	训练；指导
		vi. 	作指导；受训练[辅导]；坐马车旅行
promising	 [ˈprɒmɪsɪŋ]	adj. 	有前途的；有希望的；光明；有为
Academy	 [əˈkædəmi]	n. 	专科学校；学会，学院；一般的高等教育；私立学校，学术团体
Moore	 [ˈmuə]	n. 	摩尔（男子名）
chances		n. 	机会( chance的名词复数 )；偶然；风险；某事发生的可能性
reaches		n. 	河段；流域；（上、中或下）游；（外）围；（远）处；（组织或机构中的）层级
Ford	 [fɔ:d, fəʊrd]	n. 	福特（美国汽车制造者）；福特汽车
Masters		 	[人名] [英格兰人姓氏] 马斯特斯取自父名，来源于Master,含义是“马斯特之子”(son of Master)；[地名] [美国] 马斯特斯
Broadway	 [ˈbrɔ:dweɪ]	n. 	百老汇
Mason		 	梅森（姓氏，男子名； Charles, 1730-1787，英国天文学家）
civilian	 [səˈvɪliən]	n. 	平民，百姓；市民；文官；民法学者
		adj. 	民用的；平民的
Motel	 [məʊˈtel]	n. 	汽车旅馆
seated	 ['si:tɪd]	adj. 	就座的；固定的；有…座位的；根深蒂固的
		v. 	使就座( seat的过去式和过去分词 )；使就职；使获得座位（或席位）；可容纳若干座位
prospects		n. 	前景( prospect的名词复数 )；期望；眺望处；景象
manufacturing	 [ˌmænjuˈfæktʃərɪŋ]	n. 	制造业，工业
		adj. 	制造业的，制造的
		v. 	（大规模）制造( manufacture的现在分词 )；捏造；加工；粗制滥造（文学作品）
Heating	 [ˈhi:tɪŋ]	n. 	暖气装置[设备]；加热，采暖
		v. 	（使）热( heat的现在分词)；使激动；激发；使兴奋
		adj. 	加热的；供热的
lawyers	 ['lɔ:jəz]	n. 	律师，法学家( lawyer的名词复数 )
firing	 [ˈfaɪərɪŋ]	n. 	开火；生火；烧窑；烘烤
		v. 	开火，射击( fire的现在分词 )；解雇；射（箭）；激励
seized	 ['si:zd]	v. 	抓住( seize的过去式和过去分词 )；逮捕；捉拿；俘获
prisoners		n. 	囚徒( prisoner的名词复数 )；俘虏；被夺去自由的人[动物]等
slid	 [slɪd]	v. 	滑动，滑行( slide的过去式和过去分词 )；滑落；下跌；打滑
tribute	 [ˈtrɪbju:t]	n. 	致敬；悼念；贡品；体现
expressing		v. 	表达( express的现在分词 )；（用符号等）表示；榨；[express oneself]（如在说话、写作或绘画中）表达（自己）的意见
Seventeen	 [ˌsevnˈti:n]	n. 	十七（个）；十七
		adj. 	十七岁的；十七的；十七个的
		num. 	十七
factories		n. 	工厂，制造厂( factory的名词复数 )
roughly	 [ˈrʌfli]	adv. 	粗略地；大体上；大致上；粗暴地
depression	 [dɪˈpreʃn]	n. 	萎靡不振，沮丧；下陷处，坑；衰弱；减缓
phases	 ['feɪzɪz]	n. 	[化学]相( phase的名词复数 )；阶段；[物理学]相位；（月亮、行星的）位相
consisted		v. 	由…组成( consist的过去式和过去分词 )；包括；存在于；表现为（常与 in 连用）
weekly	 [ˈwi:kli]	adj. 	一周一次的[地]，每周的；周刊的
		n. 	周刊，周报
		adv. 	一星期一次，每周
charming	 [ˈtʃɑ:mɪŋ]	adj. 	迷人的，可爱的；英俊的，潇洒的；令人陶醉的
		v. 	使高兴；使陶醉，使着迷
assembled	 [ə'sembld]	v. 	集合，收集( assemble的过去式和过去分词 )；装配，组合
functional	 [ˈfʌŋkʃənl]	adj. 	功能的；[数]函数的；有多种用途的；机能性
Mexican	 [ˈmeksɪkən]	n. 	墨西哥人
exclusively	 [ɪk'sklu:sɪvlɪ]	adv. 	唯一地；专门地，特定地；专有地；排外地
nearest	 ['nɪərɪst]	adv. 	最近的，最亲近的
		adj. 	近的（ near的最高级 ）；亲密的；近似；（亲属关系）近亲
tended		v. 	照料( tend的过去式和过去分词 )；照顾；招待；侍候
aimed		v. 	（以…）瞄准，针对( aim的过去式和过去分词 )；努力；目的在于；以…为目标[目的]
specimen	 [ˈspesɪmən]	n. 	样品；范例；（化验的）抽样；某种类型的人
declaration	 [ˌdekləˈreɪʃn]	n. 	宣言，布告，公告，声明；（纳税品在海关的）申报；[法]（原告的）申诉，（证人的）陈述，口供；[牌]摊牌，叫牌
Angels	 ['endʒəl]	n. 	天使( angel的名词复数 )；可爱的人；品行高洁的人；大好人（感激某人时所说）（非正式）
scarcely	 [ˈskeəsli]	adv. 	几乎不，简直不；刚刚，才；决不；（刚）一…就
illustration	 [ˌɪləˈstreɪʃn]	n. 	说明；例证；图解；插图
wholly	 [ˈhəʊlli]	adv. 	完全地，全部地；十足，统统；专门；一并
WHISKY	 [ˈwɪski]	n. 	威士忌酒
realism	 [ˈri:əlɪzəm]	n. 	（文艺的）现实主义；现实主义的态度和行为；唯实论；实在论
Utopia	 [ju:ˈtəʊpi:ə]	n. 	乌托邦（理想中美好的社会）
meaningful	 [ˈmi:nɪŋfl]	adj. 	意味深长的；有意义的；有意图的；隽
nervous	 [ˈnɜ:vəs]	adj. 	焦虑的；紧张不安的；神经质的
interpreted		v. 	解释( interpret的过去式和过去分词 )；理解；把…理解为；演绎（按自己的感觉演奏音乐或表现角色）
desires		n. 	愿望( desire的名词复数 )；欲望；希望；请求
		v. 	希望( desire的第三人称单数 )；渴望；要求；请求
wishes		n. 	（书信或贺卡等中的）祝愿( wish的名词复数 )；渴望；希望的事；许愿
		v. 	希望，想要，但愿( wish的第三人称单数 )；祝愿；盼望，企求，想要
accurately	 ['ækjərətlɪ]	adv. 	正确无误地，准确地；精确地；如实
narrative	 [ˈnærətɪv]	n. 	记叙文；故事；叙述，记事；叙述手法
		adj. 	叙述的，叙事体的；善于叙述的
categories	 ['kætɪɡərɪz]	n. 	种类，类别( category的名词复数 )；派别
mathematical	 [ˌmæθə'mætɪkl]	adj. 	数学的；精确的；绝对的；可能性极小的
peas	 ['pi:z]	n. 	豌豆( pea的名词复数 )；豌豆( pease的名词复数 )；嫩豌豆荚
tubes		n. 	管( tube的名词复数 )；地铁；[军事]炮管；管状物
lb		abbr. 	Lebanon 黎巴嫩
norms	 [nɔ:ms]	n. 	标准( norm的名词复数 )；规范；准则；行为模式
sitter	 [ˈsɪtə(r)]	n. 	坐着的人，被画像的模特；临时保姆；孵卵鸡
diffusion	 [dɪ'fju:ʒn]	n. 	扩散；扩散；传播；（文化等的）传流
authors		n. 	著作家( author的名词复数 )；作者；创造者；发起人
THERESA	 [tiˈri:zə]	n. 	[女子名] 特丽萨
registration	 [ˌredʒɪˈstreɪʃn]	n. 	登记，注册；挂号；登记（或注册、挂号）人数；（管风琴）音栓配合（法）
taxpayers	 ['tækspeɪəz]	n. 	纳税人，纳税的机构( taxpayer的名词复数 )
registered	 ['redʒɪstəd]	adj. 	注册的；登记过的；已挂号的；（动物）附有血统证明的
		v. 	记录；登记；注册；显出
amendment	 [əˈmendmənt]	n. 	修正案；修改，修订
midnight	 [ˈmɪdnaɪt]	n. 	子夜，午夜；漆黑；一段黑暗阴暗的时间；漏夜
anticipated	 [æn'tɪsɪpeɪtɪd]	vt. 	预先考虑到；先于…前行动；提前支用（薪金等）
		adj. 	预先的；预期的
savings	 ['seɪvɪŋz]	n. 	储蓄；节约( saving的名词复数 )；节俭；储蓄金；挽救
thinks		v. 	想( think的第三人称单数 )；思索；以为；认为
discrimination	 [dɪˌskrɪmɪˈneɪʃn]	n. 	歧视；辨别，区别；辨别力，识别力；不公平的待遇
monthly	 [ˈmʌnθli]	adj. 	每月的；每月一次的；按月的
		n. 	月刊；月经
		adv. 	每月；每月一次
originally	 [əˈrɪdʒənəli]	adv. 	起初，原来；独创地，独出心裁地；自来；本
regime	 [reɪˈʒi:m]	n. 	政治制度，政权，政体；管理，方法；[医]养生法；（病人等的）生活规则
channels	 ['tʃænlz]	n. 	频道( channel的名词复数 )；渠道；通道；海峡
encouraging	 [ɪn'kʌrɪdʒɪŋ]	adj. 	鼓励的，赞助的，促进的
		v. 	鼓励( encourage的现在分词)；支持；促进；鼓动
Gen		abbr. 	General 将军；Genoa 热那亚（意大利港市）；Genoese 热那亚的；Geneva 日内瓦（瑞士城市）
luncheon	 [ˈlʌntʃən]	n. 	午餐；午餐会；午宴；两餐之间吃的一点食物
colleagues		n. 	同事，同僚( colleague的名词复数 )；同人
historic	 [hɪˈstɒrɪk]	adj. 	在历史上重要的，有历史影响的；历史的，历史上的
governmental	 [ˌgʌvnˈmentl]	adj. 	政府的；政治上的；统治上的
dedicated	 [ˈdedɪkeɪtɪd]	adj. 	专注的，投入的；献身的；专用的
		v. 	奉献(dedicate的过去式和过去分词)
Douglas	 [ˈdʌɡləs]	n. 	道格拉斯（男子名）
Memorial		abbr. 	Memorial Stadium, Baltimore 巴尔的摩纪念馆
stressed	 [strest]	v. 	强调( stress的过去式)；重读；[机械学]使承受压力；给…加压力（或应力）
		adj. 	紧张的；感到有压力的
strategic	 [strəˈti:dʒɪk]	adj. 	战略（上）的；战略性的；有战略意义的；至关重要的
eighth	 [eɪtθ]	num. 	第八，八号；八分之一
		adv. 	第八；八分之一；八分音符
		n. 	第八个；八分之一；（每月的）第八日
Pete		n. 	皮特(Peter 的昵称)(m.) 保险箱，银箱
		 	[男子名] 皮特 Peter的昵称
champion	 [ˈtʃæmpiən]	n. 	冠军；捍卫者，拥护者；战士
		vt. 	为…而斗争，捍卫，声援
		adj. 	优胜的；第一流的
Bombers		n. 	轰炸机( bomber的名词复数 )；投弹手；安非他明胶囊；大麻叶香烟
Casey		n. 	凯西(m.)
Bobby	 [ˈbɔbi]	 	博比（男子名， Robert 的昵称）
		 	[男子名] 博比 Robert的昵称
Maryland		n. 	马里兰
controlling	 [kɒnt'rəʊlɪŋ]	v. 	控制( control的现在分词 )；管理；限制；克制
Don		n. 	（置于男士名字前的尊称）先生，堂
bases	 [ˈbeɪsi:z]	n. 	底部；基础；根据地；基地；基础( base的名词复数 )；基地；根据；基数（如十进制的 10 和二进制的 2）；基本( basis的名词复数 )；基础；基准；（认识论中的）基本原则
Giants		abbr. 	Giants Stadium, East Rutherford, New Jersey 巨人体育馆（新泽西州的东路德福德）
hearts		n. 	心( heart的名词复数 )；中心；内心；感情
Ruth	 [ru:θ]	n. 	鲁思（女子名）
teams		n. 	队，组( team的名词复数 )
		v. 	（与某人）一起工作( team的第三人称单数 )；合作；（与某人）结成一队
expectations	 [ekspek'teɪʃnz]	n. 	希望( expectation的名词复数 )；预料；（被）预期；[常作复数] 期望的事情
heights	 [haɪts]	n. 	高度( height的名词复数 )；顶点；高处；极端
Westminster	 [ˈwestmɪnstə(r)]	 	威斯敏斯特（伦敦市的一个行政区，英国议会所在地） 议会，议会政治
Jean		 	吉恩
Ah		abbr. 	aryl hydrocarbon 芳[香]烃；aromatic hydrocarbon 芳香烃；aeromonas hydrophila 嗜水气单胞菌；hyperopic astigmatism 远视散光眼
adults	 [æ'dʌlts]	n. 	成年的人或动物( adult的名词复数 )
chairs		n. 	椅子( chair的名词复数 )；大学教授职位；主持会议的主席（的席位或职位）
worn	 [wɔ:n]	adj. 	穿旧的，用旧的；穿坏的，用坏的；筋疲力尽的
		v. 	wear的过分词
dances		n. 	跳舞( dance的名词复数 )；舞会；舞蹈艺术；某种形式的舞
		v. 	跳舞( dance的第三人称单数 )；手舞足蹈；摇晃；跳跃
arrival	 [əˈraɪvl]	n. 	到达，抵达；出现，登场；新生婴儿；到达者
burns	 [bɜ:ns]	n. 	络腮胡子，大鬓角；烧伤，烧痕( burn的名词复数 )
		v. 	（使）燃烧( burn的第三人称单数 )；使用某物为燃料；烧毁；烧坏
resumed		v. 	重新开始( resume的过去式和过去分词 )；重新获得；重新占用；恢复
Ultimately	 [ˈʌltɪmətli]	adv. 	最后，最终；基本上；根本；郅
CLEARED	 [klɪəd]	v. 	变明朗( clear的过去式和过去分词 )；明白；离去；（通过票据交换所）交换票据
sharing	 ['ʃeərɪŋ]	n. 	分配；均分；共价；共享
killing	 [ˈkɪlɪŋ]	n. 	谋杀，杀人；猎物；暴利
		adj. 	致死的，致命的；令人精疲力尽的
		adv. 	吸引人地
		v. 	杀死( kill的现在分词)；使停止[结束，失败]；破坏，减弱，抵消；使痛苦，使受折磨
rifles		n. 	步枪( rifle的名词复数 )；来福枪
Madison	 ['mædɪsən]	 	麦迪逊（姓氏； 美国城市）
assessment	 [əˈsesmənt]	n. 	评估；评价；（应偿付金额的）估定；（为征税对财产所作的）估价
farmer	 [ˈfɑ:mə(r)]	n. 	农场主，农民；承包人
insects	 ['ɪnsekts]	n. 	昆虫( insect的名词复数 )；虫类
incredible	 [ɪnˈkredəbl]	adj. 	不可思议的；惊人的；难以置信的；未必可能的
attempting		v. 	试图( attempt的现在分词 )；尝试；试图夺取或攻克（堡垒、要塞等）；试图征服（高山）
gin	 [dʒɪn]	n. 	杜松子酒，；轧棉机；陷阱
		vt. 	轧棉，用轧棉机去籽；用陷阱（网）捕捉
manufacturer	 [ˌmænjuˈfæktʃərə(r)]	n. 	制造商，制造厂；厂主；[经]厂商
heels	 ['hi:lz]	n. 	高跟鞋；紧随某人；跟捬；飞奔逃跑；（袜子等的）后跟( heel的名词复数 )；足跟；有…后跟的；女高跟鞋
plates	 [pleɪts]	n. 	盘子( plate的名词复数 )；板块；平板；（作奖品用的）金杯
		v. 	镀( plate的第三人称单数 )；为…加设护板；给…制铅版（或电铸版）；用金属板固定（装饰）
Eighteenth	 [ˌeɪ'ti:nθ]	n. 	第十八；十八分之一；（每月的）第十八日
		num. 	第十八；十八号；十八分之一的
		adj. 	第十八的；第十八个的；十八分之一的
HOLLYWOOD	 [ˈhɒliwʊd]	n. 	好莱坞
Stern	 [stə:n]	 	斯特恩（姓氏； Otto, 1888-1969，生于德国的美国物理学家，曾获1943年诺贝尔物理学奖）
STUCK	 [stʌk]	v. 	刺(stick 的过去式及过去分词)
		adj. 	动不了的；被卡住的；被…缠住的；被…难住的，不知所措
justified	 [ˈdʒʌstɪfaɪd]	adj. 	有正当理由的，合理的；事出有因的
		v. 	调整；证明…有道理( justify的过去式和过去分词)
giant	 [ˈdʒaɪənt]	n. 	巨人，大汉；巨兽，巨物；卓越人物
		adj. 	特大的，巨大的；伟大的
unexpected	 [ˌʌnɪkˈspektɪd]	adj. 	想不到的，料不到的；意外的；忽然的；突然的
hungry	 [ˈhʌŋgri]	adj. 	饥饿的；渴望的，渴望得到；（统称）饥民；荒年的，不毛的
variations	 [ˌveəri:'eɪʃənz]	n. 	变化( variation的名词复数 )；变异；变奏（曲）；变量
Cabin	 [ˈkæbɪn]	n. 	小木屋；客舱；（轮船上工作或生活的）隔间
		vt. 	把…关在小屋里；使受拘束
		vi. 	住在小屋里
generations	 [dʒenə'reɪʃnz]	n. 	代( generation的名词复数 )；（家史中的）一代；产生；一批
craft	 [krɑ:ft]	n. 	手艺；诡计；飞行器；船
		vt. 	手工制作；精巧地制作
plug	 [plʌg]	n. 	塞子；插头；消防栓；（内燃机的）火花塞
		vt.& vi. 	插上插头
		vt. 	以（塞子）塞住；插入；〈俚〉枪击，殴打
		vi. 	填塞，堵；〈俚〉勤苦工作，用功
continuously	 [kən'tɪnjʊəslɪ]	adv. 	连续不断地，接连地；时时刻刻；连着；直
sentiment	 [ˈsentɪmənt]	n. 	感情，情绪；情操；意见，观点；感伤
reflects		v. 	反射（光、热、声或影像）( reflect的第三人称单数 )；考虑；反照；表达
searching	 [ˈsɜ:tʃɪŋ]	adj. 	搜索的；彻底的；锐利的
		n. 	搜寻，搜索，检查
		v. 	找寻( search的现在分词 )；搜查；探查；[医学]（用仪器）探测（外伤）
grades	 [ɡ'reɪdz]	n. 	（官阶、质量）等级( grade的名词复数 )； 年级； （考试或作业的）分数； （学生受测试的）技巧水平（尤指音乐方面）
		v. 	（官阶、质量）等级( grade的第三人称单数 )； 年级； （考试或作业的）分数； （学生受测试的）技巧水平（尤指音乐方面）
exercises	 ['eksəsaɪzɪz]	n. 	练习( exercise的名词复数 )；（弹钢琴指法等的）训练；使用；演习
		v. 	锻炼，训练，练习( exercise的第三人称单数 )；锻炼（身体某部位）；使焦虑；发挥（作用）
lighting	 [ˈlaɪtɪŋ]	n. 	照明，照明设备；点火；舞台灯光；布光，灯光安排
		v. 	照明；点燃(light的ing形式)
Publications		n. 	出版物
Victor	 [ˈviktə]	n. 	维克托（男子名）
refrigerator	 [rɪˈfrɪdʒəreɪtə(r)]	n. 	冰箱；冷藏库；制冰机，冷冻机
rocks		n. 	岩石( rock的名词复数 )；石头；岩块；摇滚乐
		v. 	（使）来回摆动( rock的第三人称单数 )；使震惊，使受震动
substances		n. 	物质( substance的名词复数 )；实质；物体；[哲学]1)。 本质
relevant	 [ˈreləvənt]	adj. 	有关的，中肯的；相关联的；确切的；有重大意义[作用]的，实质性的
Tennessee	 [ˌtenə'si:]	n. 	田纳西州
belly	 [ˈbeli]	n. 	肚子，腹部；（物体的）圆形或凸起部份；胃口，食欲；腹部…形的
		vt.& vi. 	膨胀
radar	 [ˈreɪdɑ:(r)]	n. 	雷达；雷达装置；无线电探测器
deck	 [dek]	n. 	甲板，舱板；[建]平屋顶，桥面；[铁路]客车车顶；〈俚〉地面
		vt. 	装饰；给…铺上甲板；打扮
souls		n. 	灵魂( soul的名词复数 )；人；灵乐；心性
genius	 [ˈdʒi:niəs]	n. 	天才；天赋；天才人物；（特别的）才能
curiosity	 [ˌkjʊəriˈɒsəti]	n. 	好奇心，爱打听的癖性；奇人；奇物，古玩；奇特性
BOATING	 [ˈbəʊtɪŋ]	n. 	划船；乘船（游玩）
		v. 	划船(boat的现在分词形式)
		adj. 	划船的
oxidation	 [ˌɒksɪ'deɪʃn]	n. 	氧化
hurried	 [ˈhʌrid]	adj. 	仓促的，匆忙地；草率的
		v. 	仓促（做某事）( hurry的过去式过去分词)；催促；快速移动
assumptions	 [ə'sʌmpʃnz]	n. 	假定，臆断( assumption的名词复数 )；（责任的）承担；（他人债务的）承继；[the A-][基督教]1)。 圣母升天
excited	 [ɪkˈsaɪtɪd]	adj. 	兴奋的，激动的；活跃的；激发的；受刺激的
		v. 	使兴奋（ excite的过去式和过去分词）
lengths		n. 	长( length的名词复数 )；（持续）时间的长短；一段；（马或船的）自身长度
ma	 [mɑ:]	n. 	妈；[化]元素 masurium 的符号
DISPLACEMENT	 [dɪsˈpleɪsmənt]	n. 	取代，替代；免职，停职；[船] 排水量；[化]置换
fibers		n. 	光纤( fiber的名词复数 )；（织物的）质地；纤维，纤维物质
inventory	 [ˈɪnvəntri]	n. 	存货清单；财产目录，财产目录的编制；存货总值；清查
		vt. 	编制…的目录；开列…的清单；盘存；总结
sixties		n. 	六十( sixty的名词复数 )
wounded	 [ˈwu:ndɪd]	adj. 	负伤的，受了伤（害）的
		v. 	使受伤，伤害( wound的过去式和过去分词 )；使（心灵）受伤，伤感情；缠绕( wind的过去式和过去分词 )；卷绕
whispered	 ['wɪspəd]	adj. 	耳语的，低语的
		v. 	低声说( whisper的过去式和过去分词 )；私语；小声说；私下说
Fogg		 	[人名] [英格兰人姓氏] 福格来源于中世纪英语，含义是“割晒干草之后留下再生长的草，浸水草地上的草”(grass left to grow after the hay has been cut,grass in a water meadow)
anti-Semitism	 [ˌænti ˈsemətɪzəm]	n. 	反犹太主义
happiness	 ['hæpɪnəs]	n. 	幸福；高兴；恰当；合适
Maggie		n. 	马吉（女子名）
		 	[女子名] 玛吉 Margaret的昵称
Spencer	 [ˈspensə]	 	斯宾塞（姓氏，男子名； Herbert, 1820-1903，英国实证主义哲学家）
substrate	 [ˈsʌbstreɪt]	n. 	底物；底层；基底；基层
Pip		 	[男子名] 皮普 Philip的昵称
ambiguous	 [æmˈbɪgjuəs]	adj. 	含糊的，不明确的；引起歧义的；有两种或多种意思的；模棱两可
recommendations		n. 	推荐( recommendation的名词复数 )；推荐信；正式建议；提议
servants	 ['sɜ:vənts]	n. 	仆人( servant的名词复数 )；雇员；奴仆般受制（或献身）于…的人；服务于…的事物
warned		v. 	警告( warn的过去式和过去分词 )；提醒；告诫；预先通知
traveled	 ['trævld]	adj. 	富有旅行经验的；旅客多的；旅客使用的；旅客常到的
congressional	 [kənˈgreʃənl]	adj. 	会议的；委员会的；国会的；议会的
Miller		 	米勒（姓氏； William, 1782-1849，美国宗教领袖，耶稣再临派教会创始人）
obligations	 [ɒblɪ'ɡeɪʃnz]	n. 	债务( obligation的名词复数 )；义务；[法律]债券；合约
