longer	 [ˈlɒŋgə(r)]	adj. 	比较久的；（距离，长度）长的( long的比较级 )；长时间的；（因忙或不愉快等）似乎比实际时间长的；长音的
methods	 ['meθədz]	n. 	method的复数：方法；方法( method的名词复数 )；方法论；教学法；分类法
operation	 [ˌɒpəˈreɪʃn]	n. 	操作，经营；手术；[数]运算；作用
addition	 [əˈdɪʃn]	n. 	加，增加，附加；[数]加法；增加的人或事物
association	 [əˌsəʊʃiˈeɪʃn]	n. 	协会，社团；联合，联系；联想
combine	 [kəmˈbaɪn]	v. 	使结合；使化合；兼有；用联合收割机收割
		n. 	联合；联合收割机；联合集团；组合艺术品（由画，拼贴和构成派雕塑等拼凑而成的艺术品）
knowledge	 [ˈnɒlɪdʒ]	n. 	了解，理解；知识（表示多方面的知识时有复数knowledges这一用法）；学科；见闻
decided	 [dɪˈsaɪdɪd]	adj. 	清楚的；坚决的；明显的；明白无误的
		v. 	下决心( decide的过去式和过去分词 )；（使）决定；解决；裁决
temperature	 [ˈtemprətʃə(r)]	n. 	温度；体温；气温；发烧，高烧
statement	 [ˈsteɪtmənt]	n. 	声明；（思想、观点、文章主题等的）表现；（文字）陈述；结算单
		vi. 	（英国）对儿童进行特殊教育评估认定
		vt. 	申请（小孩）有特殊教育需要
Yes		 	[计]是
below	 [bɪˈləʊ]	adv. 	在下面，到下面
		prep. 	（表示位置）在…下面；（表示状态）在…掩饰之下；（表示比较）不及；低于
game	 [geɪm]	n. 	游戏，运动；比赛，竞赛；诡计；运动会
		adj. 	受伤的，瘸的；对…有兴趣的；雄赳赳的；关于野味的
		v. 	打赌，赌输赢；赌输
nearly	 [ˈnɪəli]	adv. 	几乎，差不多；险乎
science	 [ˈsaɪəns]	n. 	科学；技术，知识；学科；理科
directly	 [dəˈrektli]	adv. 	直接地；不久，立即；正好地，恰好地；坦率地
		conj. 	一…就…
horse	 [hɔ:s]	n. 	马；骑马的军人，骑兵；有脚的架；跳马，鞍马
		vt. 	为…备马；猛推或用力向上举
		vi. 	欲交配，，用于母马
		adj. 	马的；骑在马背上的；马拉的，使用马力的；较大的，较粗硬的
influence	 [ˈɪnfluəns]	n. 	影响；势力；有影响的人（或事物）；[占星学]星力
		vt. 	影响；感染；支配；对…起作用
size	 [saɪz]	n. 	大小，尺寸；规模；胶料，浆糊；巨大，大量
		vt. 	按大小排列；改变…的大小；上胶料，上浆；上涂料
		adj. 	一定尺寸的
showed		v. 	给…看( show的过去式和过去分词 )；表现出；显露出；上演
build	 [bɪld]	vt. 	建造，构筑；建立；开发；为…建立基础
		vi. 	建造，营造；扩大，扩展；发展，达到
		n. 	体格，构造；〈俚〉优美的体型，肉体美
throughout	 [θru:ˈaʊt]	prep. 	（表示时间）自始至终；在…期间；遍及…地域；遍及…场所
		adv. 	处处；始终；在所有方面
questions	 ['kwestʃənz]	n. 	询问，疑问，问题；问题( question的名词复数 )；疑问；怀疑；议题
		v. 	问（某人）问题( question的第三人称单数 )；对（某事物）表示[感到]怀疑
character	 [ˈkærəktə(r)]	n. 	性格；特点；字母；角色
		vt. 	刻，印；使具有特征
foot	 [fʊt]	n. 	脚；底部；英尺(=12 英寸或 30。48 厘米)；脚步
		vt. 	走，踏
		vt.& vi. 	结算，总计，共计
Kennedy	 [ˈkenɪdi:]	n. 	肯尼迪（美国第35任总统，在任内遇刺身死）
firm	 [fɜ:m]	adj. 	坚固的，坚牢的；坚定的，坚决的；严格的；确定的
		vt.& vi. 	使坚固；使坚实
		n. 	商号，商行；公司；企业；工作集体
		adv. 	坚定地，稳固地
		vt. 	使坚定，使牢固
		vi. 	变坚实，变稳固
reading	 [ˈri:dɪŋ]	n. 	阅读；宣读；读物；读数
		v. 	读( read的现在分词)；看懂；理解；显示，标明
husband	 [ˈhʌzbənd]	n. 	丈夫；〈英〉管家；〈古〉节俭的管理人；船舶管理人
		vt. 	节俭地使用；〈罕〉做…的丈夫
doubt	 [daʊt]	n. 	怀疑，疑虑；未确定
		vt. 	怀疑，疑惑
		vi. 	不确定，不能肯定或怀疑
services	 ['sɜ:vɪsɪz]	n. 	公共事业机构（或公司）；（提供技术或帮助的）服务；宗教礼仪；礼拜仪式；服务( service的名词复数 )；公共机构；业务；服役
according	 [ə'kɔ:dɪŋ]	adv. 	依照
		v. 	给予( accord的现在分词 )；使和谐一致；使符合；使适合
		adj. 	相符的，和谐的，相应的
lay	 [leɪ]	vt. 	放置；铺放；涂，敷；产卵
		adj. 	世俗的；外行的；没有经验的
		n. 	叙事诗；性伙伴
stay	 [steɪ]	vt.& vi. 	停留；停止；坚持；抑制
		vi. 	继续处于某种状态
		n. 	逗留；延期；倚靠；忍耐
programs	 [p'rəʊɡræmz]	n. 	程序( program的名词复数 )；编码指令；[生物学]（作为生物的一部分的）密码指令序列；节目单
		v. 	（像计算机程序那样）预先确定( program的第三人称单数 )；为（计算机）编制程序；为…提供生物程序；（在生物体的程序中）把…译成遗传密码
anyone	 [ˈeniwʌn]	pron. 	任何人；任何一个；谁
average	 [ˈævərɪdʒ]	adj. 	平常的；平均的；典型的；（价值、比率等的）平均数的
		n. 	平均水平；（速度等的）平均率；平均估价
		vt. 	[数学] 计算…的平均值；调和，拉平；分摊；按比例（或平均）分配（利润等）
		vi. 	平均：作为或达到一个中间值；维持（有利的）平均价格
French	 [frentʃ]	adj. 	法国的，法国人的；法语的
		n. 	法语；法国人
spring	 [sprɪŋ]	n. 	春季；泉水，小溪；弹簧，弹性；跳跃
		vi. 	跳，跃；突然发出或出现；发源；劈开，裂开
		vt. 	突然跳出；跳过；使开裂
		adj. 	春天的；弹簧的，有弹性的
former	 [ˈfɔ:mə(r)]	adj. 	以前的，从前的；在前的；前任的
		n. 	模型，样板；构成者，创造者；起形成作用的人；[无线]线圈架
summer	 [ˈsʌmə(r)]	n. 	夏，夏天；全盛时期，黄金时代，壮年时期；[建]大梁，檀条，楣，柱顶石；岁数
		adj. 	夏季的
		v. 	度过夏季，避暑；使度过夏季，夏季放牧（家畜）
bill	 [bɪl]	n. 	账单；钞票；清单；广告
		vt. 	安排；给…开账单；为…发提（货）单；把…登录在账
		vi. 	鸟嘴相接触
lot	 [lɒt]	n. 	份额；许多；命运；阄
		adv. 	（与形容词和副词连用）很，非常；（与动词连用）非常
		pron. 	大量，许多
		vt. 	分组，把…划分（常与out连用）；把（土地）划分成块
		vi. 	抽签，拈阄
chance	 [tʃɑ:ns]	n. 	机会，机遇；概率，可能性；偶然，运气
		v. 	偶然发生；冒险；碰巧；偶然被发现
		adj. 	意外的；偶然的；碰巧的
due	 [dju:]	adj. 	预定；适当的；应有的；由于
		n. 	应有的权利，应得到的东西；应缴款（如俱乐部会费）
		adv. 	直接地，直达地；[古语] 适当地
comes	 ['kɒmɪz]	n. 	伴星，伴引血管
		v. 	来（ come的第三人称单数 ）；到达；达到（认识、理解或相信的程度）；出生
army	 [ˈɑ:mi]	n. 	军队；陆军；团体；野战军
actual	 [ˈæktʃuəl]	adj. 	真实的；实际的；现行的；现在的
Southern		 	[人名] [英格兰人姓氏] 萨瑟恩 South的变体
neither	 [ˈnaɪðə(r)]	adj. 	（两者）都不的
		pron. 	两者都不
		adv. 	两个都不；既不…也不
		conj. 	也不；既不
relate	 [rɪˈleɪt]	vt.& vi. 	（把…）联系起来；讲，叙述（故事等）
		vt. 	讲述，叙述；使…有联系；建立或展示联系
		vi. 	有联系；涉及；符合；发生共鸣
rise	 [raɪz]	vi. 	上升；增强；（数量）增加；休会
		n. 	（数量或水平的）增加；兴起；（数量、价格、价值等的）增长；（日、月等的）升起
		vt. 	使…浮上水面；使（鸟）飞起；复活；发酵
evening	 [ˈi:vnɪŋ]	n. 	傍晚；黄昏；晚会；晚年，衰退期，末期
		adj. 	在晚上的；为晚上的；晚上用的
		int. 	晚上好
normal	 [ˈnɔ:ml]	adj. 	正常的；正规的，标准的；[数学]正交的；精神健全的
		n. 	正常，常态；标准；[数学]法线
wish	 [wɪʃ]	v. 	希望；想要；祝愿
		n. 	愿望；希望；希望的事 ；祝福
visit	 [ˈvɪzɪt]	vt.& vi. 	访问；探望；参观；游览
		vi. 	作客
		n. 	访问，参观；逗留
		vt. 	拜访，参观
population	 [ˌpɒpjuˈleɪʃn]	n. 	人口；全体居民；特定[生物]种群；[物]布居
remain	 [rɪˈmeɪn]	n. 	剩余物，残骸；残余；遗迹；遗体
		vi. 	留下；保持；留待；依然
		vi.& link-v. 	搁置；剩余，剩下；逗留；终属，归于
measure	 [ˈmeʒə(r)]	n. 	测量，测度；措施；程度；尺寸
		vt. 	测量；估量
		vi. 	测量；测量（大小，容量，尺寸等）
merely	 [ˈmɪəli]	adv. 	仅仅，只不过；只是；纯粹；全然
arrange	 [əˈreɪndʒ]	vt. 	把…（系统地）分类；整理；改编（剧本等）；达成…的协议
		vi. 	（就某事与某人）达成协议，（与某人）商定（某事）(with a person about 或 for a thing)；[音乐]（尤指专业）改编乐曲
condition	 [kənˈdɪʃn]	n. 	状态；环境；健康状况；条款
		vt. 	制约；限制；使习惯于；使适应
		vt.& vi. 	对…具有重要影响；影响（某事发生的方式）；保持（头发或皮肤等的）健康；养护
decision	 [dɪˈsɪʒn]	n. 	决定；果断；决议；（法院的）判决
		vt. 	[口语][拳击]靠判定击败（对手）
account	 [əˈkaʊnt]	n. 	账，账目；存款；记述，报告；理由
		vi. 	解释；导致；报账
		vt. 	认为；把…视作
opportunity	 [ˌɒpəˈtju:nəti]	n. 	机会；适当的时机良机；有利的环境，条件
pass	 [pɑ:s]	vt.& vi. 	走过；通过；批准；度过
		vt. 	传球；及格；发生；不要
		n. 	通道；通行证；关口；越过
demand	 [dɪˈmɑ:nd]	vt. 	要求，请求；需要；[法]召唤；询问，盘问
		n. 	需求；需要；要求，请求；销路
		vi. 	需要；请求；查问
strength	 [streŋθ]	n. 	力量；优点，长处；（光、声、色等的）力度；人力[数]
window	 [ˈwɪndəʊ]	n. 	窗，窗户；窗口；〈美俚〉眼镜
active	 [ˈæktɪv]	adj. 	积极的，活跃的，有生气的；迅速的，敏捷的；有效的，起作用的
		n. 	[语法]主动语态；积极分子，活跃的人
deep	 [di:p]	adj. 	深的；深远的，深奥；重大的，深刻的；强烈的，痛切的，深厚的
		n. 	深处，深渊
		adv. 	深深地，深入地
degree	 [dɪˈgri:]	n. 	[乐]音阶，度；[数]度，度数；程度；学位
ran	 [ræn]	v. 	跑( run的过去式 )；移动；（使）流动；（工作等）进行
western	 [ˈwestən]	adj. 	西方的；欧美的
		n. 	西部电影，西部小说；西方人
E	 [i:]	n. 	英语字母表的第5个字母；C大调音阶中的第三音；迷幻药
sales	 [seɪlz]	adj. 	销售的，推销的
		n. 	销售（额）；卖( sale的名词复数 )；销售额；销路；贱卖
continued	 [kənˈtɪnju:d]	adj. 	继续的，延续的
		v. 	继续，连续( continue的过去式和过去分词 )；持续；逗留；停留
fight	 [faɪt]	vt.& vi. 	战斗；斗争；打架；吵架
		n. 	打架；吵架；战斗；斗志
heavy	 [ˈhevi]	adj. 	重的，沉重的；大量的，浓密的；激烈的；重型的
		n. 	重物；庄重的角色
		adv. 	密集地；大量地；笨重地
arm	 [ɑ:m]	n. 	臂；武器；[复数]战事；权力
		vi. 	准备（斗争），准备行动（against）
		vt. 	装备（防御工事）；准备（攻击或迎击）；配备；防护
standard	 [ˈstændəd]	n. 	标准，规格；旗，军旗；度量衡标准；直立支柱
		adj. 	标准的，合格的；普遍的，一般的；公认为优秀的
generally	 [ˈdʒenrəli]	adv. 	一般地，通常；广泛地，普遍地；概括地；主要地
carry	 [ˈkæri]	vt. 	支撑；携带；输送；运载
		vt.& vi. 	运送；搬运；具有
		vi. 	（文学、戏剧等）对读者；扔（或踢）到…距离；（马等）具有某种姿势；传得很远
		n. 	（枪炮、火箭等的）射程；运输，运送
hot	 [hɒt]	adj. 	热的；辣的；激动的；热门的
		vt. 	使兴奋，使激动
		adv. 	热的；紧迫的
		vi. 	变热
provided	 [prəˈvaɪdɪd]	conj. 	如果；假如；在…的条件下
		v. 	提供，供给( provide的过去式和过去分词)
serious	 [ˈsɪəriəs]	adj. 	严肃的，严重的；认真的，庄重的；重要的；危险的
led	 [led]	v. 	带路( lead的过去式和过去分词 )；领导；指挥；领先
wait	 [weɪt]	vt.& vi. 	等候；等待；（尤指长期地）希望；盼望
		vi. 	准备妥；在手边；可得到；可使用
		vt. 	推迟，搁置，延缓
hotel	 [həʊˈtel]	n. 	旅馆，宾馆，酒店，饭店
		vt. 	使…在饭店下榻
		vi. 	进行旅馆式办公
opened	 ['əʊpənd]	adj. 	断开的
		v. 	（打）开( open的过去式和过去分词 )；开始；睁开；启动
performance	 [pəˈfɔ:məns]	n. 	表演；演技；表现；执行
maybe	 [ˈmeɪbi]	adv. 	也许；可能；大概
		n. 	不确定性
station	 [ˈsteɪʃn]	n. 	车站；所，局；身份；电视台
		vt. 	配置，安置；驻扎
changes	 [tʃendʒs]	n. 	（会令人感兴趣或可喜的）变化( change的名词复数 )；换车；辅币；变迁
literature	 [ˈlɪtrətʃə(r)]	n. 	文学；文学作品；文献；著作
marry	 [ˈmæri]	vt.& vi. 	（使）结婚；娶；嫁；结合
		vt. 	为…主持婚礼
claim	 [kleɪm]	vt. 	声称；断言；需要；索取
		vi. 	提出要求
		n. 	（根据权利而提出的）要求；声称；断言；索赔
works		n. 	[机] 工厂，工场；工程；所有的事物；全套物品；作为( work的名词复数 )；功；工厂
		v. 	（使）工作( work的第三人称单数 )；（使）运作；运转；（使）产生效果
bed	 [bed]	n. 	床；苗圃；河床；（地下由黏土、岩石等构成的）地层
		vt. 	把…固定在；（某人）发生性关系；给人铺床
		vi. 	上床；分层
wrong	 [rɒŋ]	adj. 	有毛病的，失常的；错误的，不正确的；不好的，不公正的；反对的，相反的，颠倒的，背面的，里面的
		adv. 	不对，错误，失当；不好，不公正；逆，颠倒，翻转；有毛病，不舒服
		n. 	过失，错误；不义的行为；不义行为；犯罪
		vt. 	委屈，无理地对待，诽谤
main	 [meɪn]	adj. 	主要的，最重要的；全力的
		n. 	最主要的部分，重点；主要管道；体力；[航海]公海
unit	 [ˈju:nɪt]	n. 	单位，单元；装置；个体；[数]单位数
George	 [dʒɔ:dʒ]	n. 	男子名
hit	 [hɪt]	vt.& vi. 	打，打击；碰撞
		vt. 	击（球）；（在精神上）打击（某人）；猜中；迎合
		n. 	打，打击；碰撞；（演出等）成功；批评，讽刺
		vi. 	（风暴、疾病等）袭击；抨击；（偶然）碰上；（突然）想到（与 on, upon 连用）
planning	 [ˈplænɪŋ]	n. 	计划；规划
		v. 	“plan”的现在分词；计划；设计
supply	 [səˈplaɪ]	vt. 	供给；补充；弥补（缺陷、损失等）；向…提供（物资等）
		n. 	供给物；储备物质；粮食
		vi. 	暂代他人职务
systems	 [sɪstəms]	n. 	[物理化学]系( system的名词复数 )；制度；身体；系统
add	 [æd]	vt. 	增加；补充；附带说明；把…包括在内
		vi. 	增加；做加法；累积而成；扩大
		n. 	加法，加法运算；（一篇报道的）补充部分
chief	 [tʃi:f]	adj. 	级别最高的；总的；主要的；最重要的
		n. 	族长；酋长；首领；主管人员
officer	 [ˈɒfɪsə(r)]	n. 	军官，警官；高级职员；公务员；船长
		v. 	指挥；统率；管理；配置军官
Soviet	 [ˈsəʊviət]	n. 	苏维埃；苏联（人）；劳苏联政府；工代表会议
		adj. 	苏联的；苏联人的；苏维埃的
pattern	 [ˈpætn]	n. 	模式；花样，样品；图案；榜样，典范
		vt. 	模仿；以图案装饰
		vi. 	形成图案
stopped	 [stɒpt]	v. 	停止( stop的过去式和过去分词 )；中断；逗留；（使）停止工作
price	 [praɪs]	n. 	价格，价钱；代价；价值；赏金
		vt. 	标价；定价；问…的价格；给…定价
success	 [səkˈses]	n. 	成功，成就；好成绩，好结果；成功的人（或物）
lack	 [læk]	vt. 	缺乏，缺少；需要的东西
		n. 	缺乏，不足，没有；缺少的东西
myself	 [maɪˈself]	pron. 	我自己，亲自
truth	 [tru:θ]	n. 	真理；真相，事实；忠实，忠诚；现实，现实性
freedom	 [ˈfri:dəm]	n. 	自由，自主；直率；特权，特许；自由权
manner	 [ˈmænə(r)]	n. 	方式，方法，做法；态度，样子，举止；礼貌，规矩；风俗，习惯，惯例，生活方式
quality	 [ˈkwɒləti]	n. 	质量，品质；美质，优点；才能，能力，技能，素养；品种
		adj. 	优质的，高质量的；上流社会的
gun	 [gʌn]	n. 	枪；发令枪声；受雇杀人的枪手；喷射器
		vt. 	射击（某人）；给…加大油门；打猎
		vi. 	用枪打猎
manufacture	 [ˌmænjuˈfæktʃə(r)]	vt. 	制造，生产；捏造，虚构；加工；从事制造
		n. 	制造；制成品，产品；工业，工厂；（文学作品等的）粗制滥造
clearly	 [ˈklɪəli]	adv. 	明亮地；明净地；明确地；显然地
share	 [ʃeə(r)]	n. 	股；（参与、得到等的）份；（分享到的或贡献出的）一份；市场占有率
		vt.& vi. 	共有；共用；均摊
		vt. 	分配；分开；共同承担
		vi. 	分享，分担(in)
movement	 [ˈmu:vmənt]	n. 	运动；活动；动作，举动；乐章
length	 [leŋθ]	n. 	长度，长；时间的长短；（语）音长；一段，一节
ways	 ['weɪz]	n. 	方法；（做某事现有的）方法和资源；你不可能做到两全其美；（所说的话）不止一个意思；路( way的名词复数 )；方法；方向；某方面
burn	 [bɜ:n]	vt.& vi.& link-v. 	（使）燃烧
		vt.& vi. 	使用某物为燃料；烧毁；烧坏；烧伤
		n. 	烧伤，烧痕
forms	 ['fɔ:mz]	n. 	形状( form的名词复数 )；（空白）表格（纸）；方式；组成
		v. 	形成，构成，产生( form的第三人称单数 )；是；（使）成形；结成（友谊）
Organization	 [ˌɔ:gənaɪˈzeɪʃn]	n. 	组织；机构；团体
		adj. 	有组织的
break	 [breɪk]	vt. 	（使）破；打破（纪录）；（常指好天气）突变；开始
		vi. 	（嗓音）突变；突破；破晓；（价格）突然下跌
		n. 	破裂；中间休息；间断；短假
somewhat	 [ˈsʌmwɒt]	adv. 	稍微；有点；达到某种程度
		n. 	少量；某些数量；某种程度
efforts	 ['efəts]	n. 	努力( effort的名词复数 )；气力；努力的结果；努力（或艰难尝试）的成果
cover	 [ˈkʌvə(r)]	vt. 	覆盖，遮蔽；采访，报导；涉及；包括
		n. 	盖子，覆盖物；（书等的）封面；隐蔽，遮蔽；（保险公司的）保险
		vi. 	代替；覆盖
meaning	 [ˈmi:nɪŋ]	n. 	意思，意义；含义；意图
		adj. 	有意思的；意味深长的
		vt. 	意味(mean的现在分词)；意思是
progress	 [ˈprəʊgres]	n. 	进步；前进；[生物学]进化；（向更高方向）增长
		v. 	（使）进步，（使）进行；发展；促进
		vi. 	发展；（向更高方向）增进
treatment	 [ˈtri:tmənt]	n. 	治疗，疗法；处理；待遇，对待
beautiful	 [ˈbju:tɪfl]	adj. 	美丽的，美好的；极好的
placed	 [pleɪst]	 	放置
happy	 [ˈhæpi]	adj. 	幸福的；快乐的；巧妙的；〈口〉有点醉意的
attack	 [əˈtæk]	vt.& vi. 	攻击，进攻，抨击
		n. 	攻击；抨击；（队员等的）进攻；（疾病）侵袭
		vt. 	抨击；非难；侵袭；损害
apparently	 [əˈpærəntli]	adv. 	据说，看来；似乎；实际上
blood	 [blʌd]	n. 	血，血液；流血，杀戮，杀人（罪），牺牲；有…类型的血的，血统；血气，气质
		vt. 	用血染（皮革等），用血弄湿；使出血，抽…的血；让新人初试做某事，使先取得经验
groups		n. 	组( group的名词复数 )；群；小型流行音乐演奏组；集团
		v. 	使成群，集合( group的第三人称单数 )；分类，归类
carried	 ['kærɪd]	adj. 	被携带的，被运载的
		v. 	支撑( carry的过去式和过去分词 )；携带；输送；运载
sign	 [saɪn]	n. 	符号；手势；迹象；指示牌
		vt.& vi. 	签名；打手势
radio	 [ˈreɪdiəʊ]	n. 	无线电；收音机；无线电广播台；无线电收发报机
		vt.& vi. 	用无线电发送讯息；作无线电广播；用X射线拍照
dance	 [dɑ:ns]	n. 	跳舞；舞会；舞蹈艺术；舞曲
		vi. 	跳舞；手舞足蹈；摇晃；跳跃
		vt. 	使跳舞
regard	 [rɪˈgɑ:d]	vt. 	认为；注视；涉及；尊敬
		vi. 	凝视；留意
		n. 	凝视；留意；尊敬；问候
train	 [treɪn]	n. 	火车；行列；一系列相关的事情； 拖裾
		v. 	训练；教育；培养；修整
herself	 [hɜ:ˈself]	pron. 	（反身代词）她自己；（用以加强语气）她亲自，她本人
numbers		n. 	算术； 数量上的优势；数( number的名词复数 )；数目；一期；一群人
		v. 	数，算( number的第三人称单数 )；给…编号；总共
corner	 [ˈkɔ:nə(r)]	n. 	角落，角；拐角；困境；[商]囤积
		vi. 	驾车转弯；聚于角落
		vt. 	垄断；逼入困境
		adj. 	位于角落的
REACTION		abbr. 	remote access intormation (system) 远程接入信息（系统）
immediately	 [ɪˈmi:diətli]	adv. 	立即，马上；直接地；紧接地
		conj. 	一…就，即刻
language	 [ˈlæŋgwɪdʒ]	n. 	语言，语言文字；表达能力；言语，语风，文风，文体；专门用语，术语
running	 [ˈrʌnɪŋ]	n. 	跑步；运转；流出
		adj. 	跑着的；流动的；连续的；操作中的，运转着的
		v. 	跑；运转(run的ing形式)
recently	 [ˈri:sntli]	adv. 	最近，近来；不久以前；近日；新近
shake	 [ʃeɪk]	vt. 	动摇；摇头；使发抖；使心绪不宁[烦恼，惊吓]
		vi. 	摇（出），抖（掉）；握手；（嗓音）颤抖
		n. 	摇动；震动；哆嗦；混合饮料
larger	 [la:dʒə]	adj. 	大的，多量的；大的( large的比较级 )；大规模的；众多的；（服装、食物、日用品等）大型号的
lower	 [ˈləʊə(r)]	adj. 	下方的；在底部的；较低级的
		v. 	降低；减少；缩小
machine	 [məˈʃi:n]	n. 	机器，机械；机械般的人；核心
		vt. 	用机器制造，用机器加工
		vi. 	被机器切削
attempt	 [əˈtempt]	vt. 	试图；尝试
		n. 	进攻；尝试，冲击
learn	 [lɜ:n]	vt.& vi. 	学习，学会；习得；得知；记住
		vt. 	记住；学习；得知；认识到
		vi. 	学习；获知
couple	 [ˈkʌpl]	n. 	对，双；配偶，夫妻；几个，两三个
		vt.&vi. 	连在一起，连接；成双，结婚；性交，交配
race	 [reɪs]	n. 	赛跑；竞争；人种；民族
		v. 	参加比赛；使比赛；快速移动；剧烈跳动
audience	 [ˈɔ:diəns]	n. 	观众，听众，读者；读者；接见；拥护者，爱好者
Oh		abbr. 	ohm 欧姆（电阻单位）；恶；喔唷；啊
middle	 [ˈmɪdl]	n. 	中部，中间；腰部；中央；正中
		adj. 	中部的；中央的；正中的；中间的
		vt. 	把…放在中间；把…对折
		vi. 	放在中间；对折
brown	 [braʊn]	adj. 	棕色的；褐色的；被晒黑的；未去壳的
		n. 	褐色；棕色
		v. 	变成棕色；成褐色；晒黑；烤得焦黄
date	 [deɪt]	n. 	日期，日子；约会；时代，年代；（北非和西亚常见的海枣树的）海枣
		vt. 	过时；使…显老；显示出…时代（或年龄）；鉴定…的年代
		vt.& vi. 	与人约会，相约
		vi. 	属于某一特定时期；从某时起计算日期；记载日期；注有（或注明）日期
health	 [helθ]	n. 	健康状况；卫生；保健；昌盛，兴旺
persons	 ['pɜ:snz]	n. 	人( person的名词复数 )；（语法）人称
understanding	 [ˌʌndəˈstændɪŋ]	vt. 	理解，懂得；熟知，通晓；获知，理解；谅解
		vi. 	理解，懂得；表示同情或谅解；据说
		n. 	认识，了解；谅解；知识
		adj. 	能谅解的；宽容的；通情达理的
arms	 [ɑ:mz]	n. 	武器；战争；臂；纹章；臂( arm的名词复数 )；武器；[复数]战事；权力
daily	 [ˈdeɪli]	adj. 	每日的，日常的；一日的；每日一次的；每个工作日的
		n. 	日报；（不寄宿的）仆人，白天做家务的女佣
		adv. 	每日；逐日；每周日；日复一日地
suppose	 [səˈpəʊz]	vt. 	假定；猜想，推测；认为；让（用于祈祷语气）
		vi. 	想象，猜想
additional	 [əˈdɪʃənl]	adj. 	额外的，附加的；另外的，追加的；补充；外加
hospital	 [ˈhɒspɪtl]	n. 	医院；收容所；养老院；〈古〉旅客招待所
pool	 [pu:l]	n. 	水池；石油层；（液体等的）一滩；共同储金
		vi. 	使形成池塘或水洼；淤积；合伙经营；采（煤等）
technical	 [ˈteknɪkl]	adj. 	技术（性）的，工艺的，学术（上）的，专门（技术）的，艺术的；[法]根据法律的，法律上的；[商]人造的，用工业方法制造的，由市场内部因素（如投机等）引起的；〈美俚〉外表的，表面上的，浅薄的
served		vt.& vi. 	serve的过去式
		v. 	（为…）服务( serve的过去式和过去分词 )；任（职）；提供；端上
declare	 [dɪˈkleə(r)]	vt. 	宣布；声明，声称；申报；[法]供述
		vi. 	声明，发表宣言；宣称
described	 [dɪsk'raɪbd]	adj. 	被看到的，被发现的
		v. 	描写( describe的过去式和过去分词 )；叙述；画出（图形等）；形容
current	 [ˈkʌrənt]	adj. 	现在的；最近的；流行的；流传的
		n. 	趋势；电流；水流；涌流
poor	 [pɔ:(r)]	adj. 	贫穷的，贫乏的；令人怜悯的，可怜的；匮乏的；低劣的
		n. 	the poor 贫困者，穷人
steps		n. 	级别( step的名词复数 )；脚步；步骤；步伐
		v. 	举步，行走，跨步( step的第三人称单数 )；离开(along)；（尤指马）轻快地走；（跳舞时）合着节拍走
reported	 [rɪ'pɔ:tɪd]	adj. 	据报告的，据报导的，据传闻的
sun	 [sʌn]	n. 	太阳，阳光；恒星；中心人物
		v. 	晒太阳
based	 [beɪst]	adj. 	有根基的；有基地的
		v. 	立基于；以…为基础(base的过去式和过去分词)
produce	 [prəˈdju:s]	vt.& vi. 	生产；产生；制作；创作
		vt. 	制造；出示；引起；[经济学]生利
		n. 	产品；产量；产额；结果
determined	 [dɪˈtɜ:mɪnd]	adj. 	坚定的；毅然的；确定的
		v. 	（使）下决心，（使）做出决定( determine的过去式和过去分词)；决定；确定；使决定
receive	 [rɪˈsi:v]	vt.& vi. 	收到；接到；接纳；接待
		vt. 	接收；受理；欢迎；承受
		vi. 	接到，获得；接见，欢迎；[电子学] 接收；[橄榄球] 接球
park	 [pɑ:k]	n. 	公园；停车场
		vi. 	泊车，停车
		vt. 	将…放置在某处；停车
staff	 [stɑ:f]	n. 	参谋；全体职员；管理人员；权杖
		adj. 	行政工作的；参谋的；职员的；作为正式工作人员的
		v. 	在…工作；为…配备职员；任职于
faith	 [feɪθ]	n. 	信用，信任；宗教信仰；忠诚；宗教
		int. 	实在，确实
responsibility	 [rɪˌspɒnsəˈbɪləti]	n. 	责任；职责；责任感，责任心；负责任
Europe	 [ˈjʊərəp]	n. 	欧洲；欧盟；（除英国以外的）全欧洲；除英国外的欧洲国家
latter	 [ˈlætə(r)]	adj. 	后者的；末了的；较后的
British	 [ˈbrɪtɪʃ]	adj. 	不列颠的；英国的；英国人的；英国英语的
		n. 	（总称）英国人；英国英语
season	 [ˈsi:zn]	n. 	季节，季；时期；活动期，时令；暂时
		vt. 	使适应，使适用；调味
		vt.& vi. 	使变干燥
equal	 [ˈi:kwəl]	adj. 	相等的，平等的；平稳的；势均力敌的；胜任的
		vt. 	等于；比得上；使相等；同样看待
		n. 	同样的人；相等的数量；能与之比拟的东西；（地位、实力等）相同的人
		vi. 	相等，相平（与out连用）
learned	 [ˈlɜ:nɪd]	adj. 	有学问的；博学的；学术上的；精通某门学问的
		v. 	学习(learn的过去式和过去分词)；得知
practice	 [ˈpræktɪs]	n. 	练习；实践；（医生或律师的）业务；惯例
		vi. 	实行；惯常地进行；练习；实习
		vt. 	实行，实践；执业；练习；惯常地进行
green	 [gri:n]	adj. 	绿色的；未熟的，青春的；未成熟的；主张保护环境的
		n. 	绿色蔬菜；绿色的衣服；植物
		vi. 	绿化，使重视环境保护问题
writing	 [ˈraɪtɪŋ]	n. 	文字；写作；文章；笔迹
		v. 	写（ write的现在分词）；写信
