Wilson	 ['wɪlsn]	n. 	威尔逊(m.) chamber [核]威尔逊云室
		v. 	说( talk的过去式和过去分词 )；讨论；说话；（用以强调款额、情况严重程度等）讲的是
complaint	 [kəmˈpleɪnt]	n. 	抱怨，控诉；委屈，怨言；平平的来由；痛苦根源
meat	 [mi:t]	n. 	肉；食物；实质
		adj. 	重要的；基本的
numerous	 [ˈnju:mərəs]	adj. 	很多的，许多的；数量庞大的数量庞大的；数不清的
seed	 [si:d]	n. 	种子；子孙；起源；（尤指网球比赛）种子选手
		vt. 	播种；抽出种子选手；除去…之种子；确定（某人）为种子选手
		vi. 	结籽；（种子）繁殖
critical	 [ˈkrɪtɪkl]	adj. 	批评的，爱挑剔的；危险的，危急的；决定性的；[物]临界的
pad	 [pæd]	vt. 	给…装衬垫， 加垫子；填塞；踏平
		vi. 	步行，放轻脚步走
		n. 	垫，衬垫；护具；便签本；发射台
aid	 [eɪd]	n. 	帮助；助手；外援；辅助设备
		vt. 	帮助；资助；救助；促进
		vi. 	帮助
steep	 [sti:p]	adj. 	陡峭的，险峻的；过分的，夸张的；极高的；急剧升降的
		vt. 	浸泡；使渗透或沉溺；使浸透
		vi. 	在液体中浸泡
		n. 	泡的行为或过程；被浸泡的状态；浸泡液
emphasis	 [ˈemfəsɪs]	n. 	强调；着重；（轮廓、图形等的）鲜明；突出，重读
curtain	 [ˈkɜ:tn]	n. 	窗帘，门帘；帐幕之物，幕布；启幕，落幕
		vt. 	给（窗户或房间）装上帘子；掩蔽
grounds	 [ɡ'raʊndz]	n. 	庭院；理由；渣滓；泥土( ground的名词复数 )；地面；[航海学]底；（工作、讨论等的）范围
ice	 [aɪs]	n. 	冰；雪糕；冷淡；冰状物
		vt.& vi. 	（使）结冰
		vt. 	结冰；冰镇
		vi. 	结冰
		adj. 	冰的
volume	 [ˈvɒlju:m]	n. 	量，大量；体积；音量；卷
		adj. 	大量的
		vi. 	成团卷起
		vt. 	把…收集成卷
calculation	 [ˌkælkjuˈleɪʃn]	n. 	计算，盘算；估计；计算的结果；深思熟虑，慎重的计划
surprised	 [səˈpraɪzd]	adj. 	惊奇的；惊讶的；觉得奇怪的；感觉意外的
solemn	 [ˈsɒləm]	adj. 	庄严的，严肃的；庄重的；隆重的，神圣的；犹豫的，阴沉的
grease	 [gri:s]	n. 	动物油脂；油膏，润滑油；〈俚〉贿赂
		vt. 	涂油脂于，用油脂润滑；贿赂
India	 ['ɪndɪə]	n. 	印度（亚洲）
interfere	 [ˌɪntəˈfɪə(r)]	vi. 	干预，干涉；调停，排解；妨碍，打扰
understood	 [ˌʌndərˈstʊd]	v. 	懂，理解( understand的过去式和过去分词 )；了解；默认；听说
explode	 [ɪkˈspləʊd]	vi. 	爆[突]发，发怒；激增，迅速扩大
		vt. 	（使）爆炸；突然（发出巨响，活跃起来，迸发感情）；推翻；驳倒
soldiers	 ['səʊldʒə]	n. 	士兵，军人( soldier的名词复数 )；兵员；士卒
fasten	 [ˈfɑ:sn]	vt. 	系牢，钉牢；使坚固或稳固；使合在一起：封合；集中：稳定地集中或指向：
		vi. 	附着，扣紧；紧握，紧抱；集中：显著地注意，集中
stick	 [stɪk]	vt.& vi. 	粘贴；张贴；插入；刺入
		vt. 	容忍；产生作用；（尤指迅速或随手）放置；阻延或推迟
		n. 	棍棒，棍枝；枝条；操纵杆；球棍
everywhere	 [ˈevriweə(r)]	adv. 	到处，处处，无论什么地方；四下里；漫；匝地
flag	 [flæg]	n. 	旗；旗帜；信号旗；菖蒲
		vt. 	标示
		vi. 	疲乏，变弱，热情衰减
hence	 [hens]	adv. 	因此，所以；从此；从此处
		int. 	去
resign	 [rɪˈzaɪn]	v. 	辞职；放弃；屈从；勉强接受
postpone	 [pəˈspəʊn]	vt. 	使延期，延缓；把…放在次要地位；把…放在后面
		vi. 	延缓；延缓发作
boast	 [bəʊst]	vt. 	自夸，自吹自擂；夸口说；以有…而自豪；自负有
		n. 	夸口，自负；自负的事物，引以为傲的东西；自夸的话；扬言
violence	 [ˈvaɪələns]	n. 	暴力，强暴，暴虐；猛烈，激烈；歪曲（事实），曲解（意义）；冒渎，不敬
guest	 [gest]	n. 	客人；旅客；特邀嘉宾；[动]寄生虫
		v. 	做特邀嘉宾；做客串；做特约演员
		adj. 	客人的；客座的；为客人准备的
rope	 [rəʊp]	n. 	粗绳；绳索；一串；学会决窍，知道决窍
		vt. 	（用绳子）捆；用绳子系牢；捆紧；用套索抓捕（动物）
		vi. 	成索状或绳状
wire	 [ˈwaɪə(r)]	n. 	金属丝；电线；电报；（木偶的）牵线，操纵绳，背后操纵的势力，秘密引线，秘密策略
		vi. 	拍电报
		vt. 	拍电报；给…装电线
envy	 [ˈenvi]	n. 	嫉妒，妒忌；羡慕
		vi. 	感到妒忌；显示出妒忌
Lewis	 [ˈlu:ɪs]	n. 	刘易斯（姓氏； Sinclair, 1885-1951，美国作家，曾获 1930 年诺贝尔文学奖）
airplane	 [ˈeəpleɪn]	n. 	飞机
Roman	 [ˈrəʊmən]	adj. 	古罗马的；罗马人的；罗马基督教会的；天主教的
		n. 	古罗马共和国或帝国的人；罗马市民；天主教教徒
soldier	 [ˈsəʊldʒə(r)]	n. 	士兵；军人；战士
		v. 	坚持；硬挺着
series	 [ˈsɪəri:z]	n. 	系列，连续；串联；（广播或电视上题材或角色相同的）系列节目；级数
shield	 [ʃi:ld]	n. 	盾；护罩；盾形奖牌；保护人
		vt. 	保护；掩护；庇护；给…加防护罩
unique	 [juˈni:k]	adj. 	唯一的，仅有的；独一无二的，独特的；不平常的，特别的；超绝
animals	 ['ænɪmlz]	n. 	动物( animal的名词复数 )；兽；兽性；粗野残暴的人
veil	 [veɪl]	n. 	面纱；掩饰；覆盖物；托词
		vt. 	用面纱遮盖；掩饰；用帷幕分隔；隐匿
kneel	 [ni:l]	vi. 	跪，下跪
tray	 [treɪ]	n. 	盘子；托盘；浅盘；满盘
etc	 ['etk]	adv. 	等等及其他；诸如此类
		abbr. 	[拉丁语]et cetera（常读作 and so forth）
explosive	 [ɪkˈspləʊsɪv]	adj. 	爆炸的；易爆炸的；突增的；暴躁的
		n. 	爆炸物，炸药；[语言学] 爆破音
universal	 [ˌju:nɪˈvɜ:sl]	adj. 	普遍的，一般的；通用的，万能的；全世界的；宇宙的
		n. 	[逻辑学]全称命题；[哲学]一般概念；一般性
wash	 [wɒʃ]	vt. 	洗，清洗；浸湿；冲刷，冲击；洗去罪名
		vi. 	耐洗；被洗掉（通常与 out 和 away 连用）；（波涛等）拍打
		n. 	（尤指船过后划出的）水流；要洗的衣物的数量；薄涂层（尤指涂料）
		vt. 	弄湿；使受洗礼；（光）布满；（猫等）舔净（自身）
		adj. 	可洗的，耐洗的；（证券交易）虚假的
brass	 [brɑ:s]	n. 	黄铜；铜管乐器；钱；黄铜饰品（尤指马挽具上的黄铜圆片）
		v. 	〈英〉付（款）；[冶]把…包铜；〈口〉无耻地胡搞
orders		n. 	（基督教的）圣职，牧师职；命令( order的名词复数 )；秩序；（会议、议会等的）程序；次序
		v. 	（医生）开（处方）( order的第三人称单数 )；订购；（上帝、命运等）注定；点（饭菜，饮料等）
fairly	 [ˈfeəli]	adv. 	适当，相当地；公平地；完全，简直；清楚地
taxi	 [ˈtæksi]	n. 	出租车；滑行
		vi. 	乘出租车；（指飞机）在地面或水面滑行
		vt. 	用出租车运送；使滑行
liked	 [laɪkt]	v. 	喜欢( like的过去式和过去分词 )；（与 would 或 should 连用表示客气）想；想要；喜欢做
push	 [pʊʃ]	vt.& vi. 	推，推动
		vt. 	推动，增加；对…施加压力，逼迫；按；说服
		n. 	推，决心；大规模攻势；矢志的追求
		vi. 	推进；增加；努力争取
wax	 [wæks]	n. 	蜡，蜡状物；耳垢，耳屎；（鞋匠用的）擦线蜡；增大
		vt. 	给…打蜡，给…上蜡；渐渐变大；变为；（月亮）渐圆，渐盈
		vi. 	给…上蜡，给…涂蜡；把…灌制唱片；用热蜡除去毛发
		adj. 	蜡制的，似蜡的
duck	 [dʌk]	n. 	鸭子，野鸭；鸭肉；（表示友好的称呼）乖乖；（板球）零分
		vt.& vi. 	躲避，回避；潜入；忽然低下头（或弯下腰）；迅速行进
theory	 [ˈθɪəri]	n. 	学说；理论；原理；推测
useful	 [ˈju:sfl]	adj. 	有用的，有益的，有帮助的；令人满意的
button	 [ˈbʌtn]	n. 	按钮，电钮；纽扣，扣子；扣状物；[植]芽
		vt. 	用纽扣扣紧；用纽扣装饰，钉钮扣于；在…上装钮扣
		vi. 	扣住；装有钮扣；扣上钮扣
discovery	 [dɪˈskʌvəri]	n. 	发现，发觉；（剧情的）发展；被发现的事物；[法]显示证据
invent	 [ɪnˈvent]	vt. 	发明，创造；虚构
path	 [pɑ:θ]	n. 	小路，路；路线，路程；〈比喻〉（人生的）道路；（思想，行为，生活的）途径
remedy	 [ˈremədi]	n. 	治疗法；补救办法；纠正办法；（硬币的）公差
		vt. 	改正，纠正，改进；补救；治疗
bush	 [bʊʃ]	n. 	灌木（丛）；[机械学]（金属）衬套；[电学]（绝缘）套管；类似灌木的东西（尤指浓密的毛发或皮毛）
		vi. 	丛生；灌木般丛生；浓密（或茂密）地生长；生密枝
		vt. 	加（金属）衬套于；加套管于；用耙耙平（耕地）；以灌木（或灌木丛）装饰（或覆盖、围绕、围住、支撑、标志、保护等）
		adj. 	（豆科植物等）如灌木般长得低矮的；粗野的；粗鲁的；粗糙但实用的
opposition	 [ˌɒpəˈzɪʃn]	n. 	（强烈的）反对，敌对；（政府的）反对党，在野党；对抗，抵抗；相对，对照
		adj. 	反对的，对抗的
rough	 [rʌf]	adj. 	粗糙的，崎岖不平的；粗鲁的；狂暴的，汹涌的；未经加工的
		vt. 	粗暴地对待；使粗糙；草拟
		n. 	粗糙的部分；艰难，苦难；（高尔夫球场的）深草区
		adv. 	粗暴地
		vi. 	举止粗野
shut	 [ʃʌt]	vt.& vi. 	关闭，把…关在门外，排斥，关进，围进，关上（箱子等），闭上（嘴等），封闭，封锁，停止开放[营业]，叠拢，合拢（伞，小刀等），挟住，挟进；使暗，隐藏；关闭，塞住，（店铺等）关门
		adj. 	关闭的；围绕的；声音低沉的
		n. 	关闭，闭锁，终止，完结；焊接缝；[语]闭锁音；[机]冷塞
thunder	 [ˈθʌndə(r)]	n. 	雷声；隆隆的响声
		vi. 	打雷
		vt.& vi. 	发出隆隆声；轰隆隆地快速移动；使快速移动；怒喝
wondered		vt. 	对…感到好奇（wonder的过去式与过去分词形式）
charged	 [tʃɑ:dʒd]	adj. 	充满感情的；紧张的，可能引起激烈反应的
		v. 	填充
steady	 [ˈstedi]	adj. 	稳定的，不变的；镇定的，沉着的；坚定的
		vt. 	使稳定，使坚定
		n. 	关系固定的情侣
weaken	 [ˈwi:kən]	vt.& vi. 	（使）削弱；（使）变弱；衰减；变得优柔寡断
details	 ['di:teɪlz]	n. 	详细资料；详述( detail的名词复数 )；（照片、绘画等的）细部；细目；各种细节
anyway	 [ˈeniweɪ]	adv. 	无论如何；而且；尽管；至少
informed	 [ɪnˈfɔ:md]	adj. 	了解情况的；见多识广的；有情报根据的；消息灵通的
		v. 	告诉( inform的过去式和过去分词)；(inform oneself)使了解
proposal	 [prəˈpəʊzl]	n. 	提议；建议；求婚；〈美〉投标
scrape	 [skreɪp]	vt. 	擦，刮；擦去；擦伤，刮破；挖空
		vi. 	刮，擦；搔，抓；掏；发出刺耳的声音
		n. 	擦，刮；刮痕；刮擦声；刮胡子，修面
arrow	 [ˈærəʊ]	n. 	矢，箭；箭状物；箭头记号；[天]天箭座
insurance	 [ɪnˈʃʊərəns]	n. 	保险，保险业；保险费；预防措施
		adj. 	[体]巩固球队领先局面，使对手不能因增加一分而成平局的
permitted		v. 	允许( permit的过去式和过去分词 )；许可；许用
professor	 [prəˈfesə(r)]	n. 	教授；（大学的）讲师，教员；自称者，宣称者
tender	 [ˈtendə(r)]	adj. 	纤弱的；嫩的；温柔的；疼痛的
		n. 	（正式）提出；投标；供应船，联络船；照看者
		vt. 	正式提出；使变脆弱；温柔地对待
cruel	 [kru:əl]	adj. 	残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
replied	 [rɪ'plaɪd]	v. 	回答，反应（ reply的过去式和过去分词 ）
soften	 [ˈsɒfn]	vt. 	（使）温和；使缓和；减轻；变柔和
		vi. 	变软
angry	 [ˈæŋgri]	adj. 	生气的；愤怒的，发怒的；（颜色等）刺目的；（伤口等）发炎的
mouse	 [maʊs]	n. 	老鼠；鼠标；羞怯[胆小]的人；[非正式用语] 眼部青肿
		vi. 	捕鼠；窥探，偷偷地寻找
hay	 [heɪ]	n. 	干草；少量的钱；一种乡村舞蹈；成果，酬报
		vt. 	把（草）制成干草；用干草喂
		vi. 	割草晒干
processes		n. 	过程( process的名词复数 )；工序；做事方法；工艺流程
		v. 	加工( process的第三人称单数 )；处理；审阅；审核
sing	 [sɪŋ]	vt.& vi. 	唱，歌唱，吟诵
		vi. 	（鸟）鸣；嗡嗡叫；呜呜作响；发嗖嗖声
		v. 	耳鸣；〈诗〉作诗；歌颂，赞美，称赞；唱着使…
		n. 	呜呜声，嗖嗖声；〈美口〉歌唱会
apparent	 [əˈpærənt]	adj. 	易看见的，可看见的；显然的，明明白白的；貌似的，表面的；显见
juice	 [dʒu:s]	n. 	果汁；肉汁；胃液
Truck	 [trʌk]	n. 	货车；（铁路的）无盖货车；（行李）搬运车
		vt. 	用卡车装运
		vi. 	驾驶卡车；以物易物
majority	 [məˈdʒɒrəti]	n. 	多数；（获胜的）票数；成年；法定年龄
shelf	 [ʃelf]	n. 	架子，搁板；棚；沙洲，暗礁；格，层
bake	 [beɪk]	vt. 	烤，烘焙；（将某物）烤硬；（变得）灼热，炎热
		vi. 	烤，烘；烘干
		n. 	烤，烘焙；烘烤食品；烧烤会餐
steel	 [sti:l]	n. 	钢，钢铁；钢制品；兵器；钢铁工业
		vt. 	包上或镀上钢；使坚定
		adj. 	钢制的；钢铁业的；坚强的；[色彩]青灰色的
artist	 [ˈɑ:tɪst]	n. 	艺术家；画家；能手；骗子
approach	 [əˈprəʊtʃ]	vt.& vi. 	接近，走近，靠近
		vt. 	接近；着手处理；使移近；试图贿赂（或影响，疏通）
		n. 	方法；途径；接近
		vi. 	靠近
cautious	 [ˈkɔ:ʃəs]	adj. 	小心的，谨慎的；兢；恮；持重
goods	 [gʊdz]	n. 	商品，货物；动产；本领；合意的人
basket	 [ˈbɑ:skɪt]	n. 	篮；一篮；（篮球运动的）篮；投篮得分
		v. 	把…装入篮内；把…丢入字纸篓里
tool	 [tu:l]	n. 	器具，工具；（有助于做工或完成某事的）用具；受人利用的人；压印机
		vt. 	用工具给…加工；压印；驾车到处跑
		vi. 	使用工具；开车，乘车
wreck	 [rek]	vt. 	破坏，毁坏；拆除；使遇难
		n. 	毁灭，失事；遇难船的残骸；（身体或精神上）受到严重损伤的人；状况非常糟糕的车辆（或建筑物等）
		vi. 	使（船舶）失事，使遇难，使下沉
width	 [wɪdθ]	n. 	宽度；广度
baseball	 [ˈbeɪsbɔ:l]	n. 	棒球；[体]棒球运动
confident	 [ˈkɒnfɪdənt]	adj. 	确信的，深信的；有信心的，沉着的；大胆的，过分自信的；厚颜无耻的
		n. 	知己；心腹朋友
log	 [lɒg]	n. 	记录；日志；原木
		v. 	伐木；把…载入正式记录；行驶
flowers		n. 	花( flower的名词复数 )；花朵；开花植物；精华
heap	 [hi:p]	n. 	堆，堆积；许多，大量；破车
		vt. 	扔成一堆；完全填满，灌满；大量或奢侈的赠予
extensive	 [ɪkˈstensɪv]	adj. 	广阔的，广大的；范围广泛的；[物]广延的；[逻]外延的
notes		vt. 	记下；对…加注释
		n. 	注意( note的名词复数 )；笔记；单音；特征
suck	 [sʌk]	vt. 	吮吸；吸入；卷进入；吸取
		vi. 	舐，吮吸；吸入；通过吸吮的动作产生声音；巴结
		n. 	吮吸；吸力；吸入物
enjoyed	 [ɪn'dʒɔɪd]	v. 	享有（ enjoy的过去式和过去分词 ）；玩得快乐；喜欢
gap	 [gæp]	n. 	缺口；分歧；间隔；美国休闲服饰品牌
		vt. 	造成缝隙；使成缺口；使豁裂
		vi. 	豁开；张开；有缺口；露出裂口
iron	 [ˈaɪən]	n. 	铁器，铁制品；熨斗，烙铁；坚强；脚镣
		adj. 	铁制的，含铁的；坚强的，顽强的；残酷的；坚忍不拔的
		vt. 	熨烫；给…上脚镣手铐；给…装铁具；用铁铸成
		vi. 	熨衣；（衣服等）被烫平
obey	 [əˈbeɪ]	vt.& vi. 	服从，听从
		vt. 	遵守，遵循
hut	 [hʌt]	n. 	小屋；棚屋；临时营房；牢房
		v. 	使住临时营房；驻扎
axe	 [æks]	n. 	斧子；解雇
		vt. 	用斧砍；削除，解雇；大量削减（经费），精简（机构）
translation	 [trænsˈleɪʃn]	n. 	翻译；译本；转变；转化
collar	 [ˈkɒlə(r)]	n. 	衣领；领子；（狗等的）项圈；（管子或机器部件的）圈
		vt. 	抓住，逮住；扭住领口；拉用，扯用；给…套上颈圈
combination	 [ˌkɒmbɪˈneɪʃn]	n. 	结合；联合体；密码组合；连裤内衣
lovely	 [ˈlʌvli]	adj. 	可爱的；令人愉快的；亲切友好的；慷慨大方的
		n. 	美女，美人，佳人；漂亮的东西
image	 [ˈɪmɪdʒ]	n. 	影像；肖像；概念，意向；镜像，映像
		vt. 	反映；想像；作…的像；象征
truly	 [ˈtru:li]	adv. 	真正；精确地，正确地；忠实的，诚实地；正当地
Congo	 ['kɒŋɡəʊ]	n. 	刚果；[电影]刚果惊魂
confession	 [kənˈfeʃn]	n. 	承认，自首；忏悔；供认状；信条，教义
pan	 [pæn]	n. 	平底锅；盘状的器皿；淘盘子，金盘，秤盘
		vt. 	淘金；在浅锅中烹调（食物）；[非正式用语]严厉的批评
		vi. 	淘金；在淘洗中收获金子
requires		v. 	要求( require的第三人称单数 )；需要；想要；命令
prejudice	 [ˈpredʒudɪs]	n. 	成见，偏见，歧视；侵害；伤害
		vt. 	使有偏见；不利于，损害
voyage	 [ˈvɔɪɪdʒ]	n. 	旅行，航海，航空；远行；旅程
		vi. 	航行，旅行
		vt. 	驶过，横越
tobacco	 [təˈbækəʊ]	n. 	烟草，烟叶；烟草制品；卷烟；纸烟
shook	 [ʃʊk]	v. 	摇撼( shake的过去式 )；（使）颤抖；握手；动摇
simplicity	 [sɪmˈplɪsəti]	n. 	简单，朴素；质朴，天真；卑贱；无知
granted	 [ˈgrɑ:ntɪd]	conj. 	假定，就算
		v. 	（退一步）承认( grant的过去式和过去分词 )；（尤指正式地或法律上）同意；准许；让渡
paste	 [peɪst]	n. 	面团；糨糊；肉（或鱼等）酱（作涂抹料或烹饪用）；（制作人造宝石的）铅质玻璃
		vt. 	粘贴，张贴；以…覆盖于
cake	 [keɪk]	n. 	蛋糕；糕饼；块状物；沉积物
		vt.& vi. 	（使）结块；（使）胶；涂厚厚的一层
valuable	 [ˈvæljuəbl]	adj. 	贵重的，宝贵的；有价值的；可评估的
		n. 	贵重物品，财宝
elephant	 [ˈelɪfənt]	n. 	象，大象
interference	 [ˌɪntəˈfɪərəns]	n. 	干涉，干扰，冲突；介入；妨碍，打扰，阻碍物；冲突，抵触
joined	 [dʒɔɪnd]	v. 	连接( join的过去式和过去分词 )；联结；加入；参加
ribbon	 [ˈrɪbən]	n. 	带；（打印机的）色带；绶带；带状物
		v. 	把…撕成条带；用缎带装饰；形成带状
confusion	 [kənˈfju:ʒn]	n. 	混乱；混淆；困惑
harvest	 [ˈhɑ:vɪst]	n. 	收割；收获季节；收成；结果
		vt.& vi. 	收割，收成
		vt. 	收到；收割（庄稼），捕猎（动物、鱼）
ashamed	 [əˈʃeɪmd]	adj. 	惭愧的，羞耻的，害臊的；难为情
cave	 [keɪv]	n. 	洞穴；〈方〉地窖
		vt.& vi. 	（使）塌陷，倒塌；暗中破坏
		vi. 	屈服
nuclear	 [ˈnju:kliə(r)]	adj. 	原子核的，原子能的；[细胞]细胞核的
September	 [sepˈtembə(r)]	n. 	九月；[电影]情怀九月天
customary	 [ˈkʌstəməri]	adj. 	习惯的；通常的；照惯例的
		n. 	习惯法；风俗志
thief	 [θi:f]	n. 	小偷，盗贼；（使蜡外流的）蜡烛心结的烛花
damp	 [dæmp]	adj. 	微湿的，潮湿的；消沉的，沮丧的；沉闷的；情绪低落的
		n. 	潮湿；消沉，失望；矿井瓦斯；有毒气体
		vt. 	使潮湿；使泄气，使沮丧；抑制，阻抑；使减弱
		vi. 	[物]阻尼；减幅
expensive	 [ɪkˈspensɪv]	adj. 	昂贵的，花钱多的；豪华的
elsewhere	 [ˌelsˈweə(r)]	adv. 	在别处，到别处；他
Fifteen	 [ˌfɪfˈti:n]	n. 	十五；十五个人组成的橄榄球队
sew	 [səʊ]	vt.& vi. 	缝，做针线活；缝纫；装钉（书籍）
regarded		v. 	关系( regard的过去式和过去分词 )；注意；（尤指以某种方式）注视；尊敬
rust	 [rʌst]	n. 	铁锈；锈病，锈菌；荒废，停滞；锈，锈色
		vt.& vi. 	（使）生锈；[植]害锈病；变钝，荒废
separation	 [ˌsepəˈreɪʃn]	n. 	分离，分开；间隔，距离；[矿]分选；（夫妇）分居
design	 [dɪˈzaɪn]	vt.& vi. 	设计；绘制
		vt. 	设计；计划；企图；决意（做）
		n. 	设计；图案；结构；计划
		vi. 	设计略图；（为工艺品、装潢项目等）设计；当设计师；构思
waiter	 [ˈweɪtə(r)]	n. 	侍者；服务员；托盘
organized	 [ˈɔ:gənaɪzd]	adj. 	有组织的，有条理的
		v. 	组织( organize的过去式)
pet	 [pet]	n. 	宠物；宠儿；受宠的人；生气
		adj. 	宠爱的，溺爱的；表示亲昵的
		vt. 	宠爱；爱抚，亲抚
		vi. 	亲吻；爱抚
straw	 [strɔ:]	n. 	稻草；麦秆；吸管；毫无价值的东西
		adj. 	稻草的，麦秆的；稻草[麦秆]做的；假的，假想的；无价值的
vision	 [ˈvɪʒn]	n. 	视力，视觉；美景，绝妙的东西；幻影；想像力
		vt. 	在幻觉中看到；幻想，想象；梦见
smoke	 [sməʊk]	n. 	烟；吸烟
		vi. 	冒烟；抽烟；快速
		vt. 	用烟熏制；吸（烟），抽
upset	 [ʌpˈset]	vi. 	打翻，弄翻；打乱，打搅
		vt. 	打乱，搅乱；推翻，弄翻；使心烦意乱；使翻倒
		n. 	翻倒，颠覆；心烦意乱；混乱
		adj. 	难过的；失望的；沮丧的；（肠胃）不舒服的
function	 [ˈfʌŋkʃn]	n. 	功能，作用；应变量，函数；职务；重大聚会
		vi. 	有或起作用；行使职责
Palmer	 [ˈpɑ:mə]	 	帕默（姓氏，男子名）
reserve	 [rɪˈzɜ:v]	n. 	保存，储备，储存；[商]准备金，公积金；预备品；储藏量
		vt. 	储备；保留；预约
		vi. 	预订
		adj. 	保留的；预备的
salary	 [ˈsæləri]	n. 	薪水，薪金，薪俸
		vt. 	给…加薪；给…薪水；发…薪水；付…薪水
towel	 [ˈtaʊəl]	n. 	毛巾，手巾；纸巾
		vt. 	用毛巾擦
		vi. 	用毛巾擦干身体
intensity	 [ɪnˈtensəti]	n. 	强烈；（感情的）强烈程度；强度；烈度
refresh	 [rɪˈfreʃ]	vt. 	使恢复，使振作；使焕然一新，翻新；给（电池）充电
		vi. 	恢复精神；补充给养
bought	 [bɔ:t]	v. 	购买，购得( buy的过去式和过去分词 )；做出牺牲以获得；够支付；买通
essence	 [ˈesns]	n. 	本质，实质；精华，精髓；香精
fur	 [fɜ:(r)]	n. 	毛皮；软毛；毛皮衣服；人造毛
		adj. 	含羊毛的
		vt. 	用毛皮覆盖；除去（锅上的）水垢
represented		v. 	表现( represent的过去式和过去分词 )；代表；体现；作为…的代表
ambitious	 [æmˈbɪʃəs]	adj. 	有雄心的；有野心的；有抱负的；炫耀的
entitled	 [ɪn'taɪtld]	adj. 	题名为，书名叫做…，有资格的
		v. 	使有资格，使有权( entitle的过去式和过去分词 )；给…题名
threat	 [θret]	n. 	威胁；恐吓；凶兆
defendant	 [dɪˈfendənt]	n. 	[法]被告人
		adj. 	[法]被告的；辩护的
daylight	 [ˈdeɪlaɪt]	n. 	日光，白昼；清早，黎明；公开，发表；眼睛，视力
mystery	 [ˈmɪstri]	n. 	秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
republic	 [rɪˈpʌblɪk]	n. 	共和国；共和政体；（成员具有平等权利的）团体
bag	 [bæg]	n. 	袋，囊，枕套；钱包，手提皮包，财富；〈英俚〉大量，很多
		vt. 	把。。装入袋中，猎获；捕获；得分；抢占
		vi. 	松散地垂挂；鼓胀
belong	 [bɪˈlɒŋ]	vi. 	属于；是…的成员；应被放在；适应
dip	 [dɪp]	vt. 	浸；（把烛芯浸在融蜡里）制造（蜡烛）；把（汽车前灯）的远光调为近光；洗药水浴
		vt.& vi. 	（使）微降，（使）下沉；（使）向下再向上
		n. 	浏览；（通常指暂时的）减少；洗澡；倾斜
		vi. 	浸水；提取；（轻度或暂时地）减少；浏览
Chinese	 [ˌtʃaɪˈni:z]	n. 	中国人；华人；中文；汉语
		adj. 	中国的；中国人的；中国话的；中文的
suspicious	 [səˈspɪʃəs]	adj. 	可疑的；猜疑的，怀疑的；多疑的，不信任的；多心
heaven	 [ˈhevn]	n. 	天；天堂；上帝；极乐
imaginary	 [ɪˈmædʒɪnəri]	adj. 	想像中的，假想的，虚构的；[数]虚数的；幻；虚幻
minds		n. 	想法( mind的名词复数 )；（区别于物质或身躯的）心；智力；理智（与感情相对而言）
ash	 [æʃ]	n. 	灰，灰烬；灰色，苍白；骨灰；废墟
admit	 [ədˈmɪt]	vt.& vi. 	许可进入；承认，供认
		vt. 	允许；确认
		vi. 	承认；允许
carriage	 [ˈkærɪdʒ]	n. 	运输，输送；（旧时载客的）四轮马车；〈英〉火车客车车厢；运费
loved		v. 	爱，热爱( love的过去式和过去分词 )；喜爱；喜好；喜欢
educator	 [ˈedʒukeɪtə(r)]	n. 	（尤指作为一种职业的）教育工作者，教员，教师；教育学家，教育家；教学管理者
Executive	 [ɪgˈzekjətɪv]	n. 	总经理；行政部门；[计算机]执行指令
		adj. 	执行的；管理的；政府部门的
income	 [ˈɪnkʌm]	n. 	收入，进款；进来的动作；进入
stove	 [stəʊv]	n. 	炉，火炉；窑；干燥室，烘房
		v. 	用火炉烤
conducted	 [kənˈdʌkt]	vt. 	实施；为人；指挥（军队，乐队等）；[物]传导（热，电等）
		vt.& vi. 	引导，带领
		vi. 	指挥乐队
		v. 	引导( conduct的过去式和过去分词 )；带领；控制；传导
rubber	 [ˈrʌbə(r)]	n. 	橡胶；橡皮；决胜局；避孕套
		adj. 	橡胶制成的
		vt. 	涂橡胶于；用橡胶制造
		vi. 	扭转脖子看；好奇地引颈而望
wisdom	 [ˈwɪzdəm]	n. 	智慧，明智；常识，好的判断力；知识，学问；古训
rug	 [rʌg]	n. 	小块地毯；〈英〉（围盖膝的）围毯，车毯；〈美俚男子假发
sought	 [sɔ:t]	v. 	寻找，探寻( seek的过去式和过去分词 )；企图；试图；探索
firms		n. 	公司( firm的名词复数 )；（价格稳定的）市场；球迷帮（一帮衣着时髦、鲁莽无知、常使用暴力的英国足球迷）；[商业]实盘
misery	 [ˈmɪzəri]	n. 	痛苦；不幸；穷困；悲惨的境遇
principle	 [ˈprɪnsəpl]	n. 	原则，原理；准则，道义；道德标准；本能
awkward	 [ˈɔ:kwəd]	adj. 	令人尴尬的；难对付的；不方便的；笨拙的
Joe	 [dʒəu]	n. 	乔
Fort		 	[人名] [英格兰人姓氏] 福特绰号，来源于古法语，含义是“坚强的，勇敢的”(strong,brave)；[人名] [英格兰人姓氏] 福特地貌名称，或职业名称，来源于古法语，含义是“堡垒”(fortress,stronghold)；[地名] 堡（法语、英语）
