base	 [beɪs]	n. 	基础；基地；根据；基数（如十进制的10 和二进制的2）
civil	 [ˈsɪvl]	adj. 	公民的，市民的；文明的，有礼貌的；民用的，国民间的；[法]民事的，根据民法的
frequently	 [ˈfri:kwəntli]	adv. 	频繁地，屡次地；往往；动；动辄
advertise	 [ˈædvətaɪz]	vt. 	做广告，做宣传；通告，通知；宣扬
		vi. 	登广告，做广告；做宣传
records	 [rɪ'kɔ:ds]	n. 	记录( record的名词复数 )；经历；（有关过去的）事实；最好的成绩
		v. 	记录，录音，拍摄( record的第三人称单数 )；标明；发表正式（或法律方面的）声明；演奏音乐供录制
secret	 [ˈsi:krət]	n. 	秘密，机密；秘诀；奥秘
		adj. 	秘密的，机密的；神秘的；隐秘的
title	 [ˈtaɪtl]	n. 	标题；头衔；[体]冠军；[影视]字幕
		vt. 	加标题；赋予头衔；把…称为
		adj. 	头衔的；标题的；冠军的
impossible	 [ɪmˈpɒsəbl]	adj. 	不可能的，做不到的；难以忍受的；不会有的，不能相信的
		n. 	不可能；不可能的事
yesterday	 [ˈjestədeɪ]	n. 	昨天；往昔；过去
		adv. 	在昨天，在昨日；近来
fast	 [fɑ:st]	adj. 	快的；走得快；感光快的；紧的
		adv. 	（比准确的时间或宣布的时间）快；迅速地；紧紧地；彻底地
		vi. 	禁食，（尤指）斋戒
		n. 	禁食期，斋戒期；断食，节食
Mike		n. 	迈克（男子名）；[人名]贺军翔
produced	 [prə'dju:st]	adj. 	（叶子等）畸形伸长的，引长的
		v. 	生产( produce的过去式和过去分词 )；产生；制作；创作
favor	 ['feɪvə]	n. 	好感；宠爱；关切；欢心
		vt. 	支持；赞成；照顾；促成
		 	[美国英语]= favour
noted	 [ˈnəʊtɪd]	adj. 	闻名的，著名的；[乐]附有乐谱的
		v. 	注意，记下；“note”的过去式和过去分词
caused	 [kɔ:zd]	 	人为的
lose	 [lu:z]	vt. 	失去；错过；遗失；耽搁
		vi. 	损失；输掉；走慢；降低价值
purposes		n. 	意志( purpose的名词复数 )；目的；作用；（进行中的）行动
solid	 [ˈsɒlɪd]	adj. 	固体的；实心的；结实的，可靠的；可信赖的
		n. 	固体；立体图形；立方体
song	 [sɒŋ]	n. 	歌曲；歌唱（艺术）；诗歌，韵文；鸟叫声，鸟语
corporation	 [ˌkɔ:pəˈreɪʃn]	n. 	公司；法人；社团，团体；〈口〉（凸出的）大肚子
lie	 [laɪ]	v. 	躺；坐落在；处于…状态；说谎
		n. 	谎言；谎话；状态；位置
winter	 [ˈwɪntə(r)]	n. 	冬，冬天；年岁；萧条期，衰落期
		v. 	过冬；冬季饲养（家畜）；使受冻，使萎缩
		adj. 	冬天的，冬季的；越冬的；冬播的
dress	 [dres]	n. 	衣服；装饰；连衣裙；礼服
		vt.& vi. 	给…穿衣；穿着；打扮
		adj. 	连衣裙的；须穿礼服的；适合于正式场合的；办公时（或半正式场合）穿戴的
		vt. 	给…穿衣；给…提供衣服；装潢，装饰或装点；排成列
		vi. 	穿衣；排列整齐
electric	 [ɪˈlektrɪk]	adj. 	电的，带电的；发电的，导电的；令人激动的；电动的
		n. 	电动车辆；带电体
key	 [ki:]	n. 	钥匙；（打字机等的）键；关键，线索，秘诀；（音乐的）调
		vt. 	键入；锁上；调节…的音调；提供线索
		vi. 	使用钥匙
		adj. 	关键的；主要的
dry	 [draɪ]	adj. 	干的干燥的，干旱的；干旱的，口渴的；干咳的；无趣味的，枯燥的
		vt. 	从…去掉水分，使…变干；脱水保存（如肉或其它食物）
		vi. 	变干
		n. 	干涸；[复数] drys [非正式用语]主张禁酒的人
reduce	 [rɪˈdju:s]	vt. 	减少；缩小；使还原；使变弱
		vi. 	减少；节食；蒸发；（液体）浓缩变稠
fresh	 [freʃ]	adj. 	新鲜的；淡水的；新的；无经验的
		adv. 	刚；最新的
		n. 	开始；新生；泛滥；淡水流
goes	 [ɡəʊz]	v. 	进行（go的第三人称单数）；去；离开；进展
		n. 	（牌戏、下棋等中）轮到的顺序（go的复数形式）
hill	 [hɪl]	n. 	小山，山冈；斜坡
		v. 	把…堆成小山；培土于…周围
names	 [neɪmz]	n. 	名字( name的名词复数 )；名声；有…名称的；著名的人物
		v. 	确定( name的第三人称单数 )；决定；给…取名；说出…的名字
slow	 [sləʊ]	adj. 	慢的；迟钝的；温和的；慢于…的
		adv. 	慢慢地；缓慢地
		vt.& vi. 	（使）缓行，（使）减速
		vi. 	变慢；变萧条
		vt. 	放慢；阻碍
quickly	 [ˈkwɪkli]	adv. 	迅速地；立即；马上
telephone	 [ˈtelɪfəʊn]	n. 	电话；电话机；（电话机的）话筒；受话器
		vt.& vi. 	以电话传送（消息），给（某人）打电话；用电话与（某人）交谈
threaten	 [ˈθretn]	vt.& vi. 	预示（某事）；恐吓；危及；预示凶兆
		vi. 	似将发生；威胁
oppose	 [əˈpəʊz]	vt.& vi. 	反对，抗争；使相对；使对照；抵制
deliver	 [dɪˈlɪvə(r)]	vt. 	发表；递送；交付；使分娩
		vi. 	投递；传送
officers	 ['ɒfɪsəz]	n. 	军官( officer的名词复数 )；（政府，会社等的）高级官员[职员]；警察的头衔
expression	 [ɪkˈspreʃn]	n. 	表现，表示，表达；表情，脸色，态度，腔调，声调；[数]式，符号；词句，语句，措辞，说法
published		v. 	出版( publish的过去式和过去分词 )；（在互联网上）发表；公布；在报刊)发表
famous	 [ˈfeɪməs]	adj. 	著名的，出名的；〈古〉一流的，极好的
pray	 [preɪ]	vt. 	祈祷，祷告；请求，恳求；央求
		vi. 	祈祷；请；恳求
adopt	 [əˈdɒpt]	vt. 	采用，采取，采纳；收养；正式接受，接受；批准
London	 ['lʌndən]	n. 	伦敦（英国首都）
clothes	 [kləʊðz]	n. 	衣服，衣物；寝具
		v. 	穿（衣）( clothe的第三人称单数)；给…提供衣服；（用语言）表达；覆盖
laws	 [lɔ:z]	n. 	法( law的名词复数 )；法学；规律；法制
citizens	 ['sɪtɪzənz]	n. 	公民( citizen的名词复数 )；国民；市民；平民
announced	 [ə'naʊnst]	v. 	宣布，宣告，发表( announce的过去式和过去分词 )；（尤指通过广播）通知；通报…到达；声称
minute	 ['mɪnɪt]	n. 	分，分钟；瞬间，片刻；备忘录；会议记录
		vt. 	把…记录在案；为…测定时间
		adj. 	极小的；微不足道的；仔细的
master	 [ˈmɑ:stə(r)]	n. 	硕士；主人（尤指男性）；大师；男教师
		vt. 	精通，熟练；作为主人，做…的主人；征服；使干燥（染过的物品）
		adj. 	主要的；主人的；精通的，优秀的；原版的
sharp	 [ʃɑ:p]	adj. 	敏锐的；锋利的；狡猾的，聪明的；尖锐的
		adv. 	猛烈地；尖锐地；尖利地；偏高地
		n. 	升半音；尖头；骗子；内行，专家
		vt. 	[音乐]把（音调）升高（半音）
		vi. 	[音乐]升音演奏（或演唱）
advantage	 [ədˈvɑ:ntɪdʒ]	n. 	有利条件；益处；优越（性）；处于支配地位
		vt. 	有利于；有益于；促进；使处于有利地位
		vi. 	得益，获利
greatest	 ['greɪtɪst]	adj. 	最好的，最伟大的；大的( great的最高级 )；伟大的；重要的；（数量）极大的
relation	 [rɪˈleɪʃn]	n. 	关系；联系；关联；亲属
Mary	 ['meərɪ]	n. 	玛丽（女子名）
leaving	 ['li:vɪŋz]	n. 	离开
		v. 	离开( leave的现在分词 )；遗弃；忘了带；交托
gray	 [greɪ]	n. 	灰色；灰马；灰色颜料；暗淡的光线
		adj. 	灰色的；灰白头发的；阴暗的；（指脸因恐惧、生病等）苍白的
		v. 	（使）变灰色
		vi. 	成为灰色或灰白
manager	 [ˈmænɪdʒə(r)]	n. 	处理者，经理，管理人；干事，理事；〈美〉（政党等的）领袖；策士，干才，干练的人
animal	 [ˈænɪml]	n. 	动物，兽，牲畜；家畜，牲口；畜生（一般的人）；兽性
		adj. 	动物的；肉体的；肉欲的
object	 [ˈɒbdʒɪkt]	n. 	物体；目标；宾语；客体，对象
		vi. 	不赞成，反对；抱反感
		vt. 	提出…作反对的理由
bottle	 [ˈbɒtl]	n. 	瓶子；一瓶（的量）；（婴儿）奶瓶；酒
		vt. 	把…装入瓶中；控制
		vi. 	（街头艺人演出后）收拢钱币
draw	 [drɔ:]	vt.& vi. 	绘画；拖，拉；招致；吸引
		vt. 	画；拉；吸引
		vi. 	移动；拔出剑；皱缩；汲取
		n. 	平局；抽奖
honor	 ['ɒnə(r)]	n. 	尊敬；敬意；荣誉；光荣
		vt. 	尊敬，给以荣誉
		 	[英国英语] =honour
recognize	 [ˈrekəgnaɪz]	vt. 	认出；识别；承认
		vi. 	承认，确认；[法律]具结，立保证书
drop	 [drɒp]	vt.& vi. 	（使）落下；投下；（使）降低；减少
		vt. 	放弃；停止；（故意）降下；垂下（眼睛）
		n. 	滴；空投；降落；少量
		vi. 	（水或其他液体）滴；结束；（因受伤或死等）倒下；退出
intend	 [ɪnˈtend]	vt. 	意欲，计划；为特殊目的而设计；为特定用途而打算；意指或意味
		vi. 	怀有某种意图或目的
relationship	 [rɪˈleɪʃnʃɪp]	n. 	关系；联系；浪漫关系；血缘关系
opposite	 [ˈɒpəzɪt]	adj. 	相对的；对面的；对立的；[数学]（顶、边等）对的
		prep. 	（表示位置）在…的对面；[数学]（顶、边等）对的；与…在一排；（表示方式）与…联合主演
		adv. 	在对面，对过
		n. 	对立面，对立物，相反的人[事物]
sources		n. 	原因( source的名词复数 )；[物理学]源；来源；起源
poetry	 [ˈpəʊətri]	n. 	诗，诗歌；诗意，诗情；作诗；诗歌艺术
ability	 [əˈbɪləti]	n. 	能力，资格；能耐，才能
assistance	 [əˈsɪstəns]	n. 	帮助，援助；〈古〉出席，出席者；辅助设备
operating	 ['ɒpəreɪtɪŋ]	adj. 	操作的；营运的；业务上的；外科手术的
		v. 	操作( operate的现在分词)；运转；管理；做外科手术
bear	 [beə(r)]	n. 	熊；（在证券市场等）卖空的人；蛮横的人
		vt. 	忍受；承担；支撑；生育
		vi. 	生（孩子）；结（果实）；与…有关
		adj. 	跌价的；股票行情下跌的；卖空者的
join	 [dʒɔɪn]	vt.& vi. 	连接；联结；加入；参加
		vt. 	结合；参与；上（火车、飞机等）；上（路）
		n. 	连接；结合；接合处；接合点
climb	 [klaɪm]	v. 	攀登；爬；登山；上升
		n. 	攀登；山，岩；增值；晋升
companies	 [kɒmpænɪs]	n. 	公司( company的名词复数 )；[军事]连；连队；客人
exist	 [ɪgˈzɪst]	vi. 	存在；生存；生活；继续存在
fixed	 [fɪkst]	adj. 	固定的，不变的；不易挥发的；处境…的，常作复合词；（比赛等）通过作弊预先安排好结果的
		v. 	固定( fix的过去式和过去分词)
gradual	 [ˈgrædʒuəl]	adj. 	渐进的，渐（升）降的；倾斜度小的；逐次的，逐渐的；平缓的
		n. 	弥撒升阶圣歌；弥撒圣歌集
possibility	 [ˌpɒsəˈbɪləti]	n. 	可能，可能性；希望，可能发生的事物
hunt	 [hʌnt]	vt.& vi. 	打猎；猎取
		vt. 	打猎；追捕，猎杀；在…处狩猎；搜索
		vi. 	追逐猎物；寻找；前后摆动；积极地寻找
		n. 	打猎；狩猎旅行；参加狩猎旅行的人
spoke	 [spəʊk]	n. 	（车轮的）辐条；轮辐；破坏某人的计划；阻挠某人的行动
		v. 	讲，谈( speak的过去式 )；说；演说；从某种观点来说
satisfy	 [ˈsætɪsfaɪ]	vt.& vi. 	使满意，满足
		vt. 	使确信；符合，达到（要求、规定、标准等）；消除；履行
		vi. 	使满足或足够；使满意
units	 ['ju:nɪts]	n. 	单位；[药剂学]（药物、疫苗、血清、抗原等的）单位( unit的名词复数 )；装置；一件（商品）；（栋公寓大楼中的一套公寓）单元
neck	 [nek]	n. 	颈，脖子；衣领；海峡；[地]岩颈
		vi. 	搂着脖子亲吻，相拥互吻；变狭窄
		vt. 	使变细；与…搂著脖子亲吻；割颈杀死（家禽等）
sleep	 [sli:p]	vi.& link-v. 	睡，睡觉
		vi. 	睡，睡觉；睡眠状态
		vt. 	为…提供床位；提供住宿；以睡觉打发日子
		n. 	睡眠
finished	 [ˈfɪnɪʃt]	adj. 	完成了的；技术高超的；精湛的；〈俚〉死了的，完蛋了的
		v. 	结束，完成( finish的过去式和过去分词)
carefully	 ['keəfəlɪ]	adv. 	小心谨慎地；警惕地；仔细地；周密地
facts		n. 	真实( fact的名词复数 )；事实；现实；[常用复数][法律]（犯罪）行为
nice	 [naɪs]	adj. 	美好的，愉快的；正派的；友好的，亲切的；细致的
practical	 [ˈpræktɪkl]	adj. 	实践的，实际的；可实现的，实用的；注重实际的；可用的
save	 [seɪv]	vt. 	节省；保存；储蓄；解救
		vi. 	节省；挽救；救球
		prep.&conj. 	除…之外
		n. 	救援，救援
takes		v. 	拿( take的第三人称单数 )；接受；学习；取得
allowed	 [ə'laʊd]	adj. 	[计]容许的
		v. 	允许( allow的过去式和过去分词 )；承认；酌增；接受
wine	 [waɪn]	n. 	葡萄酒；果酒；紫红色，深红色
		vt. 	请…喝酒
		vi. 	喝酒
remind	 [rɪˈmaɪnd]	vt. 	使想起，使记起；提醒
rich	 [rɪtʃ]	adj. 	富有的；肥沃的；丰富多彩的；油腻的
financial	 [faɪˈnænʃl]	adj. 	财政的；财务的；金融的；有钱的
dream	 [dri:m]	vi. 	梦想；做梦；梦见；想到
		vt.& vi. 	做梦，向往
		vt. 	梦想；做梦；想到
		n. 	梦想；愿望；梦
		adj. 	梦的；理想的；不切实际的
knife	 [naɪf]	n. 	刀；匕首；刃部；手术刀
		vt. 	切割，刺；伤害
		vi. 	劈开；划过
stations		n. 	车站( station的名词复数 )；地位；电台；所
civilize	 [ˈsɪvəlaɪz]	vt. 	使文明；使开化；教化；启发
		vi. 	变得文明
Rose	 [rəuz]	n. 	罗斯（女子名）
cool	 [ku:l]	adj. 	冷静的；凉爽的；一流的；孤傲冷漠的
		vt.& vi. 	（使）变凉；（使）冷静，使冷却；变凉，冷却；平息
		n. 	凉气，凉快的地方；凉爽，凉爽的空气
died		v. 	死亡，枯萎（ die的过去式和过去分词 ）；死时处于（某种状态）或具有（某种身份）
		adj. 	死亡的，消逝的
thick	 [θɪk]	adj. 	浓的，茂密的；厚的，粗大的；稠密的；不透明的
		adv. 	密集地；不清晰地；〈口〉太过分；频频地，时常
		n. 	最厚的部分；最活跃或最激烈的部分；〈口〉笨蛋；〈俚〉可可粉
imagine	 [ɪˈmædʒɪn]	vt. 	想，设想；想像；料想，猜想；误认为
		vi. 	想象；猜想，推测
literary	 [ˈlɪtərəri]	adj. 	文学（上）的；精通文学的；爱好文学的；从事文学研究（或写作）的
bind	 [baɪnd]	vt. 	约束；装订；捆绑；（用长布条）缠绕
		vt.& vi. 	（使）结合
		n. 	窘境，困境；捆绑；植物的藤蔓
inches		n. 	英寸（相当于 2。54 厘米，一英尺有 12 英寸）( inch的名词复数 )；少量；[复数]身材；（数量、距离、程度等）少许
earn	 [ɜ:n]	vt.& vi. 	赚得；获得；赢得；博得
		vt. 	赚，赚得；获得；挣得；使得到
familiar	 [fəˈmɪliə(r)]	adj. 	熟悉的；通晓的；冒昧的；随便的
		n. 	常客，密友；高级官吏的家属；[天主]教皇[主教]的仆人
seeing	 ['si:ɪŋ]	conj. 	因为，鉴于，由于
		n. 	看见；观看；参观
		v. 	看见( see的现在分词 )；观看；领会；考虑
distribution	 [ˌdɪstrɪˈbju:ʃn]	n. 	分配，分布；[法]（无遗嘱死亡者的）财产分配；[无线]频率分布；[电]配电
marked	 [mɑ:kt]	adj. 	显著的，著名的；有记号的；加印记的；受监视的
		v. 	表示(mark的过去分词)；作记号；给…打分；在…留下痕迹
coffee	 [ˈkɒfi]	n. 	咖啡豆；咖啡粉；（一杯）咖啡；非正式的社交集会
rules	 ['ru:lz]	n. 	规程；规章；条例；守则(rule的复数)；规则( rule的名词复数 )；统治；习惯；尺
slip	 [slɪp]	vi. 	滑，滑脱；犯过失，出错；（时间）不知不觉地过去；（健康状况等）变差
		vt. 	使顺利滑动；摆脱；放松，松开
		n. 	跌倒，失足；纸条；失误，口误；事故
		adj. 	滑动的；可拆卸的；打有活结的
		abbr. 	串行线路接口协议(Serial Line Interface Protocol)
apply	 [əˈplaɪ]	vt. 	应用，运用；申请；涂；敷（药）
		vi. 	申请，请求，适用；适用，适合；专心致志
page	 [peɪdʒ]	n. 	页；（计算机的）页面；年史；重要事件
		vt. 	标记…的页数；翻页；喊出名字以寻找；（在公共传呼系统上）呼叫
		vi. 	翻书页；浏览
beside	 [bɪˈsaɪd]	prep. 	不中（目标），不对（题），与…无关；（表示排斥）除…之外；（表示位置）在…旁边，，在…一侧，在…附近；（表示关系）与…无关，和…相比，比起…来，比得上
		adv. 	〈古〉同“besides”
daughter	 [ˈdɔ:tə(r)]	n. 	女儿；产物，后代；（某地的）妇女；[生]子代
		adj. 	女儿般的；[生]第一代的；子代的
Relatively	 [ˈrelətɪvli]	adv. 	关系上地；相对地；比较地；较比
classes	 [klɑ:sɪz]	n. 	班( class的名词复数 )；等级；阶级；种类
explore	 [ɪkˈsplɔ:(r)]	vi. 	勘查， 探测， 勘探；[医]探查（伤处等），探索，研究
		vt. 	探索， 探究， 仔细查看
stated	 ['steɪtɪd]	adj. 	定期的，规定的，一定的
		v. 	规定( state的过去式和过去分词 )；陈述；确定；[法律]详述（案情等）
German	 [ˈdʒɜ:mən]	adj. 	德国的；德国人/语的；德国文化的
		n. 	德国人，德语
musical	 [ˈmju:zɪkl]	adj. 	音乐的，用于音乐的；喜爱[精通]音乐的；音调优美的；悦耳的
		n. 	（社交性的）音乐会；[影视]歌舞片；音乐（喜）剧 = musical comedy
smile	 [smaɪl]	n. 	微笑，笑容
		vt. 	以微笑表示；以微笑完成
		vi. 	微笑；赞许；不在乎
significant	 [sɪgˈnɪfɪkənt]	adj. 	重要的；有意义的；有重大意义的；值得注意的
		n. 	有意义的事物；象征，标志
block	 [blɒk]	n. 	块；街区；大楼，大厦；障碍物，阻碍
		vt. 	阻止；阻塞；限制
mix	 [mɪks]	vt.& vi. 	混合；（使）结交；相容；平安相处
		n. 	混录；食物混合配料；乐曲组合
		vt. 	调配，配制
		vi. 	混合录音，混录，混音
reports		n. 	报告( report的名词复数 )；成绩报告单；传闻；流言蜚语
PROPOSED	 [prəʊ'pəʊzd]	adj. 	被提议的，所推荐的
		v. 	提议，建议( propose的过去式和过去分词 )；打算；提供（解释）；提出（行动，计划或供表决的方案等）
shelter	 [ˈʃeltə(r)]	n. 	居所；避难所；（无家可归者或受虐待者的）收容所；遮蔽
		vt. 	掩蔽；庇护；保护
		vi. 	躲避；避难
presence	 [ˈprezns]	n. 	出席；仪表；风度；鬼魂，神灵
Affairs		n. 	公共事务，政治事务；事件( affair的名词复数 )；事务；个人的事；发生的事情
named	 [neɪmd]	adj. 	指定的
		v. 	确定( name的过去式和过去分词 )；决定；给…取名；说出…的名字
ordinary	 [ˈɔ:dnri]	adj. 	普通的；平常的；一般的；平庸的
circumstances	 ['sɜ:kəmstənsɪz]	n. 	境况；境遇；（尤指）经济状况；命运；环境( circumstance的名词复数 )；事件；境遇；机遇
mile	 [maɪl]	n. 	英里；很远的距离；一英里赛跑
sweep	 [swi:p]	vt. 	打扫，清理；扫除；彻底搜索；掠过
		vi. 	打扫；扫过；蜿蜒；大范围伸展
		n. 	打扫；延伸；挥动；全胜
remains	 [rɪˈmeɪnz]	n. 	遗骨，遗体，残骸，残余，遗迹；废墟，遗址，遗迹，剩余（物），余额
		v. 	留下( remain 的第三人称单数)；保持；留待；仍然是
admire	 [ədˈmaɪə(r)]	vt. 	赞赏；称赞；欣赏；想要
Catholic	 [ˈkæθlɪk]	adj. 	天主教的；统括一切的；包罗万象的；宽容大量的
		n. 	旧教徒；旧教信奉者
dust	 [dʌst]	n. 	灰尘；（建筑物内、家具或地板等上的）灰尘；遗骸，尸体，人体，人；〈口〉金粉，粉末，粉剂，花粉
		vt.& vi. 	拂（一拂），掸（一掸）
		vt. 	撒（粉）于；擦去…的灰尘；擦灰；撢去
operations	 [ɒpə'reɪʃnz]	n. 	操作( operation的名词复数 )；（军事）行动；运算；作用
rain	 [reɪn]	n. 	雨；（热带地区的）雨季，雨天；雨点般降落的东西；电子流
		vt.& vi. 	（雨）降下，（使）降落；大量地给，（使）大量落下
tree	 [tri:]	n. 	树；木料；树状图；宗谱
		vt. 	把…赶上树；使处于困境；把鞋型插入（鞋内）
nobody	 [ˈnəʊbədi]	pron. 	没有人，无人
		n. 	小人物，无足轻重的人
Henry		n. 	亨利（男子名）；刘宪华，著名韩国男子组合Super Junior-M成员，歌手、演员
Robert	 ['rɒbət]	n. 	罗伯特
village	 [ˈvɪlɪdʒ]	n. 	村民；乡村，村庄；群落
advance	 [ədˈvɑ:ns]	vt. 	（使）前进；将…提前；预付；提出
		vi. 	（数量等）增加；向前推（至下一步）；上涨
		n. 	增长；借款；（价格、价值的）上涨；预付款
		adj. 	预先的；先行的
offered	 ['ɒfəd]	v. 	出（价）( offer的过去式和过去分词 )；提出；演出；做出
agree	 [əˈgri:]	vt.& vi. 	同意，赞同
		vi. 	[语]一致，符合；商定，约定；意见相合；（气候、食物等）适宜
		vt. 	同意，承认；使和谐一致；认为正确无误
mechanic	 [məˈkænɪk]	n. 	技工，机修工
upper	 [ˈʌpə(r)]	adj. 	地位较高的；上面的；内地的；地表层的
		n. 	鞋帮，靴面；兴奋剂；令人兴奋的经历
occasion	 [əˈkeɪʒn]	n. 	机会，时机；场合；理由；需要
		vt. 	惹起，引起
requirements		n. 	所需的（或所要的）东西；必要条件，必备的条件；要求( requirement的名词复数 )；必要条件；需要；需要的东西
capacity	 [kəˈpæsəti]	n. 	容量；才能；性能；生产能力
		adj. 	充其量的，最大限度的
appears		v. 	出现( appear的第三人称单数 )；出庭（作证或受审）；演出；发表
travel	 [ˈtrævl]	n. 	旅行；进行；移动；漫游
		vi. 	旅行；传送；前进，行进；[篮球]走步
		vt. 	经过，通过；游历
article	 [ˈɑ:tɪkl]	n. 	（报章杂志中的）文章，论文；条款；物品；[语] 冠词
		vt. 	使受协议条款的约束；以协议（或契约）约束；订约将…收为学徒（或徒弟）；定约雇用
		vi. 	进行控告，提出罪状（或指责）(against)；签订协议
houses	 [ˈhaʊzɪz]	n. 	住宅( house的名词复数 )；议院；（从事某种生意的）公司；（英国）下议院
valley	 [ˈvæli]	n. 	山谷，溪谷，峡谷，谷地，深谷；流域；[建筑]屋顶排水沟，屋面斜沟
beat	 [bi:t]	vi. 	（心脏等）跳动；搜索；（风、雨等）吹打；（鼓）咚咚地响
		vt.& vi. 	接连地击打
		vt. 	打败；敲打；控制；避免
		n. 	节拍；（鼓的）一击；管区
		adj. 	[美国口语]大吃一惊的；[常作 B-]“反传统一代”成员的；摇滚音乐的；[口语]（体力或情绪上）疲劳不堪的
opening	 [ˈəʊpnɪŋ]	n. 	开幕，开始；空缺的职位；[商]开盘，交易开始时间；（职位的）空缺
		adj. 	首次的，开始的
		v. 	（打）开( open的现在分词)；开始；睁开；启动
box	 [bɒks]	n. 	盒；箱状物；包厢；哨房
		vt. 	把…装入盒[箱，匣]中
		vt.& vi. 	拳击
evil	 [ˈi:vl]	adj. 	邪恶的，罪恶的；有害的；不幸的，不吉的；品行坏的
		n. 	邪恶，罪恶；坏事，恶行；邪恶的力量、势力或化身；灾祸
succeed	 [səkˈsi:d]	vi. 	成功；继承
		vt. 	继承，继任，继位；随…之后
surround	 [səˈraʊnd]	vt. 	包围，围绕
		n. 	（物品的）边；外围物
application	 [ˌæplɪˈkeɪʃn]	n. 	适用，应用，运用；申请，请求，申请表格；勤勉，用功；敷用，敷用药
slightly	 [ˈslaɪtli]	adv. 	轻微地，轻轻地；细长地，苗条地；〈罕〉轻蔑地；粗
remembered		v. 	记得，牢记( remember的过去式和过去分词 )；纪念；记着；回想起
interests		n. 	兴趣( interest的名词复数 )；利益；利息；关注
warm	 [wɔ:m]	adj. 	暖和的，温暖的；保暖的；热情的；暖调的
		vt.& vi. 	（使）变暖，被加热，暖和起来
		vt. 	加热；使热情；使兴奋
		n. 	暖和的地方
		vi. 	加温；感兴趣；变得友善或友好
subjects	 ['sʌbdʒɪkts]	n. 	主题( subject的名词复数 )；话题；主语；学科
		v. 	提交( subject的第三人称单数 )；使经受；使遭受；使服从
search	 [sɜ:tʃ]	v. 	搜寻，搜索；调查；搜查；探求
		n. 	搜索；调查；探求
presented		vt.& vi. 	（动词present的过去式及过去分词形式）；表示"展示；展现；出示"
		v. 	举向( present的过去式和过去分词 )；面向；举枪瞄准；（分娩时婴儿）露出
shoe	 [ʃu:]	n. 	鞋；蹄铁；（汽车轮的）制动器，煞车；外胎
		vt. 	为…钉蹄铁；给…穿上鞋；装防护物
sweet	 [swi:t]	adj. 	甜的；愉快的，快乐的；温柔的，亲切的；芳香的
		n. 	糖果，甜食；餐后的甜点心；甜味；宝贝
interesting	 [ˈɪntrəstɪŋ]	adj. 	令人感兴趣的，有趣的；引起兴趣的；有趣的；令人关注的
membership	 [ˈmembəʃɪp]	n. 	会员资格；会员身份；会员全体
suggest	 [səˈdʒest]	vt. 	建议，提议；暗示；使想起；启示
notice	 [ˈnəʊtɪs]	n. 	注意；布告；警告；预告
		vt.& vi. 	注意
		vt. 	通知；留心；关照；注意到
		vi. 	引起注意
connection	 [kəˈnekʃn]	n. 	连接；联系，关系；连接点；亲戚
extreme	 [ɪkˈstri:m]	adj. 	极端的，过激的；极限的，非常的；末端的；（政治上）急进的
		n. 	极端；困境；[数]极限值；[常用复数]在两末端的事物
exchange	 [ɪksˈtʃeɪndʒ]	n. 	交换；交易；交易所；兑换（率）
		vt. 	交换，互换；兑换；交换，调换
		vi. 	交换，替换；进行易货贸易，作物物交换；[金融业]（货币）交换，兑换
flow	 [fləʊ]	vi. 	流；垂；流出；（谈话、文体等）流畅
		n. 	流动；滔滔不绝；涨潮；连贯
		vt. 	使泛滥；淹没；排出
spend	 [spend]	vt.& vi. 	用钱，花钱
		vt. 	花费；消耗；花（时间）；度过
		n. 	（为某目的或某段时间内的）花销，花费，开销
everybody	 [ˈevribɒdi]	pron. 	每人，人人；大伙儿；各位
poems		n. 	诗，韵文( poem的名词复数 )
campaign	 [kæmˈpeɪn]	n. 	运动；竞选运动；战役；季节性竞赛
		vi. 	参加[发起]运动，参加竞选；参战，参加战役；作战
win	 [wɪn]	vt.& vi. 	（在…中）获胜，赢；战胜（对手）
		vt. 	（通过努力等）赢得；说服；达到（目的、要求等）；获得…
		n. 	（体育比赛中）胜利，赢；[常用复数]赢得物；收益
		vi. 	顺利到达，成功
forced	 [fɔ:st]	adj. 	被迫的；强迫的
		v. 	强制(force的过去式和过去分词)
freeze	 [fri:z]	vt. 	使结冰，使冻僵；冷藏；吓呆；冻结（存款，工资等）
		vi. 	凝固，结冰；冻伤，冻死
		n. 	冻结；严寒时期
nine	 [naɪn]	num. 	九；九个；第九
		n. 	九，九个
		adj. 	九的，九个的
eat	 [i:t]	vt.& vi. 	吃，喝
		vi. 	（食物）吃起来感到；咬；（人）感到苦恼（或烦恼）；侵蚀，腐蚀
		vt. 	（如酸）腐蚀；吃完；吃得使；侵蚀成
newspaper	 [ˈnju:zpeɪpə(r)]	n. 	报纸，报；旧报纸；新闻纸
please	 [pli:z]	int. 	请
		vt.& vi. 	使高兴；使满意；讨人喜欢；讨好
escape	 [ɪˈskeɪp]	vi. 	逃脱；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
		vt.& vi. 	逃避，避开
		n. 	逃走；逃跑工具或方法；野生种；泄漏
		vt. 	被忘掉，被忽视
lives	 [laɪvz]	n. 	生命(life的复数)；生物，活物；生活( life的名词复数 )；生命；一生；生活方式
		v. 	活( live的第三人称单数 )；居住；以…为生；（按照规矩）管理生活
swim	 [swɪm]	v. 	游泳；游动；旋转；眩晕
		n. 	游泳
