the	 [ðə]	art. 	指已提到的人（物）；指说话人与听者已知的人（物）；用于独一无二的事物前；与形容词最高级和序数词连用
want	 [wɒnt]	v. 	想要；希望；打算；需要…在场
		n. 	需要的东西；缺少；贫穷
eyes	 ['aɪz]	n. 	眼睛( eye的名词复数 )；视力；眼状物；风纪扣扣眼
something	 [ˈsʌmθɪŋ]	pron. 	某物，某事；重要的事物[人]，有一定意义的事物
		n. 	（表示不确切的描述或数量）大致，左右
		adv. 	非常；有点；大约
unite	 [juˈnaɪt]	vt. 	（使）联合，合并，统一；并有，兼备；混合，化合
		vi. 	（为某事）联合，联手，团结
going	 [ˈgəʊɪŋ]	n. 	出行，离去；出发；行为；工作情况
		adj. 	活着的，现在的；进行中的，营业中的；现行的；流行中的
		v. 	进行(go的现在分词)
face	 [feɪs]	n. 	面容；表面；脸；方面
		vt.& vi. 	面对；面向…；正视；承认
		vt. 	（感到不能）对付；（明知不好办而）交谈；必须对付（某情况）；面临…
far	 [fɑ:(r)]	adv. 	久远地；（问到或谈及距离时说）有多远；到很远距离；到很大程度
		adj. 	远的；遥远的；（某方向的）最远的；远端的
		n. 	远方
asked	 [æskt]	v. 	问( ask的过去式和过去分词 )；询问；要求；请求
interest	 [ˈɪntrəst]	n. 	兴趣，爱好；利害关系，利益；利息；趣味，感兴趣的事
		vt. 	使产生兴趣；使参与，使加入；引起…的意愿；使产生关系
later	 [ˈleɪtə(r)]	adv. 	较晚地；以后，过后；后来；随后
		adj. 	后来的；以后的；接近末期的；晚年的
show	 [ʃəʊ]	vt.& vi. 	给…看；表现出；显露出；上演
		vt. 	说明；指示；表明；演示
		n. 	展览；显示；外观；表演
		vi. 	被人看见，显现，显而易见
knew	 [nju:]	v. 	知道（ know的过去式 ）；了解
though	 [ðəʊ]	conj. 	虽然，尽管；即使；纵然
		adv. 	可是，但是；不过；然而；话虽这样说
		prep. 	但
less	 [les]	adj. 	较少的（little的比较级）；较小的；较次的，较劣的；较不重要的
		adv. 	较少地，较小地
		prep. 	减去；少掉；不足
		n. 	较少，较小
night	 [naɪt]	n. 	夜；晚上；（举行盛事的）夜晚
early	 [ˈɜ:li]	adj. 	早的；早期的；早日的；（果实等）早熟的
		adv. 	早；在初期；先前；提早
almost	 [ˈɔ:lməʊst]	adv. 	几乎，差不多；将近；快要；近乎
let	 [let]	 	允许，任由；让，随；假设；出租
open	 [ˈəʊpən]	adj. 	敞开的，开着的；公开的，公共的；坦率的；有议论余地的
		vt.& vi. 	（打）开；开始；睁开；启动
		n. 	户外，野外；空旷；公开
		vi. 	使打开；展示，显现
		vt. 	张开；开放；开张营业；为（建筑物）揭幕
enough	 [ɪˈnʌf]	adv. 	足够地，充足地；十分地
		adj. 	充足的；足够的
		n. 	充分，足够；满足
		int. 	够了
side	 [saɪd]	n. 	面，边；方面；侧面；旁边
		adj. 	侧面的；旁边的；次要的，枝节的；副的
		vi. 	支持，同意；偏袒；附和；站在…一边
case	 [keɪs]	n. 	（实）例，事例；情况，状况；诉讼（事件），案件，判例；容器（箱，盒）
		vt. 	把…装入箱（或盒等）内；加盖于；包围，围住；[俚语]（尤指盗窃前）探察，侦查，窥测
days	 [deɪz]	n. 	天，时期；一天( day的名词复数 )；白天；时期；工作日
		adv. 	每天，在白天
yet	 [jet]	adv. 	但是；还；已经；又，再
		conj. 	然而，但是
better	 [ˈbetə(r)]	adj. 	较好的；更合适的；能力更强的；好转的
		adv. 	更好地；更妥；更
		v. 	胜过；上进
		n. 	更好者；更有才智者
nothing	 [ˈnʌθɪŋ]	pron. 	没有东西；没有事情；无关紧要的东西；毫无趣味的事
		n. 	无关紧要的人[事]；零；无
		adv. 	毫不；决不
tell	 [tel]	vt. 	告诉，说；辨别；吩咐；讲述
		vt.& vi. 	分辨，辨别；告诉，吩咐；泄漏；保证
		vi. 	泄密，告发；（颜色、声音等）显示；识别
		n. 	[考古学]（古代村落遗址堆积而成的）台形土墩；[方言]讲的话；谈话；传闻
problem	 [ˈprɒbləm]	n. 	问题；疑难问题；习题；引起麻烦的人
		adj. 	成问题的；难处理的；关于社会问题的
toward	 [tə'wɔ:d]	prep. 	对于；向；为了；接近
		adj. 	即将来到的；进行中的
given	 [ˈgɪvn]	adj. 	指定的，确定的；假设的，假定的；有…倾向的；赠送的
		prep. 	（表示原因）考虑到；（表示假设）倘若，假定
		n. 	假设
		v. 	给予，赠送( give的过去分词)
why	 [waɪ]	adv. 	（用于问句）为什么；为何；（反问，表示不必）何必；（说明理由）为什么
		int. 	呵唷，哎呀，嗨
		n. 	理由；原因；说明；难解的问题
national	 [ˈnæʃnəl]	adj. 	国家的；国有的；国民的；民族主义的
		n. 	[常用复数]全国性比赛；某国国民；全国性报刊；（机构等的）全国总部
room	 [ru:m]	n. 	房间；空间；余地；房间里所有的人
		vt. 	租房，合住；为…提供住处；投宿，住宿；留…住宿
young	 [jʌŋ]	adj. 	年幼的；有朝气的；年轻人的；青年的
		n. 	年轻人；幼小的动物，崽
social	 [ˈsəʊʃl]	adj. 	社会的，社会上的；交际的，社交的；群居的；合群的
		n. 	联谊会，联欢会；社交聚会
light	 [laɪt]	n. 	光；发光体；电灯；点火器
		adj. 	轻的；明亮的；浅色的；少量的
		v. 	点燃；照亮；用光指引
		adv. 	轻地，轻装地
business	 [ˈbɪznəs]	n. 	商业，交易；生意；事务，业务；职业，行业
president	 [ˈprezɪdənt]	n. 	校长；总统；总裁；董事长
help	 [help]	vt.& vi. 	帮助；有助于， 有利于
		vt. 	治疗；避免；招待（客人）；给…盛（饭、菜）
		n. 	帮助；助手；补救办法；有用
		vi. 	（在餐桌旁）招待，侍应，作仆人（或店员、服务员等）
		int. 	[呼救语]救命！
power	 [ˈpaʊə(r)]	n. 	[机]动力，功率；力量；政权，权力；强国，大国
		vt. 	运转；用发动机发动；使…有力量
		vi. 	靠动力行进；快速行进
		adj. 	权力的；机械能的，电动的；用电力（或动力）发动的
country	 [ˈkʌntri]	n. 	国家；国民；乡下；地区
next	 [nekst]	adj. 	紧接在后的；次于的；贴近的；紧邻的
		adv. 	接下去；然后；居后地；依次的
		n. 	下一位；下一个
		prep. 	靠近；居于…之后；在…的隔壁
things	 [θɪŋz]	n. 	（个人的）用品；需要的东西；生物；事实；物（ thing的名词复数 ）
word	 [wɜ:d]	n. 	单词；话语；诺言；消息
		vt. 	措辞，用词；用言语表达
		vi. 	讲话
looked	 [lʊkt]	v. 	看，瞧( look的过去式和过去分词 )；注意；面向；寻找
real	 [ˈri:əl]	adj. 	真的；真实的，现实的；事实上的；真诚的
		adv. 	真正，实在；确实地
		n. 	实在，现实；实数
John	 [dʒɒn]	n. 	约翰（男子名）；约翰(中的人物)；约翰福音(中的一卷)；(j-)盥洗室
		 	[男子名] [英格兰人姓氏] 约翰来源于希伯来语，含义是“耶和华是仁慈的”(Jehovah is gracious) 昵称Jack,Jackie,Jan,Jock,Jockie,Johnnie,Johnny
line	 [laɪn]	n. 	排；线路；线条；方法
		vt. 	排队；用线标出；[棒球]（击球手）击出（平直球）；给…安衬里
		vi. 	（在某物的内部）形成一层；排队，排列成行，排齐（常与 up 连用）；[棒球]（击球手）击出平直球；（击球手因击出的平直球被对方接住而）出局
second	 [ˈsekənd]	n. 	秒；瞬间；次货；第二份食物
		adj. 	第二的；次要的；居第二位的；另外的
		adv. 	第二；其次；以第二位
		vt. 	支持；临时调派；附议；赞成提案
church	 [tʃɜ:tʃ]	n. 	[宗]教堂；[宗]教徒；[宗]教派；[宗]教会
		adj. 	教会的；礼拜的
		vt. 	领…到教堂接受宗教仪式
seem	 [si:m]	v. 	好像，仿佛；似乎；装作；看来好像
certain	 [ˈsɜ:tn]	adj. 	某一；必然的；已确定的
		pron. 	[动词用复数]某些
big	 [bɪg]	adj. 	大的；重要的；（计划）庞大的；大方的
		adv. 	大量地；成功地；夸大地；宽宏大量地
		n. 	大亨；大公司
Four		 	含有可待因的醋氨酚片剂
felt	 [felt]	n. 	毛毡
		v. 	摸索( feel的过去式和过去分词 )；触；深感；以为
several	 [ˈsevrəl]	adj. 	几个的；专有的；各自的；分别的
		pron. 	几个，数个；一些
children	 [ˈtʃɪldrən]	n. 	孩子们(child的复数)；儿童；膝下；孥
service	 [ˈsɜ:vɪs]	n. 	服务，服侍；服务业；维修服务；服役
		vt. 	检修，维修；向…提供服务；保养；满足需要
		adj. 	服务性的；耐用的；服现役的
feel	 [fi:l]	vt. 	感觉；认为；触摸；试探
		vt.& vi. 	感觉，觉得；认为，以为；触摸
		n. 	感觉；触摸；感受；触觉
		vi. 	觉得；摸索
important	 [ɪmˈpɔ:tnt]	adj. 	重要的；权威的；有势力的；有地位的
rather	 [ˈrɑ:ðə(r)]	adv. 	稍微，有点；相当，颇；宁愿；相反地
		int. 	当然啦，怎么不
name	 [neɪm]	n. 	名字；名声；有…名称的；著名的人物
		vt. 	确定；决定；给…取名；说出…的名字
		adj. 	著名的；据以取名
per	 [pə(r)]	prep. 	由；（表示根据）依照；（表示比率）（尤指数量，价格，时间）每
		adv. 	每次；每个；照常；按惯例
		adj. 	高的，过的，全的
among	 [əˈmʌŋ]	prep. 	（表示牵涉）经过；（表示位置）处在…中；（表示范围）在…之内；（表示所属）为…所特有
often	 [ˈɒfn]	adv. 	常常；经常；时常；再三
turn	 [tɜ:n]	vt.& vi. 	使转动；旋转；使改变方向；使不适
		vt. 	使变酸；使变换；使变为
		n. 	翻转；（路线或方向的）改变；机会
development	 [dɪˈveləpmənt]	n. 	发展，进化；被发展的状态；新生事物，新产品；开发区
keep	 [ki:p]	vt. 	保持；保留；遵守；阻止
		vi. 	（食品）保持新；保持健康
		n. 	保持，保养；供养，抚养；生活，生计；饲料；牧草
family	 [ˈfæməli]	n. 	家庭；家族；孩子；祖先
		adj. 	家庭的；一家所有的；属于家庭的；适合全家人的
seemed		v. 	好像，仿佛( seem的过去式和过去分词 )
white	 [waɪt]	adj. 	白色的，纯洁的；无色的，透明的；白衣的；白种人的
		n. 	白色；白种人；空白；白色颜料
		vt. 	（书写，印刷等）留出空白处；使变白色，刷白；漂白
company	 [ˈkʌmpəni]	n. 	公司，商号；作伴，伴侣，客人；连队，中队；（社交）集会，聚会
mind	 [maɪnd]	n. 	心，精神，心力，知，智力，智慧；心胸，头脑，人；愿望，目的，意向，意志，决心，见解，意见；记忆，记性，记忆力，回想
		vi. 	介意；注意
		vt. 	专心于；介意；愿意做；照顾
members	 ['membəz]	n. 	成员( member的名词复数 )；分子；身体部位（尤指胳膊或腿）
others		n. 	别的( other的名词复数 )；其他的；（两个中的）另一个；其余的
within	 [wɪˈðɪn]	adv. 	在内，在里面；在屋内；在心中，心里是
		prep. 	不超过，在…的范围内；在…能达到的地方；在…内，在…里面
		n. 	内部，里面
done	 [dʌn]	adj. 	已完成的；煮熟的；合乎礼仪的；合乎规矩的
		int. 	（表示接受建议）
		v. 	做( do的过去分词)；干
along	 [əˈlɒŋ]	adv. 	一起；向前；进展；到某处
		prep. 	沿着；顺着；靠着…边
turned	 ['tɜ:nd]	v. 	（使）转动( turn的过去式和过去分词 )；旋转；（使）改变方向；（使）不适
god	 [gɒd]	n. 	上帝，造物主；被极度崇敬的人[物]；男神；戏院顶层楼座观众
		vt. 	膜拜；崇拜
sense	 [sens]	n. 	感觉，官能；意识，观念；理性；识别力
		vt. 	感到；理解，领会；检测出
week	 [wi:k]	n. 	一星期，周；工作周（一个星期中的工作时间）
best	 [best]	adj. 	最好的( good和well的最高级)；最愉快的；最幸福的；最合适的
		adv. 	最好地；最出色地；最高标准地
		n. 	佼佼者；（个人的）最高水平；最重要的优越性；最好的东西，最合乎要求的事物
		vt. 	[口]打败，胜过
change	 [tʃeɪndʒ]	vt. 	改变，变更；交换，替换；兑换；换衣服（床单）
		vi. 	改变，转变；交换，互换；换衣，更衣
		n. 	变化，改变；交换，交替；零钱，找头；代替物
kind	 [kaɪnd]	n. 	〈古〉方式，方法；本质，天性；同类；某类
		adj. 	仁慈的，体贴的；友善的，好心的；温和；宽宏大量的
began	 [bɪˈgæn]	v. 	开始( begin的过去式 )；着手；创始；创办
child	 [tʃaɪld]	n. 	小孩，孩子；幼稚的人；产物；弟子
ever	 [ˈevə(r)]	adv. 	永远；曾经，这以前；究竟，到底；可能
law	 [lɔ:]	n. 	法；法学；规律；法制
		vt.& vi. 	[口语、方言]诉诸法律，对…起诉，控告
		vt. 	控告；对…起诉
matter	 [ˈmætə(r)]	n. 	事件；（讨论、考虑等的）问题；重要性；物质
		vi. 	要紧，重要；化脓；有重大影响；有重要性
least	 [li:st]	adj. 	最小的；最少的（ little的最高级）；最不重要的，地位最低的
		adv. 	最少，最小
		n. 	最小；最少量
means	 [mi:nz]	n. 	方法（ mean的名词复数）；手段；收入；财富
		v. 	意味着（ mean的第三人称单数）；引起；打算或注定要某人成为或做某事
question	 [ˈkwestʃən]	n. 	问题；疑问；怀疑；议题
		vt. 	问（某人）问题；对（某事物）表示[感到]怀疑
act	 [ækt]	v. 	行动；表现；表演；起作用
		n. 	行为；行动；法案，法令；短节目
close	 [kləʊz]	adj. 	紧密的；亲密的；亲近的
		vt. 	关；结束；使靠近
		vi. 	关；结束；关闭
		adv. 	紧密地
		n. 	结束
mean	 [mi:n]	v. 	表示…的意思；意思是；打算；产生…结果
		adj. 	吝啬的；刻薄的；破旧的；残忍的
		n. 	平均数；中间；几何平均；等比中数
leave	 [li:v]	vt. 	离开；遗弃；忘了带；交托
		vt.& vi. 	离去；出发；舍弃
		n. 	准假；假期；辞别；许可
itself	 [ɪtˈself]	pron. 	(it的反身形式)；它自己，它本身；自身，本身
force	 [fɔ:s]	n. 	力；武力；（社会）势力；魄力
		vt. 	强迫；强行；促使，推动；强奸
study	 [ˈstʌdi]	n. 	学习，研究；课题；书房；结论
		vi. 	考虑；沉思；默想；努力
		vt. 	想出；详细地检查；背诵（台词等）；为…费心思
York	 [jɔ:k]	 	约克角（澳大利亚东北部）（在约克角半岛）
action	 [ˈækʃn]	n. 	行动，活动；功能，作用；手段；[法]诉讼
door	 [dɔ:(r)]	n. 	门，户；出入口；一家[户]；通道
experience	 [ɪkˈspɪəriəns]	n. 	经验，体验；经历，阅历
		vt. 	亲身参与，亲身经历；感受；发现
human	 [ˈhju:mən]	n. 	人，人类
		adj. 	人的；有人性的；显示人类特有弱点的；人本性的
result	 [rɪˈzʌlt]	n. 	结果；（尤指足球比赛的）胜利；[体]比分；成功实现的事
		vi. 	发生，产生；归结为，导致；后果，终结；由…而造成[产生]
times	 [taɪmz]	n. 	时代；有时；总是；落后于时代；时间( time的名词复数 )；时机；时代；所需时间
		prep. 	乘，乘以
run	 [rʌn]	vt.& vi. 	跑；移动；（使）流动
		n. 	奔跑；行程；放映期；一系列
		vi. 	（工作等）进行；延续；逃跑；行驶
		vt. 	使奔跑；使…快速移动；运行，经营；划
		adj. 	融化的；浇铸的；跑的筋疲力尽的
different	 [ˈdɪfrənt]	adj. 	不同的；各式各样的；个别的；不平常
car	 [kɑ:(r)]	n. 	汽车；车厢；轿车
example	 [ɪgˈzɑ:mpl]	n. 	例子；榜样；范例；先例
		vt. 	作为…的例子；为…做出榜样
		vi. 	举例；作为…的示范
hands		n. 	手( hand的名词复数 )；人手；（工具等的）把；帮助
whole	 [həʊl]	adj. 	全部的，所有的；完整的
		n. 	整体，整个；全部
center	 ['sentə]	n. 	中心；（球队的） 中锋；中心区；中枢
		adj. 	中央的，位于正中的；（在）中心的
		vt. 	集中；使聚集在一点；定中心；居中
		vi. 	居中，有中心，被置于中心
although	 [ɔ:lˈðəu]	conj. 	尽管；虽然；但是；然而
call	 [kɔ:l]	v. 	呼唤，喊叫；召唤，叫来，召集；下令，命令；打电话给
		n. 	喊叫，大声喊；电话联络；必要，理由；要求
Five		 	[电影]最后五个人
inform	 [ɪnˈfɔ:m]	vt. 	通知；使活跃，使充满；预示
		vi. 	通知；告发
gave	 [geɪv]	v. 	给予，赠送( give的过去式 )；（与名词连用描述某一动作，意义与该名词相应的动词相同）；供给；交给
plan	 [plæn]	n. 	计划；打算；平面图；示意图
		vt.& vi. 	计划，打算，设计
woman	 [ˈwʊmən]	n. 	女人，妇女；成年女子；女拥人或女下属；女人本能
boy	 [bɔɪ]	n. 	男孩，少年；儿子；小伙子，家伙；服务员
feet	 [fi:t]	n. 	脚( foot的名词复数 )；底部；英尺(=12 英寸或 30.48 厘米)；脚步
provide	 [prəˈvaɪd]	vt.& vi. 	提供，供给，供应
		vt. 	规定；提供(+for)；装备；预备
		vi. 	抚养，赡养(+for)；做准备；预约(for 或 against)
taken	 [ˈteɪkən]	v. 	拿( take的过去分词)；接受；取得
thus	 [ðʌs]	adv. 	于是，因此；如此，这样，像这样，例如；到这程度，到这地步，这么；如下
		conj. 	因此
body	 [ˈbɒdi]	n. 	身体；尸体；团体；物体
		vt. 	赋予形体
play	 [pleɪ]	n. 	比赛；游戏；戏剧；赌博
		vt.& vi. 	玩；演奏；演出；参加比赛
		vt. 	扮演；担任，充当…的角色；演出；装扮
		vi. 	玩耍，游戏；[游戏] 参加游戏；赌博；闹着玩
seen	 [si:n]	v. 	看见( see的过去分词 )；观看；领会；考虑
today	 [təˈdeɪ]	adv. 	（在）今天；现在；现今；现代，当代
		n. 	今天，今日；现代，当代；现今
having	 ['hævɪŋ]	n. 	所有，持有
		v. 	有( have的现在分词 )；（亲属关系中）接受；拿；买到
cost	 [kɒst]	n. 	价钱，代价；花费，费用；牺牲；[用复数][法律]诉讼费
		vi. 	价钱为，花费；估计成本
		vt. 	付出代价；估价；使丧失；使付出努力
perhaps	 [pəˈhæps]	adv. 	或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许
		n. 	假定；猜想；未定之事
field	 [fi:ld]	n. 	田；（作某种用途的）场地；（学习或研究的）领域；运动场
		vi. 	[棒球、板球等]担任外场员，担任守队队员；接守，接防；接，掷还（球）
		adj. 	实地的；[体育]1)。 在田赛场地进行的2)。 田赛的；军事]野战的；在实地工作的
		vt. 	保护；把（农作物等）晒在场上；[棒球、板球等]按（或截）（球）；即席圆满回答
local	 [ˈləʊkl]	adj. 	地方的；当地的，本地的；局部的；褊狭的
		n. 	慢车；本地居民（律师、教士、医生）；住处附近的当地酒店；本地新闻
really	 [ˈri:əli]	adv. 	真，真正；实在，果真；实际上；事实上
am	 [əm]	abbr. 	(=amplitude modulation) 调频，调谐
		vi. 	（用于第一人称单数现在时）是
		aux. 	（与v-ing连用构成现在进行时，与v-ed连用构成被动语态）
increase	 [ɪnˈkri:s]	vt.& vi. 	增加，增大，增多
		vt. 	增强，增进；[缝纫]放（针）
		vi. 	增强；增进；增殖，繁殖；[缝纫]放针
		n. 	增加量；增长；提高
reason	 [ˈri:zn]	n. 	理由；原因；理性；理智
		vt.& vi. 	推理，思考；争辩；辩论；向…解释
themselves	 [ðəmˈselvz]	pron. 	他[她，它]们自己；他们亲自；“himself”的复数；“herself”的复数
clear	 [klɪə(r)]	adj. 	清楚的，明白的；清晰的，明亮的；清澈的；明确的
		adv. 	完全地；清晰地；整整
		vi. 	变明朗；变清澈
		vt. 	扫除，除去；消除（嫌疑）；使清楚；使干净
		n. 	空隙，空间
information	 [ˌɪnfəˈmeɪʃn]	n. 	信息，数据；通知；消息；知识
figure	 [ˈfɪgə(r)]	n. 	数字；算术；人物；身材
		vi. 	计算；出现；扮演角色
		vt. 	计算在内；估计；推测；认为
late	 [leɪt]	adj. 	晚的，迟到的；时间不早的；已故的；原来的，之前的；临近终了的
		adv. 	晚，迟；后期地；最近地
above	 [əˈbʌv]	prep. 	（表示程度）超过；（表示等级）在…之上；（表示位置）在…正上方；（表示比较）优于
		adv. 	在上面；以上；上述
		n. 	上述
		adj. 	上述的
history	 [ˈhɪstri]	n. 	历史，历史学；发展史；履历，经历；（某地的）沿革
love	 [lʌv]	vt.& vi. 	爱，热爱；爱戴；喜欢；赞美，称赞
		vt. 	喜爱；喜好；喜欢；爱慕
		n. 	爱情，爱意；疼爱；热爱；爱人，所爱之物
girl	 [gɜ:l]	n. 	女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
held	 [held]	v. 	拿（ hold的过去式和过去分词 ）；举行；保留
special	 [ˈspeʃl]	adj. 	特殊的；专门的；专用的；重要的
		n. 	专车；特价；特刊；特约稿
move	 [mu:v]	vt.& vi. 	移动，搬动
		vi. 	搬家；行动；进展；（机器等）开动
		vt. 	提议；使感动；摇动；变化
		n. 	改变；迁移
person	 [ˈpɜ:sn]	n. 	人；（语法）人称；身体；容貌
whether	 [ˈweðə(r)]	pron. 	其中的哪一个
		n. 	可能的选择
college	 [ˈkɒlɪdʒ]	n. 	大学；（英国）学院；学会；（尤指必须交费的）中学
sure	 [ʃʊə(r)]	adj. 	确信的，确实的；有把握的；无疑的；一定的
		adv. 	当然；确实地；无疑地
probably	 [ˈprɒbəbli]	adv. 	大概；或许；很可能；备不住
either	 [ˈaɪðə(r)]	pron. 	（两者之中）任何一个
		adj. 	（两者中）任一的；非此即彼的，两者择一的
		adv. 	（否定句中）也；[用于否定句或否定词组后]也（不…），亦，而且；[口语] [用于否定句或否定词组后以加强语气]根本；当然
		conj. 	[通常用于“either…or…”结构中]或者，要么[在“either…or…”结构中，动词的人称和数一般与离得最近的主动响应，但有时用第三人称单数，在口语中也有把两个主语合在一起用作复数的]
seems	 [si:mz]	v. 	好像，仿佛（ seem的第三人称单数 ）
cannot	 [ˈkænɒt]	 	=can not；未可；不能；不可
art	 [ɑ:t]	n. 	艺术；艺术作品；（需要技术、工艺的）行业；文艺（包括绘画、雕塑、建筑、音乐、舞蹈、戏剧、文学等）
		vi. 	thou art 即 you are,对一人讲话时用
		adj. 	艺术的；（为）艺术家的；艺术品的；具有艺术性的
		vt.& vi. 	[口语]（把…）装饰得古色古香，（把…）装饰得古怪而有艺术趣味，把…装饰得有艺术价值；把…加以艺术乔装，使艺术化[仅用于 art up 短语中]
free	 [fri:]	adj. 	自由的；免费的；免税的；空闲的
		adv. 	免费地；自由地，无拘束地；一帆风顺地
		vt. 	免除；释放；使自由；解救
across	 [əˈkrɒs]	prep. 	穿过；横穿，横过；与…交叉；在…对面
		adv. 	横过，越过；在对面；交叉；斜对面
death	 [deθ]	n. 	死亡；（某种）死法，死亡方式；病危；死神
quite	 [kwaɪt]	adv. 	相当，很；非常；确实如此
street	 [stri:t]	n. 	大街，街道
value	 [ˈvælju:]	n. 	价值，价格；意义，涵义；重要性；（邮票的）面值
		vt. 	评价；重视，看重；估价，给…定价
anything	 [ˈeniθɪŋ]	pron. 	任何东西；（用于否定句、疑问句中以及 if 或 whether 和 prevent、ban、avoid 等动词后，代替 something）任何东西；重要东西；重要事物
making	 [ˈmeɪkɪŋ]	n. 	制造；产生的过程；成功改进的手段；原料，材料
		v. 	“make”的现在分词
past	 [pɑ:st]	adj. 	过去的，以前的；结束的；前任的
		n. 	过去，过往；往事；[语]过去时
		prep. 	超过，超出；远于；越过
		adv. 	经过，超过
brought	 [brɔ:t]	v. 	带来( bring的过去式和过去分词 )；促使；提供；使朝（某方向或按某方式）移动
moment	 [ˈməʊmənt]	n. 	瞬间，片刻；时刻；重要，紧要；[物]力矩
control	 [kənˈtrəʊl]	vt. 	控制；管理；限制；支配
		n. 	支配权；操纵者；（对国家、地区、机构等的）管理权；（键盘上的）控制键
office	 [ˈɒfɪs]	n. 	办公室；公职；（政府部门的）部；有特定用途的房间[建筑物]
heard	 [hɜ:d]	v. 	听到，听见( hear的过去式和过去分词 )；听说；得知；听取
problems	 ['prɑ:bləms]	n. 	问题( problem的名词复数 )；疑难问题；习题；思考题
became	 [bɪˈkeɪm]	v. 	变为，成为（ become的过去式 ）
full	 [fʊl]	adj. 	满的，装满的；完全的，完整的；丰富的；详尽的
		adv. 	极其，十分；充分地，完全地；整整；直接地
		n. 	充分，完全；全部；完整；极盛时
		v. 	把衣服缝得宽大；把裙子缝出皱褶；[印]蒸洗，漂洗
near	 [nɪə(r)]	adv. 	（空间）在近处；在附近；（时间）临近；（程度）几乎
		prep. 	（表示程度）接近；（表示位置）靠近；（表示时间）将近；接近于（某种状态）
		adj. 	近的；亲密的；近似；（亲属关系）近亲
half	 [hɑ:f]	adj. 	一半的，半个的
		n. 	半；一半；（啤酒等饮料的）半品脱；（比赛、音乐会等的）半场
		adv. 	一半；部份地
nature	 [ˈneɪtʃə(r)]	n. 	自然；天性；天理；类型
hold	 [həʊld]	vt. 	拿住，握住；保留，保存；扣留，拘押；容纳
		vi. 	拿住，握住；同意，赞成；保持不变；有效
		n. 	握住；保留；控制
live	 [lɪv]	vi. 	生存；居住；生活，过活；在生活中得到享受
		vt. 	经历；度过
		adj. 	活着的；生动的，有精神的；精力充沛的；现场直播的
		adv. 	在（表演）现场，实况地
available	 [əˈveɪləbl]	adj. 	可获得的；有空的；可购得的；能找到的
known	 [nəʊn]	adj. 	大家知道的；已知的；知名的；向某人作自我介绍
		v. 	知道( know的过去分词 )；看到过；听到过；经历过
board	 [bɔ:d]	n. 	板；董事会；甲板；膳食
		vt. 	上（船、车或飞机）；收费供…膳宿；使搭伙，使寄宿；强行登（船）
		vi. 	（火车、轮船、飞机等）接受乘客；搭伙，寄宿
effect	 [ɪˈfekt]	n. 	影响；效果；印象；所有物
		vt. 	使发生；引起；产生（效果）
already	 [ɔ:lˈredi]	adv. 	早已，已经；先前
Economic	 [ˌi:kəˈnɒmɪk]	adj. 	经济的；经济学的；合算的；有经济效益的
money	 [ˈmʌni]	n. 	钱；财富；薪水；款项
position	 [pəˈzɪʃn]	n. 	位置，方位；地位，职位；态度；状态
		vt. 	安置；把…放在适当位置；给…定位；驻扎军队
believe	 [bɪˈli:v]	v. 	信任；料想；笃信宗教
		vt. 	相信；以为，认为；对…信以为真；信任
age	 [eɪdʒ]	n. 	年龄；时代；老年；年龄段
		vt.& vi. 	（使）长大；使显老；使变老；使苍老
		vi. 	[化学]老化；陈化，熟化；（吸毒者随年龄增长而主动）戒毒，戒除毒品
		vt. 	[化学]使老化；使陈化；使熟化；估计，推测（马的年龄）
together	 [təˈgeðə(r)]	adv. 	同时；在一起；一致地；不间断地
		adj. 	稳定可靠的；做事有效率的
shall	 [ʃəl]	v. 	将要；必须；可以；应该
TRUE	 [tru:]	adj. 	真正的；真实的；忠实的；正确的
		adv. 	真正地；确实地；正确地；正当地
		n. 	真理，真实；正，准，精确
		vt. 	摆正；决定（某物）的位置以使其平衡、平稳或水平
political	 [pəˈlɪtɪkl]	adj. 	政治的；政党的；对政治有兴趣的
court	 [kɔ:t]	n. 	法院，法庭；院子，天井；宫廷；网球场
		vt. 	招致；设法获得；向…献殷勤；追求
		vi. 	求爱，求婚；寻求
report	 [rɪˈpɔ:t]	n. 	报告；成绩报告单；传闻；流言蜚语
		vt.& vi. 	报道；公布；宣告
		vt. 	告发，举报；使报到
level	 [ˈlevl]	n. 	水平，水准；水平线，水平面；水平仪；[物]电平
		adj. 	水平的；同高度的；平均的；平稳的
		vt. 	使同等；对准；弄平
		vi. 	拉平；（用枪等）瞄准（与 at 连用）；变得平坦；将（话、批评等）对准目标
		vi. 	瞄准；拉平；变得平坦
rate	 [reɪt]	n. 	速度；比率；等级；（利息等的）费率
		vt. 	估价；值得；责骂；定级
		vt.& vi. 	认为，把…算作
		vi. 	被评价；被认为；被列入；申斥
air	 [eə(r)]	n. 	天空；气氛；空运；（简单易记的）曲调
		vt.& vi. 	晾晒；烘干；播送；广播
		vt. 	使房间通风， 透气
pay	 [peɪ]	vt.& vi. 	付款；偿还；补偿；（对…）有利
		vt. 	给予；支付
		n. 	工资；薪水；报答
		adj. 	收费的；需付费的
community	 [kəˈmju:nəti]	n. 	社区；社会团体；共同体；[生态] 群落
complete	 [kəmˈpli:t]	adj. 	（用以强调）完全的；完成的；达到结尾的；完整的
