missing	 [ˈmɪsɪŋ]	adj. 	失去的；下落不明的
assist	 [əˈsɪst]	n. 	帮助；援助；机器助手；辅助装置
		vt. 	帮助；援助；帮助某人做某事；搀扶（某人）上下车
		vi. 	援助；出席；参加
considerations	 [kənsɪdə'reɪʃnz]	n. 	考虑( consideration的名词复数 )；报酬；仔细考虑；（对他人的）考虑周到
perfectly	 [ˈpɜ:fɪktli]	adv. 	完美地；理想地；完全地；无瑕疵地
counter	 [ˈkaʊntə(r)]	n. 	柜台；对立面；计数器；（某些棋盘游戏的）筹码
		adj. 	相反的
		vt. 	反击，还击；反向移动，对着干；反驳，回答
		vi. 	逆向移动，对着干；反驳
		adv. 	反方向地；背道而驰地
pages	 ['peɪdʒɪz]	n. 	页( page的名词复数 )；（计算机的）页面；历史篇章；重要事件
composer	 [kəmˈpəʊzə(r)]	n. 	（尤指古典音乐）作曲家；调停人；设计者
rid	 [rɪd]	vt. 	使摆脱，解除，免除
frequencies	 ['frɪkwənsɪz]	n. 	（某事发生可重复的）频率( frequency的名词复数 )；发生率；（声波或无线电波的）振动频率；经常发生
accordingly	 [əˈkɔ:dɪŋli]	adv. 	因此，于是；依据；照着，相应地
plastic	 [ˈplæstɪk]	n. 	塑料制品；〈口〉（使用）信用卡；整形；可塑体
		adj. 	可塑的，塑性的，受范的，柔软的；造型的，塑造的，给与形态的；塑料[塑胶]的，塑料[塑胶]制的，合成树脂做的；有形成力的，有创造力的
locking	 [lɒkɪŋ]	adj. 	（母鸡）伏窝孵卵的
		v. 	关闭；锁闭[定]；堵塞；连接；锁住，锁上( lock的现在分词 )；卡住，不动；陷入；卷入（困境、争论、争执等）
gently	 [ˈdʒentli]	adv. 	温柔地；轻轻地；有礼貌地；文雅地
basement	 [ˈbeɪsmənt]	n. 	地下室；[建]基底，底部
evaluation	 [ɪˌvæljʊ'eɪʃn]	n. 	估价；赋值；估计价值；[医学]诊断
inherent	 [ɪnˈhɪərənt]	adj. 	固有的，内在的；天生
saline	 [ˈseɪlaɪn]	adj. 	含盐的，咸的
		n. 	盐湖，盐泉；盐溶液
widespread	 [ˈwaɪdspred]	adj. 	分布广的；普遍的；广泛应用；普及的
Republicans		n. 	拥护共和政体者，共和主义者( republican的名词复数 )
Sen		 	[人名] 森
voting	 [ˈvəʊtɪŋ]	n. 	选举，投票
Felix	 [´fi:liks]	n. 	费利克斯(m.)
		 	[男子名] [英格兰人姓氏] 费利克斯来源于中世纪拉丁语教名，含义是“幸运的”(lucky,fortunate)
representing		v. 	表现( represent的现在分词 )；代表；体现；作为…的代表
justify	 [ˈdʒʌstɪfaɪ]	vt. 	证明…有理；为…辩护；对…作出解释
		vi. 	整理版面；证明合法
allies		n. 	联盟国，同盟者；同盟国，同盟者( ally的名词复数 )；支持者；盟军
sophisticated	 [səˈfɪstɪkeɪtɪd]	adj. 	复杂的；精致的；富有经验的；深奥微妙的
		v. 	使变得世故；使迷惑；篡改(sophisticate的过去分词形式)
appreciate	 [əˈpri:ʃieɪt]	vt. 	感激；欣赏；领会；鉴别
		vi. 	（使）增值，涨价
directions	 [dɪ'rekʃnz]	n. 	direction的复数形式；方面( direction的名词复数 )；方向；指南；（电影导演的）指点
instances		n. 	例子，实例( instance的名词复数 )
Sheets		 	[人名] 希茨
delivery	 [dɪˈlɪvəri]	n. 	传送，投递；[法]（正式）交付；分娩；讲演
ladder	 [ˈlædə(r)]	n. 	梯子，阶梯；梯状物；途径；（紧身裤袜或长筒袜的）滑丝
		vi. 	使（袜子）发生抽丝现象；像长筒袜一样抽丝
graduate	 [ˈgrædʒuət]	vi. 	渐变；渐渐变为（与into连用）；渐渐消逝（与away连用）；取得资格（与as连用）
		vt. 	授予学位或毕业证书；从…接受学位；分成等级；标以刻度
		n. 	毕业生；大学毕业生；（已经取得学士学位正在攻读高级学位的）研究生；量筒
		adj. 	毕业了的，研究生的；有（学士）学位的
perspective	 [pəˈspektɪv]	n. 	透镜，望远镜；观点，看法；远景，景色；洞察力
		adj. 	（按照）透视画法的；透视的
Yankees		n. 	美国人( Yankee的名词复数 )；美国北方诸州的人，（美国南北战争时期）北军士兵
players	 [p'leɪəz]	n. 	演员( player的名词复数 )；演奏者；（商业或政治方面的）参与者；游戏者
identify	 [aɪˈdentɪfaɪ]	vt. 	识别，认出；确定；使参与；把…看成一样
		vi. 	确定；认同
phenomena	 [fə'nɒmɪnə]	n. 	现象
suspended	 [sə'spendɪd]	adj. 	暂停的，缓期的（宣判），悬浮的
		v. 	悬( suspend的过去式和过去分词 )；延缓；暂停；使暂时停职（或停学等）
Franklin		 	[男子名] [英格兰人姓氏] 富兰克林身份名称，自由民，来源于盎格鲁诺曼底法语，含义是“自由的”(free)+日耳曼语后缀ling；[地名] [加拿大、美国、南非共和国] 富兰克林；弗兰克林
aesthetic	 [i:sˈθetɪk]	adj. 	美的，美学的；有关美的；审美的；具有审美趣味的
		n. 	美学标准，美感；审美观
Louisiana		n. 	路易斯安那，（美国南部的州名）
Lane		 	[人名] [英格兰人姓氏] 莱恩地方名称，来源于中世纪英语、古英语，含义是“小路，小巷”(lane)；[人名] [爱尔兰姓氏] 莱恩盖尔语姓氏的英语形式，来源于别名，含义是“矛，标枪”(spear,javelin)；[人名] [爱尔兰姓氏] 莱恩盖尔语姓氏的英语形式，来源于别名，含义是“斗士”(warrior)；[人名] [爱尔兰姓氏] 莱恩盖尔语姓氏的英语形式，来源于人名，含义是“灰色”(grey)
velocity	 [vəˈlɒsəti]	n. 	速率，速度；周转率；高速，快速
Johnny		n. 	[主英][口]男人；（住院病员穿的）无领后开罩衫；[男子名] 约翰尼 John的昵称
Eddie	 ['edɪ]	n. 	埃迪(m.)
tangent	 [ˈtændʒənt]	n. 	正切；突然转移话题；突兀的转向；（铁路或道路的）直线区间
		adj. 	正切的；相切的；切线的；离题的
dates		n. 	（注明的）日期( date的名词复数 )；时代；目前；（北非和西亚常见的海枣树的）海枣
		v. 	过时( date的第三人称单数 )；使…显老；显示出…时代（或年龄）；鉴定…的年代
cuts		v. 	切( cut的第三人称单数 )；（从某物上）切下；将（某物）切开（或分割）；削减
COMMENTS	 ['kɒments]	n. 	批评，意见，评论；评论( comment的名词复数 )；注释；谈话；说明
LOCKED	 [lɔkt]	adj. 	上锁的；不灵活的；锁定的；下定决心的
		v. 	锁住（ lock的过去式和过去分词）；卡住，不动；陷入；卷入（困境、争论、争执等）
ranging	 ['reɪndʒɪŋ]	n. 	距离修正，广泛搜索
		v. 	搜索( range的现在分词 )；变化；延伸；漫游
controls	 [kən'trəʊls]	n. 	控制( control的名词复数 )；限制；（对国家、地区、机构等的）管理权；（键盘上的）控制键
		v. 	控制( control的第三人称单数 )；管理；限制；克制
Alex		n. 	亚历克斯（男子名）
		 	[男子名] 亚历克斯 Alexander的昵称；[人名] 亚历克斯，亚历克丝（女名）；[地名] [法国、美国] 亚历克斯
buying	 ['baɪɪŋ]	n. 	购买
		v. 	购买，购得( buy的现在分词 )；做出牺牲以获得；够支付；买通
Associations		 	[医]联合，联想
era	 [ˈɪərə]	n. 	纪元，年代；历史时期，时代；重大事件
dreams	 [dri:mθ]	n. 	梦( dream的名词复数 )；出神；梦幻状态；抱负
		v. 	做梦，向往( dream的第三人称单数 )；想到，料到；[常用于疑问句或否定句]考虑到，想到，料到；虚度（光阴），（在空想中）度过（时间），迷迷糊糊地度过（与 away,out 连用）
Sharpe		 	[人名] [英格兰人姓氏] 夏普 Sharp的变体；[地名] [美国] 夏普
impressed	 [ɪmˈprest]	adj. 	印象深刻的
		v. 	使感动，使印象深刻( impress的过去式和过去分词)
historian	 [hɪˈstɔ:riən]	n. 	历史学家，史学工作者
listened		v. 	倾听( listen的过去式和过去分词 )；留心听；听信；（让对方注意）听着
abandon	 [əˈbændən]	vt. 	放弃，抛弃；离弃，丢弃；使屈从；停止进行，终止
		n. 	放任，放纵；完全屈从于压制
propaganda	 [ˌprɒpəˈgændə]	n. 	宣传，宣传运动
terror	 [ˈterə(r)]	n. 	恐怖；恐怖的缘由；恐怖行为；令人讨厌的人
eg		 	Egypt 埃及
deliberately	 [dɪˈlɪbərətli]	adv. 	故意地；深思熟虑地；从容不迫地
measuring	 ['meʒərɪŋ]	v. 	量( measure的现在分词 )；测量；衡量；量出
hoping	 ['həʊpɪŋ]	v. 	希望，期望( hope的现在分词 )；[俚语]相信，认为；希望，盼望，期待
surprising	 [səˈpraɪzɪŋ]	adj. 	使人惊讶的，出人意料的，惊人的；惊人的，意外的；奇怪的，不可思议的
		v. 	使惊奇，使诧异( surprise的现在分词)；意外发现[撞见]，出其不意获得
complicated	 [ˈkɒmplɪkeɪtɪd]	adj. 	结构复杂的；混乱的，麻烦的
		v. 	使复杂化( complicate的过去式)
magnetic	 [mægˈnetɪk]	adj. 	有磁性的，有吸引力的；磁性的；有吸引力的；有魅力的
occurrence	 [əˈkʌrəns]	n. 	发生，出现；遭遇，事件
adult	 [ˈædʌlt]	adj. 	成熟的；（智力、思想、行为）成熟的；成年人的；成年的
		n. 	成年的人或动物
preceding	 [prɪ'si:dɪŋ]	adj. 	（时间或地点上）在先的，在前的，前面的；前述的；上述的
		v. 	在…之前发生（或出现）；走在…前面；先于；“precede”的现在分词
skilled	 [skɪld]	adj. 	熟练的，有技能的；需要技能的；娴
density	 [ˈdensəti]	n. 	密度；稠密，浓厚；[物]浓度，比重；愚钝
purely	 [ˈpjʊəli]	adv. 	完全地，十足地；纯粹地；纯洁地，贞淑地
dimensions	 [dɪ'menʃnz]	vi. 	按规格尺寸切割
		vt. 	在…上标尺寸
		n. 	面积；特点；（长、宽、厚、高等的）尺寸；重要性；尺寸( dimension的名词复数 )；方面；（长、宽、高的）量度；规模
rational	 [ˈræʃnəl]	adj. 	神智清楚的；理性的；理智的；合理的
		n. 	合理的事物；[数]有理数；懂道理的人，人类；〈英〉合理的服装
blanket	 [ˈblæŋkɪt]	n. 	毛毯，毯子；毯状物；厚的覆盖层
		adj. 	总括的；全体的；无大差别的
		vt. 	用毯覆盖；覆盖，掩盖；（规则等）适用于
encountered	 [ɪn'kaʊntəd]	v. 	遇到( encounter的过去式和过去分词 )；遭遇；偶然碰到；与（人、部队）冲突
consequence	 [ˈkɒnsɪkwəns]	n. 	结果，成果；[逻]结论；重要性；推论
consciousness	 [ˈkɒnʃəsnəs]	n. 	意识，观念；知觉；觉悟；感觉
vague	 [veɪg]	adj. 	模糊的；（思想上）不清楚的；（表达或感知）含糊的；暧昧的
		n. 	模糊不定状态
flux	 [flʌks]	n. 	[物]流量；流出；熔解；不断的变动
		v. 	熔化；熔解；流出
Shakespeare	 [ˈʃeɪkspɪə]	n. 	莎士比亚(1564-1616，英国诗人、剧作家)
vein	 [veɪn]	n. 	静脉；[地]矿脉，岩脉；[植]叶脉；气质，倾向
		v. 	使有脉络；使有纹理；象脉络般分布于
Cried	 [kraɪd]	v. 	哭( cry的过去式和过去分词 )；喊，叫；叫卖，大声报道，哭着说；鸣
component	 [kəmˈpəʊnənt]	n. 	成分；零件；[数]要素；组分
		adj. 	组成的；合成的；构成的；成分的
grinned		v. 	露齿而笑（grin的变形词）
ray	 [reɪ]	n. 	（热或其他能量的）射线；光束，光线；微量；伞形花序柄
		vt. 	放射；照射；（思想，希望等）闪现；发光
unconscious	 [ʌnˈkɒnʃəs]	adj. 	失去知觉的，无意识的；无意的，不自觉的；不知道的；不受意识控制的
		n. 	[心]无意识
Dartmouth	 [ˈdɑ:tməθ]	 	达特默斯，美国马萨诸塞东南一城镇，加拿大新斯科舍省南部一城市
subtle	 [ˈsʌtl]	adj. 	微妙的；敏感的；狡猾的；巧妙的
sovereign	 [ˈsɒvrɪn]	n. 	君主；最高统治者；独立国；旧时价值为一镑的英国金币
		adj. 	独立自主的；拥有最高统治权的；至高无上的；极好的
Miriam		n. 	米里亚姆（女子名）
Woodruff		 	[人名] [英格兰人姓氏] 伍德拉夫地貌名称，香车叶草丛生的地段，来源于古英语；[地名] [美国] 伍德拉夫
fees	 ['fi:z]	n. 	费用；（加入组织或做某事付的）费( fee的名词复数 )；专业服务费；咨询费；报酬
divorce	 [dɪ'vɔ:s]	n. 	离婚；分离
		vt. 	与…离婚；分离
		vt.& vi. 	与（某人）离婚，判（某人）离婚
Davis	 ['deɪvɪs]	n. 	戴维斯
Hughes		 	[人名] [英格兰人姓氏] 休斯取自父名，来源于Hugh,含义是“休之子”(son of Hugh)；[地名] [澳大利亚、美国] 休斯
Sherman	 [ˈʃə:mən]	 	谢尔曼（姓氏，男子名）
Harris	 [ˈhæris]	 	哈里斯（英国苏格兰西北部一地区）tweed（纺）海力斯粗花呢
extending	 [ɪk'stendɪŋ]	v. 	（空间、时间等）延伸，延续( extend的现在分词 )；伸展；给予；延长
utility	 [ju:ˈtɪləti]	n. 	功用，效用；有用的物体或器械；公用事业公司；公用事业
		adj. 	有多种用途的；各种工作都会做的；能在数个位置作替补的；为获得经济价值而饲养
lieutenant	 [lefˈtenənt]	n. 	陆军中尉；副职官员；海军上尉；助理人员
proposals	 [prə'pəʊzlz]	n. 	提议( proposal的名词复数 )；推荐；求婚；赞成提案
questioned		v. 	问（某人）问题( question的过去式和过去分词 )；对（某事物）表示[感到]怀疑
construction	 [kənˈstrʌkʃn]	n. 	建筑物；建造；解释；建造物
mighty	 [ˈmaɪti]	adj. 	趾高气扬；巨大的；强有力的；浩瀚的
		adv. 	非常，很
ignored	 [ɪɡ'nɔ:d]	v. 	不顾( ignore的过去式和过去分词 )；[法律]驳回（诉讼）；对…不予理会；佯装未见
democracy	 [dɪˈmɒkrəsi]	n. 	民众；民主国家；民主主义；民主政治
Morse	 [mɔ:s]	n. 	莫尔斯电码
		vt.& vi. 	用莫尔斯电码通信（给）
tractor	 [ˈtræktə(r)]	n. 	拖拉机；牵引器
allied	 [ˈælaɪd]	adj. 	同盟的，同盟国的；联合的；姻亲的；同源的，类似的
		v. 	联合(ally的过去分词)
explicit	 [ɪkˈsplɪsɪt]	adj. 	明确的，清楚的；直言的；详述的；不隐瞒的
preliminary	 [prɪˈlɪmɪnəri]	adj. 	初步的，初级的；预备的；开端的；序言的
		n. 	准备工作；预赛；初步措施；（对学生等的）预考
transferred	 [t'rænsfɜ:d]	v. 	转移，迁移( transfer的过去式和过去分词 )；转让；转移（感情）；改变
accomplish	 [əˈkʌmplɪʃ]	vt. 	完成；达到（目的）；走完（路程、距离等）；使完美
guilty	 [ˈgɪlti]	adj. 	内疚的；有罪的
merit	 [ˈmerɪt]	n. 	价值，优点；[宗教]（行善得到的）功德；功绩，功勋；荣誉
		vt. 	值得，应获得；[宗教]（因行善而）应得（善报）
		vi. 	值得，应得；[宗教]积德
ethical	 [ˈeθɪkl]	adj. 	伦理学的；道德的，伦理的；凭处方出售的
		n. 	凭医师处方出售的药品
recovery	 [rɪˈkʌvəri]	n. 	恢复，复原；重获；痊愈；矫正
Sons		abbr. 	Sonnets 
Builders	 ['bɪldəz]	n. 	建设者( builder的名词复数 )；（尤指建房子的）建筑工人；增进[增强] …之物；（增加洗涤剂清洁作用的）促净剂
builder	 [ˈbɪldə(r)]	n. 	建设者，建筑者；创建者；经营建筑业者；增洁剂，促净剂
October	 [ɒkˈtəʊbə(r)]	n. 	十月
threatened		adj. 	受到威胁的
		v. 	威胁(threaten的过去分词)
mothers		n. 	母亲( mother的名词复数 )；妈妈；根由；（对女修道院院长的尊称）
Testament		 	[电影]证言
volunteers		n. 	义务工作者( volunteer的名词复数 )；志愿者；自告奋勇者；主动做某事的人
		v. 	自动提供，自愿效劳( volunteer的第三人称单数 )；主动建议（或告诉）；（未经当事人同意）举荐；自愿参军，当志愿兵
Ann	 [æn]	n. 	安（女子名）
Mickey	 [ˈmɪki:]	n. 	掺合麻药的酒（或饮料）；米基 Michael的昵称；米老鼠动画片；一块马铃薯
shots		n. 	射手( shot的名词复数 )；开枪；发射；注射
trips		v. 	说话结结巴巴( trip的第三人称单数 )；倾斜；绊倒；（使）犯错误
exciting	 [ɪkˈsaɪtɪŋ]	adj. 	使人兴奋的，令人激动的
		v. 	刺激（excite的现在分词）
entertainment	 [ˌentəˈteɪnmənt]	n. 	娱乐，消遣；招待，款待；娱乐节目
movie	 [ˈmu:vi]	n. 	电影；电影院；电影业
Albert	 [ˈælbət]	n. 	艾伯特（男子名，涵义：高贵地，聪明，人类的守护者）；(a-)西装背心用的怀表链条
DC	 [ˌdi: ˈsi:]	abbr. 	直流电(direct current)；哥伦比亚特区(District of Columbia)；数码相机(digital camera)；从头重复(da capo)
tasks		n. 	工作，任务，差事( task的名词复数 )
unions		n. 	联合( union的名词复数 )；联盟；和睦；结婚
encouraged	 [ɪn'kʌrɪdʒd]	v. 	鼓励( encourage的过去式和过去分词 )；支持；促进；鼓动
access	 [ˈækses]	n. 	入口，出口；接近，进入；增长；爆发
		vt. 	接近，进入；使用，接近，获取
suburban	 [səˈbɜ:bən]	adj. 	城郊的，在郊区的，城郊住宅区的；土气的；见闻不广的
		n. 	郊区居民
signals		n. 	信号( signal的名词复数 )；（无线电或电视所传送的）讯号；标志；（尤指铁路和公路上的）指示灯
		v. 	发信号，用信号传达，用信号通讯( signal的第三人称单数 )；发暗号；示意
barn	 [bɑ:n]	n. 	谷仓，粮仓；牲口棚；（公共汽车、卡车等的）车库；一种特别大且空荡的房屋
sewage	 [ˈsu:ɪdʒ]	n. 	（下水道里的）污物；下水道；污水
bore	 [bɔ:(r)]	vt. 	令人厌烦；钻孔；用钻、挖或掘的方式打通
		vi. 	挖洞；钻孔；稳步前进；挤过去
		n. 	使人讨厌的人[物]；高潮；膛径，口径；钻子
jet	 [dʒet]	n. 	喷嘴，喷雾；喷气式飞机；喷射流；煤玉
		vi. 	乘喷气式飞机；射出
		adj. 	黑玉制的或黑玉似的；象炭一般黑的
		vt. 	喷射，喷出
drying	 ['draɪɪŋ]	v. 	烘干；变干，把…弄干( dry的现在分词 )；去湿
creating	 [kri':eɪtɪŋ]	v. 	创造( create的现在分词 )；引起；造成；封
cycle	 [ˈsaɪkl]	n. 	循环，周期；自行车；时代，一段时间；整套
		vi. 	周而复始，循环；骑自行车；轮转
		vt. 	运转，循环；使轮转
morality	 [məˈræləti]	n. 	道德；道德准则；品德高尚的行为；道德观
fabrics	 ['fæbrɪks]	n. 	织物( fabric的名词复数 )；布；构造；（建筑物的）结构（如墙、地面、屋顶）：质地
astronomy	 [əˈstrɒnəmi]	n. 	天文学
STARS		abbr. 	simplified three-axis reference system 简化三轴坐标系统
residence	 [ˈrezɪdəns]	n. 	住处，住宅；居住时间，居住；公馆；驻地
rigid	 [ˈrɪdʒɪd]	adj. 	严格的；僵硬的；（规则、方法等）死板的；刚硬的，顽固的
drug	 [drʌg]	n. 	药物；药剂；麻醉药；毒品
		vt. 	（在食物或饮料中）投放麻醉药，下麻醉药；掺麻醉药于；使服麻醉药；使服毒品
		vi. 	使服麻醉药，用药麻醉，使服兴奋剂
Theatre	 [ˈθiətə]	n. 	电影院，戏院；戏剧工作；演戏；手术室
Jurisdiction	 [ˌdʒʊərɪsˈdɪkʃn]	n. 	司法权；管辖权；管辖范围；权限
poured		v. 	涌出( pour的过去式和过去分词 )；倾，倒；涌流；倾泻
vigorous	 [ˈvɪgərəs]	adj. 	有力的；精力充沛的；充满活力的；朝气蓬勃的
applying		v. 	应用( apply的现在分词 )；[apply oneself]使（自己）致力于；[apply oneself]使从事于；使接触
sang	 [sæŋ]	v. 	唱，歌唱( sing的过去式 )；（鸟）鸣；嗡嗡叫；呜呜作响
helpful	 [ˈhelpfl]	adj. 	给予帮助的，有益的；愿意帮忙的
solutions	 [sə'lu:ʃnz]	n. 	(solution的复数形式)解答；解决（办法）；解释；[数]解法，解式；解决( solution的名词复数 )；溶解；溶液；答案
lighted	 [ˈlaɪtɪd]	v. 	点火( light的过去式和过去分词 )；（使）容光焕发；（使）发光；（使）发亮
suggests		v. 	建议( suggest的第三人称单数 )；暗示；使想起；启示
shapes		n. 	情况( shape的名词复数 )；外形；（尤指女子的）身段；假装的形式
		v. 	计划( shape的第三人称单数 )；使（服装）合身；表现；使适合
circuit	 [ˈsɜ:kɪt]	n. 	电路，线路；巡回；唤醒，环形道；〔电〕电流
		vt. 	巡回，周游
glasses	 ['glɑ:sɪz]	n. 	眼镜；双筒望远镜；玻璃( glass的名词复数 )；玻璃杯；玻璃器皿；眼镜
scenes	 ['si:nz]	n. 	景色( scene的名词复数 )；（戏剧的）一场；背景；地点
petitioner	 [pəˈtɪʃənə(r)]	n. 	请求人，请愿人；离婚案原告
eternal	 [ɪˈtɜ:nl]	adj. 	永恒的，永久的；似乎不停的，没完没了的；不朽的；永生的
		n. 	永恒的事物；Eternal 上帝，与定冠词the 连用
SHORTS	 [ʃɔ:ts]	n. 	（从事运动或天气炎热时穿的）短裤；男人的短内裤；电影短片；短裤( short的名词复数 )；短路；缺乏
crystal	 [ˈkrɪstl]	n. 	结晶（体）；晶体；水晶；水晶饰品
		adj. 	水晶的；水晶般的；透明的；清楚的
regulations	 [reɡjʊ'leɪʃnz]	n. 	规程；规章；守则；条例；管理( regulation的名词复数 )；控制；规章；规则
reminded		v. 	使想起( remind的过去式和过去分词 )；提醒
ECUMENICAL	 [ˌi:kju:ˈmenɪkl]	adj. 	一般的，普通的
Samples		 	[人名] 桑普尔斯
commonly	 [ˈkɒmənli]	adv. 	通常地；一般地；平凡地；粗俗地
pressed	 [prest]	adj. 	紧缺的；（食物）压成某种形状的；压平的；金钱（或空间、时间等） 有限
		v. 	按( press的过去式和过去分词 )；逼迫；压榨；使紧贴
perception	 [pəˈsepʃn]	n. 	知觉；觉察（力）；观念；（农作物的）收获
examination	 [ɪgˌzæmɪˈneɪʃn]	n. 	检查；考试；询问，审问
Carleton		 	[人名] [英格兰人、爱尔兰人姓氏] 卡尔顿 Carlton的变体；[地名] [加拿大、美国、英国] 卡尔顿
bronchial	 [ˈbrɒŋkiəl]	adj. 	支气管的
Brannon		 	[人名] 布兰农
category	 [ˈkætəgəri]	n. 	类型，部门，种类，类别，类目；[逻，哲]范畴；体重等级
appointment	 [əˈpɔɪntmənt]	n. 	约会；任命；职务；职位
enthusiasm	 [ɪnˈθju:ziæzəm]	n. 	热情，热忱；热衷的事物；宗教的狂热
newly	 [ˈnju:li]	adv. 	新近，最近；重新，又，再度；以新的方式；乍
innocence	 [ˈɪnəsns]	n. 	清白；天真无邪；无罪的人
meetings	 ['mi:tɪŋz]	n. 	相会( meeting的名词复数 )；聚会；会议；运动会
diplomatic	 [ˌdɪpləˈmætɪk]	adj. 	外交上的；外交人员的；有手腕的；策略的
select	 [sɪˈlekt]	vt. 	选择；挑选；选拔
		adj. 	精选的；挑选出来的；苛择的；〈口〉爱挑三拣四的，挑剔的
Southeast	 [ˌsaʊθ'i:st]	n. 	东南，东南方，（美国）东南部；东南地区
		adv. 	在东南；从东南；向东南；来自东南
		adj. 	东南的；向东南的；位于东南的；东南部的
specified	 ['spesɪfaɪd]	v. 	指定( specify的过去式和过去分词 )；详述；提出…的条件；使具有特性
fraction	 [ˈfrækʃn]	n. 	[数]分数；一小部分，些微；不相连的一块，片段；[化]分馏
municipal	 [mju:ˈnɪsɪpl]	adj. 	市的，市政的；地方自治的；都市的，市营的，市制的；内政的
		n. 	市政债券
protest	 [ˈprəʊtest]	n. 	抗议；反对；申明
		vi. 	抗议；断言
		vt. 	抗议；声明反对；断言
gathering	 [ˈgæðərɪŋ]	n. 	聚集；集会；采集；积累
		v. 	（使）聚集( gather的现在分词)；集合；推断；了解
exclusive	 [ɪkˈsklu:sɪv]	adj. 	专用的；高级的；排外的；单独的
		n. 	独家新闻；专有物；独家经营的产品（或项目、设计等）；排外者
Brooklyn	 [ˈbruklin]	n. 	布鲁克林（美国纽约市西南部的一区）
Irish	 [ˈaɪrɪʃ]	adj. 	爱尔兰的，爱尔（人[语，文化…）的
		n. 	爱尔兰人；爱尔兰语
civic	 [ˈsɪvɪk]	adj. 	城市的；公民的，市民的
encounter	 [ɪnˈkaʊntə(r)]	vt. 	不期而遇；遭遇；对抗
		n. 	相遇，碰见；遭遇战；对决，冲突
		vi. 	碰见，尤指不期而遇
expanding	 [ɪks'pændɪŋ]	adj. 	展开的，扩大的
		v. 	使…变大( expand的现在分词 )；扩大；伸展；伸开
losing	 ['lu:zɪŋ]	adj. 	失败的，输的
		n. 	失败，损失
		v. 	遗失，失去( lose的现在分词 )；（使）失去（所需要的东西，尤指钱）；（因事故、年老、死亡等）损失；浪费
formerly	 [ˈfɔ:məli]	adv. 	原来，原先；以前，从前；刚才；先头
trace	 [treɪs]	vt. 	跟踪，追踪；追溯，探索；探索；查找
		vi. 	沿着一小径或道路前进；可以追溯的
		n. 	痕迹，踪迹；微量，极少量；[植]（脉）迹；痕迹
examined	 [ɪg'zæmɪnd]	v. 	仔细检查( examine的过去式和过去分词 )；考试；审查
enable	 [ɪˈneɪbl]	vt. 	使能够，提供做…的权利[措施]；使可能；授予权利或方法
Roosevelt	 [ˈrəuzəvelt, ˈru:svelt]	 	罗斯福（ 姓氏； Franklin Delano, 1882-1945，于1933-1945任美国第32任总统； Theodore, 1858-1919，于1901-1909任美国第26任总统，曾获1906年诺贝尔和平奖）
Hal		abbr. 	Hardware Abstract Layer 硬件抽象层
		 	[男子名] 哈尔 Henry的昵称
talents	 ['tælənts]	n. 	天资( talent的名词复数 )；天才；人才；（统称）性感的人
African	 [ˈæfrɪkən]	adj. 	非洲的；非洲人的；（非洲）黑人的；来自非洲的
		n. 	非洲人，非洲居民；（非洲）黑人民
Santa	 [ˈsæntə]	 	圣诞老人
dining	 ['daɪnɪŋ]	n. 	进餐
		v. 	吃饭，进餐( dine的现在分词 )；设宴款待，请客
empirical	 [ɪmˈpɪrɪkl]	adj. 	凭经验的；经验主义的；以观察或实验为依据的
freight	 [freɪt]	n. 	货运，货物；运费；船运货物；货运列车
		vt. 	运输；装货于
maintaining	 [meɪn'teɪnɪŋ]	v. 	保持( maintain的现在分词 )；保养；坚持；保卫
designs		n. 	阴谋，诡计；设计( design的名词复数 )；图案；设计艺术
		v. 	设计，绘制( design的第三人称单数 )；设计；计划；企图
marks	 [mɑ:rks]	n. 	痕迹( mark的名词复数 )；记号；（品质或情感的）标志；目标
		v. 	作记号( mark的第三人称单数 )；表示；给…打分；在…留下痕迹
promptly	 [ˈprɒmptli]	adv. 	敏捷地；迅速地；立即地；毫不迟疑
fled	 [fled]	v. 	逃走，逃掉( flee的过去式和过去分词 )；逃离，逃避
upstairs	 [ˌʌpˈsteəz]	adv. 	在楼上，往楼上；在高空
		adj. 	楼上的
		n. 	楼上
dawn	 [dɔ:n]	n. 	黎明，拂晓；开端；醒悟
		vi. 	破晓，（天）刚亮；开始出现；变得明朗
		vt. 	（开始）被理解，被领悟；被看清，被想到
commander	 [kəˈmɑ:ndə(r)]	n. 	指挥官，司令官；[海]中校，副舰长；木槌
communications	 [kəmju:nɪ'keɪʃ(ə)nz]	n. 	通信；交流( communication的名词复数 )；交际；信息；通信工具
quarters	 ['kwɒtə(r)s]	n. 	住处，岗位；人( quarter的名词复数 )；四分之一；（美式足球的）一节；方向
rendered	 ['rendəd]	v. 	使( render的过去式和过去分词 )；放弃；表达；提供（帮助等）
Convention	 [kənˈvenʃn]	n. 	会议；全体与会者；国际公约；惯例，习俗，规矩
surfaces		n. 	面( surface的名词复数 )；水面；外表；（家具的）顶面
offering	 [ˈɒfərɪŋ]	n. 	提议；课程；贡品，祭品；奉献物
		v. 	提供(offer的ing形式)
voluntary	 [ˈvɒləntri]	adj. 	自愿的，自发的；志愿的；故意的，有意的；[法]无偿的
		n. 	自愿者；自愿行动；即兴演奏，自选节目；自愿地做的工作
tons	 [tʌnz]	adv. 	非常
		n. 	吨（ ton的名词复数 ）；大量；许多；（尤指）每小时 100 英里的速度
