planned	 [plænd]	adj. 	计划了的，根据计划的
hat	 [hæt]	n. 	帽子；（帽子所表示的）职位，职务
		vt. 	给…戴上帽子，为…提供帽子
		vi. 	供应帽子；制造帽子
ruin	 [ˈru:ɪn]	vt. 	破坏，毁灭；使破产；使没落，使堕落；变成废墟
		n. 	毁灭，灭亡；废墟，遗迹；[灭亡]的原因，祸根；损失
		vi. 	被毁灭；破产；堕落
depend	 [dɪˈpend]	vi. 	依靠；依赖；信赖；决定于
stands		n. 	看台；台( stand的名词复数 )；看台；停止；抵抗
		v. 	坐落( stand的第三人称单数 )；维持原状；停着；处于某种状态
signs		n. 	手势( sign的名词复数 )；[医学]征；标记；招牌
families	 ['fæməlɪz]	n. 	家( family的名词复数 )；家族；（大）家庭（包括父母子女及近亲）；语族
stir	 [stɜ:(r)]	vt.& vi. 	（使）移动；搅拌；（使）行动；（使）微动
		vt. 	使打起精神；使奋起；叫醒；唤起
		vi. 	苏醒；奋起；传播；发生
		n. 	搅动；骚乱；激动；微动
Khrushchev	 [kruʃˈtʃɔ:f]	n. 	赫鲁晓夫（前苏共第一书记）
largely	 [ˈlɑ:dʒli]	adv. 	大部分地，主要地；大规模地；丰富地
punish	 [ˈpʌnɪʃ]	v. 	处罚；严厉对付；贪婪地吃喝
drew	 [dru:]	v. 	绘画( draw的过去式 )；拖；拉；拔出
breathe	 [bri:ð]	vi. 	呼吸；活着，生存；小憩一会儿，歇歇气；散发香气
		vt. 	呼吸；吸进（如香气）；尤指平静地吐露，低语；使…明显的，暗示
amuse	 [əˈmju:z]	vt. 	使人发笑；逗乐；使消遣；娱乐
characteristic	 [ˌkærəktəˈrɪstɪk]	adj. 	特有的；独特的；表示特性的；显示…的特征的
		n. 	特性，特征，特色，[数]（对数的）首数；独特性；性质
electronic	 [ɪˌlekˈtrɒnɪk]	adj. 	电子的；电子操纵的；用电子设备生产的；用电子设备完成的
pale	 [peɪl]	adj. 	苍白的；无力的；暗淡的；浅色的
		vi. 	变得苍白；失色；变得暗淡
		vt. 	用栅栏围；使失色；使变苍白
		n. 	栅栏，围篱；桩；境界，范围
pictures	 ['pɪktʃəz]	n. 	（过时）电影院； 电影业；影片( picture的名词复数 )；情况；图画；（生动的）描述
		v. 	绘画( picture的第三人称单数 )；描绘；想像；设想
destroy	 [dɪˈstrɔɪ]	vt. 	破坏，摧毁；消灭，歼灭（敌人）；杀死；使失败
expense	 [ɪkˈspens]	n. 	费用；花费的钱；消耗；花钱的东西
		vt. 	向…收取费用；把…作为开支勾销
somebody	 [ˈsʌmbədi]	pron. 	某人，有人
		n. 	大人物，重要的人物
completion	 [kəmˈpli:ʃn]	n. 	完成，结束；实现；[数]求全法；期满
disappoint	 [ˌdɪsəˈpɔɪnt]	vt. 	使失望；使破灭，使落空
		vi. 	使失望
fifty	 [ˈfɪfti]	n. 	五十个人；五十岁；五十年代；编号为五十的东西
		num. 	五十；五十个
		adj. 	五十的；五十个的；许多的
found	 [faʊnd]	vt. 	创办，成立，建立
		v. 	发现( find的过去式)；找到；到达；发觉
		n. 	不另外收费的供应品[服务等]，（工资以外）另行供给的膳食[住宿等]
		adj. 	（文艺作品等）找到的，拾得的，拣到的，自然形态的；〈英〉（对房客等）不另加费供应的，已包括在价款[租金等]之内的
soil	 [sɔɪl]	n. 	泥土；土地，国土；滋生地，温床；粪尿，肥料
		vt. 	弄脏，污辱；给…上粪（施肥）；被弄脏，变脏；用青草饲料喂养（牲口）
		vi. 	变脏、受污染或玷污的；变脏
flame	 [fleɪm]	n. 	火焰；热情，激情；〈俚〉爱人，情人；激动
		vi. 	燃烧，发出火焰；面红；闪光
		vt. 	烧；激起，激怒
enjoy	 [ɪnˈdʒɔɪ]	vt. 	享有，享受；欣赏；喜欢；使过得快活
		vi. 	使过得快活
bless	 [bles]	vt. 	祝福；保佑；赞美；为…祈福
emotional	 [ɪˈməʊʃənl]	adj. 	表现强烈情感的；令人动情的；易动感情的；感情脆弱的
promise	 [ˈprɒmɪs]	vt. 	允诺，许诺；给人以…的指望或希望
		vi. 	许诺；有指望，有前途
		n. 	许诺；希望，指望；允诺的东西
wave	 [weɪv]	n. 	波浪，波动；挥手；涌现的人（或事物）；汹涌的行动（或思想）态势
		vi. 	摇摆，起伏
		vt.& vi. 	（一端固定地）飘扬；挥手指引；挥动…示意；略呈波形
		vt. 	挥手表示；挥舞；使…略呈波形；烫（发）
commerce	 [ˈkɒmɜ:s]	n. 	商业；商务；贸易
Jury		 	[人名] [英格兰人姓氏] 朱里住所名称，来源于中世纪英语、古法语，含义是“犹太人居住区”(Jewish quarter)，多指住在犹太人居住区的非犹太人，而不指犹太人
bay	 [beɪ]	n. 	湾，海湾；犬吠声；月桂树；吊窗，凸窗
		vi. 	（尤指猎犬等）吠，叫，咆哮；筑堤遏（水）；穷追，使陷入绝境；阻止（敌人）不使前进
		adj. 	赤褐色的，栗色的
		vt. 	向…吠叫
tempt	 [tempt]	vt. 	引诱，怂恿；吸引；冒…的风险；使感兴趣
		vi. 	有吸引力
correct	 [kəˈrekt]	adj. 	正确的；合适的；符合公认准则的；得体的
		v. 	改正；批改；指出错误
asking	 [ˈɑ:skɪŋ]	n. 	问；寻问；请求；要求
		v. 	问（ ask的现在分词 ）；询问；要求；请求
content	 ['kɒntent]	n. 	内容；（书等的）目录；满足；容量
		adj. 	满足的，满意的；愿意的；心甘情愿的
		vt. 	使满足，使满意
estimated	 ['estɪmetɪd]	adj. 	估计的；预计的；估算的
		v. 	估计，评价，评估( estimate的过去式和过去分词 )；（粗略）估计（…的距离、价值、数目、大小、重量、费用等），估量，预算
conscious	 [ˈkɒnʃəs]	adj. 	有意识的，神志清醒的；自觉的，有意的；（痛苦，感情，冷气等）感觉得到的；同“self-conscious“
shine	 [ʃaɪn]	vi. 	发出光；反射光，闪耀；出类拔萃，表现突出；露出
		vt. 	照射，把光射后；〈口〉通过擦拭使…变得有光泽或光亮
		n. 	光亮，光泽；好天气；擦皮鞋；鬼把戏或诡计
teaching	 [ˈti:tʃɪŋ]	n. 	教学；教义；所教的东西；学说
		adj. 	教学的；教导的
		v. 	教( teach的现在分词)；教书；训练；教育
catch	 [kætʃ]	vt. 	赶上；接住；引起；看见
		vt.& vi. 	（使）被钩住，（使）被卡住
		n. 	抓；隐情；捕获量；挂钩
		vi. 	锁住；着火；[棒球]当接球手
		adj. 	迷惑人的；令人容易上当的；引人注目的；令人感兴趣的
dish	 [dɪʃ]	n. 	盘；餐具；一盘食物；外貌有吸引力的人
		vt. 	盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
		vi. 	成碟状
Saturday	 [ˈsætədeɪ]	n. 	星期六，周六
greet	 [gri:t]	vt. 	欢迎，迎接；致敬，致意；（景象，声音等）映入眼帘
background	 [ˈbækgraʊnd]	n. 	（画等的）背景；底色；背景资料；配乐
flood	 [flʌd]	n. 	洪水；泛滥；溢流；探照灯
		vi. 	涌出；为水淹没
		vt. 	淹没
insect	 [ˈɪnsekt]	n. 	虫，昆虫；卑鄙的人；微贱的人，小人
		adj. 	昆虫的；卑劣的
worse	 [wɜ:s]	adj. 	更坏的；恶化的；更厉害的；严重的( bad,ill,badly的比较级)
		adv. 	更坏地，更糟地；（程度上）更…
		n. 	更坏的事物
yellow	 [ˈjeləʊ]	adj. 	黄色的；黄皮肤的；黄种人的；胆怯的
		vt.& vi. 	（使某物）变黄或发黄
		n. 	黄色；黄种人；黄色颜料
occurred	 [ə'kɜ:d]	v. 	发生(occur 的过去分词)
afraid	 [əˈfreɪd]	adj. 	害怕的；担心的；恐怕；畏惧，害怕
ceremony	 [ˈserəməni]	n. 	典礼，仪式；礼仪，礼节；虚礼，客气
decrease	 [dɪˈkri:s]	n. 	减少，减小；减少量
		vi.&vt. 	减少，减小
trust	 [trʌst]	n. 	信任；信托；照管；受托基金机构
		vt.& vi. 	相信， 信任
		vt. 	对…有信心，依赖于；盼望，自信地期待，设想；相信；让他人照管，托管
yourself	 [jɔ:ˈself]	pron. 	你自己；（用以加强语气）亲自；你的正常或健康的情况
legs	 ['leɡz]	n. 	木头支架；腿( leg的名词复数 )；（与同一对手进行的比赛中的）一场；裤腿；腿肉
communication	 [kəˌmju:nɪˈkeɪʃn]	n. 	通讯，通信；交流；书信；传达
describe	 [dɪˈskraɪb]	vt. 	描写，形容；叙述；描绘，作图；（行星等）周转
sincere	 [sɪnˈsɪə(r)]	adj. 	真诚的，诚挚的；〈古〉纯粹的，不掺假的；真心实意的；真实的
decide	 [dɪˈsaɪd]	vt. 	决定；决心；解决；裁决
		vi. 	决定；下决心
leaf	 [li:f]	n. 	叶子；页；叶状的结构；金属薄片
		vt.& vi. 	翻书（报）
		vi. 	生叶
encourage	 [ɪnˈkʌrɪdʒ]	vt. 	鼓励，鼓舞；支持；促进；鼓动
rub	 [rʌb]	vt. 	擦，摩擦；用…擦；触怒；（使）相互磨擦
		vi. 	接触，摩擦；擦伤；在困境中持续下去
		n. 	摩擦的动作；表面不平；阻碍，困难
declared	 [dɪˈkleəd]	adj. 	公告的，公然的
		v. 	宣布( declare的过去式和过去分词 )；断言；申报（收益）；板球（在击球员还未全部出局时）宣布结束赛局
cry	 [kraɪ]	vt.& vi. 	哭；喊，叫
		vt. 	哭着说；叫卖；大声报道
		n. 	哭；叫喊；要求；大喊
		vi. 	鸣；啼叫；嗥叫；吠
bite	 [baɪt]	vt.& vi. 	咬；叮
		n. 	咬；咬伤；疼痛；受骗
		vi. 	刺痛；咬饵；有咬（或叮）的习性；（人）上当
		vt. 	（辣椒，胡椒等）刺激；（齿轮，螺丝，钳子，锚等）咬住；（利器等）刺进；（寒风等）刺骨
		abbr. 	机内测试设备(Built-In Test Equipment)
July	 [dʒuˈlaɪ]	n. 	七月
lung	 [lʌŋ]	n. 	肺；呼吸器官；[医]辅助呼吸的装置；〈英〉可供呼吸新鲜空气的地方
significance	 [sɪgˈnɪfɪkəns]	n. 	意义；意思；重要性
helped		v. 	帮助( help的过去式和过去分词 )；有助于，有利于；治疗；避免
gross	 [grəʊs]	adj. 	总的；粗俗的；显而易见的；恶劣的
		n. 	总额
		vt. 	总共收入
apart	 [əˈpɑ:t]	adv. 	相隔，相距；分散地，分开地；成部分，成碎片；分辨
		adj. 	分离的，隔离的
disease	 [dɪˈzi:z]	n. 	疾病；弊端；不安
		vt. 	传染；使…有病
issues	 ['ɪʃju:z]	n. 	（水等的）流出( issue的名词复数 )；出口；放出；（特别重要或大众关注的）问题
		v. 	出版( issue的第三人称单数 )；发表；宣布；分配
scratch	 [skrætʃ]	vt. 	擦，刮；擦痛，擦伤；在…处搔痒；抓破
		vi. 	发出刮擦声；擦红，擦伤；搔痒；抓，扒
		n. 	擦，刮；刮擦声；搔痕；乱写乱画
		adj. 	打草稿用的，随便写用的；碰巧的，侥幸的；东拼西凑的；平等比赛的
dictionary	 [ˈdɪkʃənri]	n. 	词典，字典；[自]代码字典
risk	 [rɪsk]	n. 	危险，冒险；保险额；被保险人或物
		vt. 	冒…的危险；使…冒风险（或面临危险）
broadcast	 [ˈbrɔ:dkɑ:st]	vt. 	广播；播放；使广为人知；尤指用手播（种）
		vi. 	播放节目；参加电台、电视节目的演出；发送传递信号，传播
		n. 	广播；电台、电视节目；播放时间；播种
		adj. 	广播的；播音的；广泛散布的
drum	 [drʌm]	n. 	鼓；鼓状物；鼓声；石首鱼
		vt. 	击鼓；连打；反复讲；鼓吹
		vi. 	击鼓；连打；拍翅
representative	 [ˌreprɪˈzentətɪv]	n. 	代表；继任者；议员；类似物
		adj. 	典型的；有代表性的；代议制的；相当[类似]（另一种属）的
uncle	 [ˈʌŋkl]	n. 	叔叔；伯父；舅父；姑父，姨父
cutting	 [ˈkʌtɪŋ]	adj. 	锋利的，锐利的；刺骨的，像刀割似的；讽刺的，挖苦的
		n. 	切割；剪报，剪辑；[园]插枝；开凿
		v. 	切开(cut的现在分词)；削减；采伐
Jesus	 [ˈdʒi:zəs]	n. 	耶稣；杰西（男子名）；[电影]耶稣传
		int. 	天哪
neglect	 [nɪˈglekt]	vt. 	疏忽；忽略；遗漏；疏于照顾
		n. 	玩忽；被忽略的状态；怠慢
depth	 [depθ]	n. 	深度；深处，深海；深奥，奥妙；进深
substantial	 [səbˈstænʃl]	adj. 	大量的；结实的，牢固的；重大的
		n. 	本质；重要材料
GETS	 ['ɡets]	abbr. 	generalized electronic trouble shooting 通用电子故障分析（排除）技术；global electronic transaction system 全球电子交易系统
adventure	 [ədˈventʃə(r)]	n. 	冒险活动；冒险经历；奇遇
beg	 [beg]	vt.& vi. 	乞讨；恳求（原谅）；回避（问题）
entrance	 [ˈentrəns]	n. 	入口，进口；进入；进入方法，进入方式；入场权
		vt. 	使出神，使入迷；使喜悦，使狂喜
plays		v. 	演奏( play的第三人称单数 )；演出；参加比赛；捉弄
throw	 [θrəʊ]	vi. 	投掷；丢；抛
		n. 	投掷的距离；丢
		vt. 	掷（色子）；抛；猛动（头、臂、腿）；使处于，使限于
ends	 ['endz]	n. 	结果( end的名词复数 )；端；终止；最后部分
		v. 	结束，终止( end的第三人称单数 )
Arts	 [arts]	n. 	文科；艺术( art的名词复数 )；艺术作品；（需要技术、工艺的）行业；文艺（包括绘画、雕塑、建筑、音乐、舞蹈、戏剧、文学等）
alive	 [əˈlaɪv]	adj. 	活着的；活泼的；有生气的；敏感的
confidence	 [ˈkɒnfɪdəns]	n. 	信心；信任；秘密
		adj. 	骗得信任的；欺诈的
intellectual	 [ˌɪntəˈlektʃuəl]	adj. 	智力的；有才智的；需用智力的；智力发达的
		n. 	知识分子；脑力劳动者；有极高智力的人；凭理智（而非感情）办事的人
cheer	 [tʃɪə(r)]	vt. 	欢呼；使高兴；为…喝彩；为…加油
		n. 	欢呼，喝彩；兴致勃勃，愉快；心情；令人愉快的事
		vi. 	欢呼；感到高兴
properties	 [p'rɒpətɪz]	n. 	房地产(property的名词复数)；财产；所有权；特性
experiments		n. 	实验( experiment的名词复数 )；试验；尝试；实践
nut	 [nʌt]	n. 	螺母，螺帽；坚果，坚果果仁；难对付的人；[乐]弓根
		v. 	采坚果；拾坚果
plenty	 [ˈplenti]	n. 	丰富，大量；充足，充裕，充分
		adv. 	相当地，充分地；（口）十分，充分
		adj. 	足够的，很多的，充裕的；很多的
beneath	 [bɪˈni:θ]	prep. 	在…的下方；（表示等级）低于；（表示状态）在…掩饰之下；（表示环境）在…影响之下
		adv. 	在下面；在底下
closely	 ['kləʊslɪ]	adv. 	接近地；紧密地；严密地；亲近地
description	 [dɪˈskrɪpʃn]	n. 	描述；形容；种类；类型
melt	 [melt]	vi. 	熔化，溶解；逐渐融合；逐渐消失；感动，软化，感情上变得温和
		vt. 	熔化，溶解；使混合在一起；逐渐消散；使变得温和或温柔
swear	 [sweə(r)]	v. 	发誓；咒骂
		n. 	发誓，宣誓；咒骂
tall	 [tɔ:l]	adj. 	身材高的，高大的；（数量）大的；（俚）过分的，夸张的
		adv. 	夸大地；趾高气扬地
loose	 [lu:s]	adj. 	松的，宽的；模糊的；散漫的；自由的
		vt. 	释放；不受约束地表达；松开；射出（子弹、箭等）
		vi. 	变得松散；发射导弹；开火
		adv. 	散漫地
		n. 	解放；放任；发射
area	 [ˈeəriə]	n. 	地区；区域，范围；面积，平地；领域
bury	 [ˈberi]	vt. 	埋葬，葬；为…举行葬礼；隐藏，埋藏，遮盖，掩蔽；专心致志于，埋头于，沉溺于
		n. 	布里
measured	 [ˈmeʒəd]	adj. 	仔细斟酌的，慎重的；缓慢而又有节奏的
		v. 	量( measure的过去式和过去分词 )；测量；衡量；量出
request	 [rɪˈkwest]	n. 	要求；需要；所请求的事物；申请书
		vt. 	（下级对上级的）请求；请求得到；索取；邀请[常接不定式或从句]
ourselves	 [ɑ:ˈselvz]	pron. 	“myself”的复数；我们自己；（把）我们自己
stream	 [stri:m]	n. 	河流，小河，川，溪；潮流，趋势，倾向；（事件等的）连续，（财富等的）滚滚而来；流出，流注，一连串
		vt.& vi. 	流，流动
		vi. 	飘扬；招展；鱼贯而行；一个接一个地移动
		vt. 	按能力分班（或分组）；按能力分班（或分组）
wipe	 [waɪp]	vt. 	擦，拭；擦去，消除；涂上；刷卡
		n. 	擦，拭；抹布，毛巾；用力打
		vi. 	擦，抹；打，揍
band	 [bænd]	n. 	带；乐队；衣带；价值
		vt. 	给…镶边；用带绑扎；（将价格、收入等）划分档次；把…联合起来
		vt.& vi. 	结合起来，伙同
		vi. 	聚集，联合（起来）（通常与together 连用）
fingers	 ['fɪŋɡəz]	n. 	手指( finger的名词复数 )；指状物；指幅；（手套的）指部
creature	 [ˈkri:tʃə(r)]	n. 	生物，动物；人；创造物；（他人的）工具
Hanover		 	[地名] [加拿大、美国、南非共和国、苏里南] 汉诺威；[地名] [德国] 汉诺威
attorney	 [əˈtɜ:ni]	n. 	代理人；律师
load	 [ləʊd]	n. 	负荷；负担；装载；工作量
		vt. 	使担负；装填；把…装入或装上；装满，堆积
		vi. 	加载；装载；装货
passing	 [ˈpɑ:sɪŋ]	adj. 	经过的，路过的；短暂的；及格的；正在发生的
		adv. 	非常地；无以伦比地
		n. 	经过，通过；经过之处，通过的手段；死亡
		v. 	走过( pass的现在分词)
billion	 [ˈbɪljən]	n. 	十亿；数以十亿计；大量；一万亿
		adj. 	（法美）十亿的；（英德）万亿的；无数的
earnest	 [ˈɜ:nɪst]	adj. 	热心的；诚挚的，真挚的；重要的
		n. 	热心；认真；定钱，保证金；诚挚
discussed	 [dɪs'kʌst]	v. 	谈论( discuss的过去式和过去分词 )；讨论；商量；论述
translate	 [trænsˈleɪt]	vt.& vi. 	翻译；解释；转化；被翻译
achievement	 [əˈtʃi:vmənt]	n. 	完成，达到；成就，成绩
headquarters	 [ˌhedˈkwɔ:təz]	n. 	（机构，企业等的）总部；总店；司令部；指挥部
inquiry	 [ɪn'kwaɪərɪ]	n. 	调查，审查；询问，质问，质询，追究；探究；打听
rapidly	 ['ræpɪdlɪ]	adv. 	很快地，迅速地；立即
express	 [ɪkˈspres]	vt. 	表达；快递
		adj. 	明确的；迅速的；专门的
		n. 	快车；快车；专使；捷运公司
		adv. 	乘快车；用快递方式
hesitate	 [ˈhezɪteɪt]	vi. 	犹豫，踌躇；不愿；支吾；停顿
		vt. 	对…犹豫；不情愿
guard	 [gɑ:d]	n. 	警卫；狱吏，看守；护卫队；防护装置
		vt. 	保卫，守护；看守；加防护装置；谨慎使用
		vi. 	警惕；警卫
jobs	 [d'ʒɒbz]	n. 	（一件）工作( job的名词复数 )；职责；职业；（作为一个单元处理的）作业
borrow	 [ˈbɒrəʊ]	vt.& vi. 	借入；借钱，借用；[数]由上位借；抄袭
		n. 	借，借用；担保物，抵押；[英史]什一税
owe	 [əʊ]	vt. 	欠…债；感激；应归功于；怀有情感
Phil		n. 	菲尔(Philip的昵称)(m.)
		 	[男子名] 菲尔 Philip的昵称
California	 [ˌkælɪ'fɔ:njə, -'fɔ:ni:ə]	n. 	美国加州
ambition	 [æmˈbɪʃn]	n. 	抱负；渴望得到的东西；追求的目标；夙愿
		vt. 	追求；有…野心
supposed	 [səˈpəʊzd]	adj. 	（按规定、法律、协议等）（不）应当；假定的；（只用于否定句）不准；（对某人所说的话表示气愤或不大理解）那是什么意思
		v. 	料想( suppose的过去式和过去分词)；意味着；[用于被动语态]认为应该；[用于祈使句]让
lake	 [leɪk]	n. 	湖；深红色颜料；胭脂红；[化]色淀
		vt.&vi. 	血球溶解；使（血液）发生血球溶解
slope	 [sləʊp]	n. 	斜坡；斜面；倾斜；斜率
		vi. 	倾斜；有斜度；悄悄地走；潜行
		vt. 	使倾斜
Typical	 [ˈtɪpɪkl]	adj. 	典型的；特有的或特别的；代表性的
spite	 [spaɪt]	n. 	恶意；怨恨；恶事
		vt. 	向…表示恶意；欺负；刁难；泄愤
wore	 [wɔ:(r)]	v. 	穿着( wear的过去式 )；磨成；使疲乏；同意
dear	 [dɪə(r)]	adj. 	亲爱的；敬爱的；昂贵的；严厉的
		n. 	亲爱的人；宠物
		int. 	哎
		adv. 	高价地；疼爱地；贵
employees	 [ˌemplɔɪ'i:]	n. 	雇工，雇员( employee的名词复数 )
map	 [mæp]	n. 	地图，天体图；类似地图的事物；〈美俚〉脸，面孔；（染色体上基因排列的）遗传图
		vt. 	绘制（一地区等的）地图；勘查；详细规划；[遗传学]比对
pair	 [peə(r)]	n. 	一副；一对男女；套在一起的两匹马；雌雄成对的动物
		vt.& vi. 	（使…）成对，（使…）成双
		vi. 	交配，交尾
spin	 [spɪn]	vi. 	纺纱；吐（丝），作（茧），结网；快速旋转；眩晕
		vt. 	纺（线）；吐丝，将…抽成丝；讲述，尤指通过想象地；使延长，使延伸
		n. 	旋转的行为；快速的旋运动；眩晕；疾驰
praise	 [preɪz]	n. 	赞扬，称赞；崇拜；赞词
		v. 	赞扬，赞美；歌颂；崇拜
imagination	 [ɪˌmædʒɪˈneɪʃn]	n. 	想像，想像力；空想，妄想；想像出来的事物
hung	 [hʌŋ]	v. 	悬( hang的过去式和过去分词 )；（被）绞死；贴；逗留
instrument	 [ˈɪnstrəmənt]	n. 	仪器；手段，工具；乐器；法律文件
		vt. 	用仪器装备；为演奏谱曲；向…提交文书
plow	 [plaʊ]	n. 	犁；犁型铲雪机
		v. 	耕；犁耕；费力穿过
holding	 [ˈhəʊldɪŋ]	n. 	佃户租种的土地；所有物（如土地、债券、股份等）；私有财产；（因其热情、精力或决心等）阻拦不住某人
		v. 	拿( hold的现在分词)；认为；包含；容纳
objects	 ['ɒbjekts]	n. 	物体( object的名词复数 )；目标；宾语；实体
		v. 	不赞成( object的第三人称单数 )；抗议；拒绝接受；抱反感
straighten	 [ˈstreɪtn]	vt.& vi. 	变直，把…弄直；整理，整顿；使…改正；使…好转
		vi. 	变好起来
dominant	 [ˈdɒmɪnənt]	adj. 	占优势的；统治的，支配的；[生]显性的；高耸的
		n. 	[生]显性性状，显性基因；优势物种；[乐]全阶第五音；主因，要素
scarce	 [skeəs]	adj. 	缺乏的，罕见的
		adv. 	勉强；仅仅；几乎不；简直不
ring	 [rɪŋ]	n. 	戒指，指环；铃声，钟声；环形物；拳击场
		vt. 	形成环状；环绕；使（例如铃）响；打电话给
		vi. 	按铃，敲钟；回响；成环形
matters	 ['mætəz]	n. 	物质( matter的名词复数 )；（讨论、考虑等的）问题；重要性；事件
		v. 	要紧( matter的第三人称单数 )；化脓；有重大影响；有重要性
creep	 [kri:p]	vi. 	爬行，匍匐；缓慢地行进
		n. 	爬行，蠕动；虫爬着似的感觉，毛骨悚然；卑鄙小人，谄媚者
plain	 [pleɪn]	n. 	平原；平地；[纺织业]平针；朴实无华的东西
		adj. 	平的；素的；清晰的；相貌平平的
		adv. 	清楚地，明白地；平易地；[用以加强语气]显然；完全地
		vi. 	发牢骚；诉苦
resolution	 [ˌrezəˈlu:ʃn]	n. 	决心；解决；坚决；分辨率
credit	 [ˈkredɪt]	n. 	信誉，信用；[金融]贷款；荣誉；学分
		vt. 	相信，信任；归功于；[会]记入贷方；赞颂
period	 [ˈpɪəriəd]	n. 	时期；（一段）时间；学时；句号
		adj. 	具有某个时代特征的；（关于）过去某一特定历史时期的；（家具、服饰、建筑等）某一时代的
improve	 [ɪmˈpru:v]	vt. 	提高（土地、地产）的价值；利用（机会）；改善，改良
		vi. 	变得更好；改进，改善
maintenance	 [ˈmeɪntənəns]	n. 	维持，保持；保养，保管；维护；维修
seize	 [si:z]	vt.& vi. 	抓住；逮捕；捉拿；俘获
		vt. 	夺取；占领；起获；没收
Laos	 [laʊs]	n. 	老挝国（东南亚国家）；老挝人，老挝语( Lao的名词复数 )
dozen	 [ˈdʌzn]	n. 	（一）打，十二个
		adj. 	一打的
located	 [ləʊˈkeɪtɪd]	adj. 	坐落的，位于的
		vt. 	位于(locate的过去式和过去分词)
dig	 [dɪg]	vt. 	（如用铲、锨或推土机等）挖掘；探究，发掘；刺，戳；喜欢，欣赏
		vi. 	挖掘，松土；整理；〈俚〉已理解
		n. 	一拳，一推；挖苦，讽刺；考古发掘
towards	 [təˈwɔ:dz]	prep. 	朝，向；对于；接近；为了
curse	 [kɜ:s]	vt.& vi. 	诅咒；咒骂；使苦恼，使困苦；把（某人）逐出教门
		n. 	诅咒；咒语；祸害，祸因；咒逐，逐出教门
major	 [ˈmeɪdʒə(r)]	adj. 	主要的；重要的；大调的；主修的（课程）
		n. 	主修科目；大调；陆军少校；成年的
		vi. 	主修，专攻；[美国英语][教育学]主修(in)；专攻
breath	 [breθ]	n. 	呼吸；一口气；呼吸力；微量
weigh	 [weɪ]	vt. 	称…的重量；权衡，考虑；用手掂估；使吃重
		vi. 	具有重要性；重量为；起锚；成为…的重荷
		n. 	权衡；称重量
comfort	 [ˈkʌmfət]	n. 	安慰；舒适；使人舒服的事物；给予援助或安慰的人或事
		vt. 	安慰，使舒适；使（痛苦等）缓和
federal	 [ˈfedərəl]	adj. 	联邦（制）的；同盟的
		n. 	联邦主义者；同盟盟友
guests		n. 	客人；来宾；旅客 vt.招待；款待 vi.作客；客人( guest的名词复数 )；旅客；特邀嘉宾；[动物学]客虫
priest	 [pri:st]	n. 	神父，牧师；司铎，司祭；领导者；神甫
		vt. 	使成为神职人员
sell	 [sel]	vt.& vi. 	卖，售；使好卖；使接受，使赞成；销售
		vt. 	经销；推销；出卖；欺骗
		n. 	销售；欺骗；失望；推销术
		vi. 	卖；出售；受欢迎；有销路
bodies		n. 	身体( body的名词复数 )；尸体；团体；物体
female	 [ˈfi:meɪl]	adj. 	女性的；雌性的；能结果实的；电气设备阴的
		n. 	女人；雌性动物；雌性植物，雌株
primarily	 [praɪˈmerəli]	adv. 	首先；首要地，主要地；根本上；本来
cousin	 [ˈkʌzn]	n. 	堂[表]兄弟姊妹；远亲，同辈
grew	 [gru:]	v. 	种植( grow的过去式 )；扩大；扩展；增加
spiritual	 [ˈspɪrɪtʃuəl]	adj. 	精神的；心灵的；高尚的，崇高的；宗教的
		n. 	圣歌（尤指美国南部黑人的）；教会事物
dine	 [daɪn]	vi. 	吃饭，进餐
		vt. 	设宴款待，请客
engine	 [ˈendʒɪn]	n. 	发动机，引擎；工具；火车头；机车
		vt. 	给…安装发动机
politician	 [ˌpɒləˈtɪʃn]	n. 	政治家；政客，玩弄权术者；政客，政治贩
custom	 [ˈkʌstəm]	n. 	习惯，惯例；海关，关税；经常光顾；[总称]（经常性的）顾客
		adj. 	（衣服等）定做的，定制的
educate	 [ˈedʒukeɪt]	vt.& vi. 	教育，教导；训练，培养
		vt. 	使理解或接受
individual	 [ˌɪndɪˈvɪdʒuəl]	adj. 	个人的；独特的；个别的
		n. 	个人；个体
job	 [dʒɒb]	n. 	（一件）工作；职责；职业；（作为一个单元处理的）作业
		vt. 	承包；代客买卖
		vi. 	做零工；作包工；打杂
Tom	 [tɒm]	n. 	汤姆 （男子名，系 Thomas 之昵称）
		 	[男子名] 汤姆 Thomas的昵称
cook	 [kʊk]	vt.& vi. 	烹调；编造；篡改；密谋
		vt. 	烹调；煮
		vi. 	烹调；做菜
		n. 	厨师；厨子
grass	 [grɑ:s]	n. 	草，青草；草地，草坪；告密者；〈俚〉龙须菜
		vt. 	用草覆盖；使…长满草；使…吃草
		vi. 	渐渐被草覆盖；放牧
mail	 [meɪl]	n. 	邮件，邮政；邮政（制度）；邮务员，邮递员；〈古〉袋，旅行包
		vt. 	邮寄；给…穿盔甲
		vi. 	投邮
salesman	 [ˈseɪlzmən]	n. 	推销员；售货员，店员
nail	 [neɪl]	n. 	钉子；指甲，趾甲；钉状物；纳尔
		vt. 	钉住；抓住；使固定；揭露
tap	 [tæp]	vt. 	开发；（从容器等）汲取（液体）；割[打]开…取[放]液体
		vi. 	轻声走；跳踢踏舞
		n. 	龙头，阀门；塞子；电话窃听；（补鞋的）掌子
