sponsor	 [ˈspɒnsə(r)]	n. 	发起者，主办者；担保者；倡议者，提案人；后援组织
El		 	[地名] 井、水洼（索马里语）；[电影]奇异的激情
stake	 [steɪk]	n. 	桩；刑柱；股份；（在公司、计划等中的）重大利益
		vt. 	用桩支撑；以…下注[打赌]；用桩区分，界分
February	 [ˈfebruəri]	n. 	二月
underlying	 [ˌʌndəˈlaɪɪŋ]	adj. 	潜在的，含蓄的；基础的；表面下的，下层的；[法]优先的
		v. 	优先于(underlie的ing形式)；构成…的基础（或起因），引起
observers	 [əb'zɜ:vəz]	n. 	观察者( observer的名词复数 )；遵守者；观测者；目击者
grants	 [ɡ'rɑ:nts]	n. 	（来自私人或公共授予机构的）基金( grant的名词复数 )；补助金；授给物（如财产、授地、专有权、补助、拨款等）
		v. 	（退一步）承认( grant的第三人称单数 )；（尤指正式地或法律上）同意；准许；让渡
illness	 [ˈɪlnəs]	n. 	疾病；某种具体疾病；不健康
hospitals	 ['hɒspɪtlz]	n. 	医院( hospital的名词复数 )
confirmed	 [kənˈfɜ:md]	adj. 	确认的；坚定的；根深蒂固的
		v. 	批准(confirm的过去式和过去分词)；证实
ad	 [æd]	n. 	广告；网球中的优势分advantage. ad in
alliance	 [əˈlaɪəns]	n. 	（国家、政党等的）结盟，同盟，联盟，联合；联姻；同盟条约；同盟者
submarines	 ['sʌbməri:nz]	n. 	潜艇( submarine的名词复数 )；submarine sandwich潜艇三明治，长卷三明治（用长卷面包纵向切开，内夹各种食物）
disposal	 [dɪˈspəʊzl]	n. 	（事情的）处置；（自由）处置权；清理；排列
		adj. 	处理（或置放）废品的
dominated	 ['dɒmɪneɪtɪd]	adj. 	受控的
		v. 	控制( dominate的过去式和过去分词 )；在…中占首要地位；在…中具有最重要（或明显）的特色；在…中拥有最重要的位置
intervention	 [ˌɪntə'venʃn]	n. 	介入，干涉，干预；调解，排解
negotiations	 [nɪɡəʊʃ'ɪeɪʃnz]	n. 	协商( negotiation的名词复数 )；谈判；完成（难事）；通过
sailing	 [ˈseɪlɪŋ]	n. 	帆船运动；（乘帆船的）航行；（轮船的）航班
		v. 	驾驶( sail的现在分词)；起航；坐船旅行；掠
		adj. 	航行的
residents	 ['rezɪdənts]	n. 	居民( resident的名词复数 )；（旅馆的）住宿者
bet	 [bet]	n. 	打赌，赌博，赌注；被下赌注的对象；可能性
		vi. 	当然，的确；打赌(on,against,with)
		vt. 	赌博；与…打赌；下赌注；确信
conditioned	 [kən'dɪʃənd]	adj. 	有条件的，习惯于…的
greeted	 [ɡ'ri:tɪd]	v. 	欢迎( greet的过去式和过去分词 )；迎接；致意；（以某种方式）对…作出反应
basically	 [ˈbeɪsɪkli]	adv. 	主要地；从根本上说；基本，基本上；总的说来
expanded	 [ɪks'pændɪd]	adj. 	膨胀的；扩大[张]的；延伸的；展[张]开的
		v. 	使…变大( expand的过去式和过去分词 )；扩大；伸展；伸开
Manhattan	 [mæn'hætn]	 	曼哈顿
temporarily	 [tempəˈrerɪlɪ]	adv. 	暂时地；临时地
EXPLAINS		v. 	讲解，解释( explain的第三人称单数 )；说明…的原因，辩解；说明，解释，辩解
puts	 [pʊts]	v. 	放( put的第三人称单数 )；表达；给予（重视、信任、价值等）；使处于（某种状态）
TACTICS		abbr. 	tactile image creation system 触觉的图像建立系统；Technical Assistance Consortium to Improve College Services 改进大学设施的技术援助协会
decent	 [ˈdi:snt]	adj. 	正派的；得体的；（服装等）相称的，合宜的；相当好的
ranks	 ['ræŋks]	n. 	排( rank的名词复数 )；等级；地位；军衔
trim	 [trɪm]	vt. 	修剪；整理；装饰
		adj. 	整齐的，整洁的；修长的；苗条的
		n. 	整齐；修剪；健康状态；装束
		vi. 	削减
Donald	 [ˈdɔnəld]	n. 	唐纳德（男子名，涵义：世界领袖）
Inc		n. 	（有限）公司，包括
hotels		n. 	酒店( hotel的名词复数 )；饭店；宾馆；大旅馆
PARKS		n. 	公园( park的名词复数 )；停车场
injured	 [ˈɪndʒəd]	adj. 	受伤的；受损害的；损伤感情的
		v. 	损害(injure的过去式)；伤害（名誉、自尊等）；（尤指在事故中）伤害；使受伤
compromise	 [ˈkɒmprəmaɪz]	n. 	妥协；（名誉等的）损害；妥协（或折中）方案；折中物
		vi. 	折中解决；妥协，退让
		vt. 	违背（原则）；连累；（尤指因行为不很明智）使陷入危险
pioneer	 [ˌpaɪəˈnɪə(r)]	n. 	拓荒者；开发者；先驱者；创始者
		vt. 	开拓，开发；做（…的）先锋；提倡
ninth	 [naɪnθ]	n. 	第九；九分之一
		adj. 	第九的；九分之一的
purchased	 ['pɜ:tʃəst]	adj. 	购买的，买到的
		v. 	购买( purchase的过去式和过去分词 )；购买东西
grabbed	 [græbd]	v. 	抢先，抢占( grab的过去式和过去分词 )；（尤指匆忙地）取；攫取；（尤指自私、贪婪地）捞取
Florida	 ['flɒrɪdə]	n. 	弗罗里达州（美国）
physically	 [ˈfɪzɪkli]	adv. 	体格上，身体上；物理上；完全地
strikes		n. 	袭击( strike的名词复数 )；罢工[课，市]；突然发现
		v. 	打( strike的第三人称单数 )；击；敲响；报时
grip	 [grɪp]	n. 	紧握，抓牢；握力；掌握，理解；能力，胜任
		vt. 	握紧，抓牢；吸引住：吸引…的兴趣或注意力；引起
		vi. 	抓牢，紧握：保持紧握
guys		n. 	家伙，伙计( guy的名词复数 )；（架设天线、支撑帐篷等用的）牵索；[复数]各位；一群男人（或女人）
Buck	 [bʌk]	 	巴克（姓氏； Pearl, 1892-1973，即赛珍珠，本名Sydenstricker,美国女小说家，曾获1938年诺贝尔文学奖）
Arnold	 [ˈɑ:nəld]	n. 	阿诺德（男子名）
tournament	 [ˈtʊənəmənt]	n. 	锦标赛，联赛；中世纪的骑士比武；锦标赛
Invitation	 [ˌɪnvɪˈteɪʃn]	n. 	招待，邀请；请柬，请帖；引诱，吸引，诱惑
fitted	 [ˈfɪtɪd]	adj. 	合适的；订做的；有…设备的；按实物尺寸做的
		v. 	适应(fit的过去分词)；合适；为…提供设备；相配，属于
boss	 [bɒs]	n. 	老板，上司；领袖，首领；[机]轴套，套筒
		vt. 	当…的首领；管理，指挥
		vi. 	当首领；发号施令
		adj. 	很好的，一流的
chapel	 [ˈtʃæpl]	n. 	小教堂，附属教堂；（在小教堂和附属礼拜堂举行的）礼拜仪式；特殊小房间；殡仪馆
promises	 ['prɒmɪsɪz]	n.& v. 	承诺，允诺
		n. 	承诺( promise的名词复数 )；获得成功的迹象；吉兆
		v. 	允诺( promise的第三人称单数 )；答应；有…希望；预示
clothing	 [ˈkləʊðɪŋ]	n. 	衣服；服装；[航]帆装
		v. 	覆盖(clothe的现在分词)；给…提供衣服
slim	 [slɪm]	adj. 	苗条的，纤细的；微小的；细长的；无价值的
		vi. 	使苗条；减肥
improvements	 [ɪmp'ru:vmənts]	n. 	增加或修改( improvement的名词复数 )；改进；改善；改良
secrets		n. 	秘密，机密( secret的名词复数 )
hidden	 [ˈhɪdn]	adj. 	隐藏的；神秘的；秘密的
		v. 	隐藏( hide的过去分词)
converted	 [kən'vɜ:tɪd]	adj. 	更换信仰的，修改的
		v. 	（使）转变( convert的过去式和过去分词 )；（使）转化；皈依；改变（信仰）
Retail	 [ˈri:teɪl]	n. 	零售
		vt. 	零售；零卖；转述；传播
		adj. 	零售的
		adv. 	以零售方式
guided	 [ˈgaɪdɪd]	v. 	引路( guide的过去式和过去分词 )；指导；操纵；影响
brushed	 [brʌʃt]	adj. 	（布）非常柔软的，起绒的
newer	 [n'ju:ər]	 	较新的(new的比较级)
warrant	 [ˈwɒrənt]	n. 	授权证；许可证；正当理由；依据
		vt. 	保证，担保；授权，批准；辩解
thereafter	 [ˌðeərˈɑ:ftə(r)]	adv. 	此后，在那之后；〈罕〉据此
Foil		 	[人名] 福伊尔
notable	 [ˈnəʊtəbl]	adj. 	值得注意的；显著的；著名的
		n. 	名人；显要人物
likes		n. 	爱好，喜欢的东西
		v. 	喜欢( like的第三人称单数 )；（与 would 或 should 连用表示客气）想；想要；喜欢做
indication	 [ˌɪndɪˈkeɪʃn]	n. 	指示；象征；表明；标示
tones		n. 	音( tone的名词复数 )；色调；腔调；全音 （英式英语）
CAFE		abbr. 	Conventional Armed Forces in Europe 欧洲常规武装力量；Compania Americana de Fomento Economico （西班牙语）美洲经济振兴公司；Corporate Average Fuel Economy (Act) 公司平均燃料经济；Corporate Average Fuel Economy 公司平均燃料节约
figured	 [ˈfɪgəd]	adj. 	以图形和数字表示的，华丽的
Abel	 [ˈeibəl]	n. 	亚伯(故事中亚当和夏娃的次子，被其兄该隐所杀)
reactionary	 [riˈækʃənri]	adj. 	反动的；保守的；[化]反应的
		n. 	反动派；保守分子
blonde	 [blɒnd]	n. 	白肤金发碧眼女人
		adj. 	（头发）亚麻色的，金色的；白皙的；白肤金发碧眼的
lobby	 [ˈlɒbi]	n. 	门厅，大厅；休息室；游说团；投票厅
		vi. 	为了支持或抵制某项特定目标游说
		vt. 	对…进行游说；陈情（试图努力影响某人采取有利行动）
Renaissance	 [rɪ'neɪsns]	 	文艺复兴
responded		v. 	回答，回报，响应( respond的过去式和过去分词 )；有反应；有效果；有影响
founded		adj. 	有基础的
		v. 	创办，成立(found的过去式和过去分词)
fantastic	 [fænˈtæstɪk]	adj. 	极好的；很大的；怪诞的；不切实际的
vs		abbr. 	versus 对
binding	 [ˈbaɪndɪŋ]	n. 	捆绑；（衣服等的）镶边；粘合剂；书籍的封面
		adj. 	捆绑的；粘合的；（书面材料）有约束力的；应履行的
		v. 	约束( bind的现在分词)；装订；捆绑；（用长布条）缠绕
landscape	 [ˈlændskeɪp]	n. 	风景；风景画；乡村风景画；地形
		vt. 	对…做景观美化，给…做园林美化；从事庭园设计
		vi. 	美化（环境等），使景色宜人；做庭园设计师
amazing	 [əˈmeɪzɪŋ]	adj. 	令人惊异的
		vt. 	使大为吃惊，使惊奇( amaze的现在分词)；使惊异：感到非常好奇
		n. 	吃惊；好奇
passages		n. 	通道( passage的名词复数 )；经过；通路；（文章的）一段
reporter	 [rɪˈpɔ:tə(r)]	n. 	记者
cooperative	 [kəʊ'ɒpərətɪv]	adj. 	合作的；协助的；共同的；〈美〉（大学文科）有关[包含]各种实习活动的
		n. 	合作社，联合体
Alabama	 [ˌælə'bæmə]	n. 	亚拉巴马（美国州名）
happily	 [ˈhæpɪli]	adv. 	快乐地；幸运地，幸福地；巧合地，适当地；〈古〉偶然
shadows		n. 	阴影( shadow的名词复数 )；影子；（坏）影响；形影不离的人[物]
rises		v. 	起义( rise的第三人称单数 )；升起；（数量）增加；休会
Fortunately	 [ˈfɔ:tʃənətli]	adv. 	幸运地
endless	 [ˈendləs]	adj. 	无尽的，无边的；没完没了的；永久的；环形的，无端的
minority	 [maɪˈnɒrəti]	n. 	少数；少数民族；未成年
overwhelming	 [ˌəʊvəˈwelmɪŋ]	adj. 	势不可挡的，压倒一切的，巨大的；压倒一切的欢乐
jungle	 [ˈdʒʌŋgl]	n. 	（热带）丛林；丛林音乐；乱七八糟的一堆事物；尔虞我诈的环境
convictions		n. 	确信( conviction的名词复数 )；判罪；定罪；证明有罪
fascinating	 [ˈfæsɪneɪtɪŋ]	adj. 	迷人的，有极大吸引力的；使人神魂颠倒的
		v. 	使…陶醉(fascinate的ing形式)
accordance	 [əˈkɔ:dns]	n. 	一致；和谐；给予
motives		n. 	动机，目的( motive的名词复数 )
listeners	 ['lɪsnəz]	n. 	倾听者，收听者( listener的名词复数 )；听众
distinctive	 [dɪˈstɪŋktɪv]	adj. 	有特色的，与众不同的；区别的，鉴别性的；独特；特异
styles	 [staɪls]	n. 	风度( style的名词复数 )；风格；作风；种类
bones	 [bəʊnz]	n. 	骨骼，尸体；骨头( bone的名词复数 )；尸骨；骨质物；有…样的骨头的
wit	 [wɪt]	n. 	机智；才智，智慧；富有机智的人；打趣话，玩笑话
solely	 [ˈsəʊlli]	adv. 	唯一地；仅仅；独一无二地；纯粹
SOCIALISM	 [ˈsəʊʃəlɪzəm]	n. 	社会主义
grains	 [greɪnz]	n. 	双齿[多齿]鱼叉；谷粒( grain的名词复数 )；少量；小的硬粒；（天然）纹理
sixteen	 [ˌsɪksˈti:n]	n. 	十六，十六个；十六岁；十六点钟；十六的记号
		num. 	十六；第十六
		adj. 	十六的；十六个的
creatures	 ['kri:tʃəz]	n. 	生物，动物( creature的名词复数 )；人
biological	 [ˌbaɪəˈlɒdʒɪkl]	adj. 	生物学的；生物的；与生物学相关的；有血亲关系的
		n. 	[药]生物制品，生物制剂
Twentieth	 ['twentɪəθ]	n. 	二十分之一；（某月的）二十日
		adj. 	第二十的；二十分之一的
		num. 	第二十
mm		abbr. 	=megameter；=millimeter；=millimicron
historians	 [hɪs'tɔ:rɪənz]	n. 	历史学家，史学工作者( historian的名词复数 )
authentic	 [ɔ:ˈθentɪk]	adj. 	真的，真正的；可信的，可靠的；有根据的；[法]认证了的
Laura		n. 	劳拉（女人名）
Dolores		n. 	德洛丽丝(f.)
leaped	 [li:pt]	v. 	跳( leap的过去式和过去分词 )；猛然行动；骤增；剧增
Doc		abbr. 	doctor 医生，博士
transformation	 [ˌtrænsfəˈmeɪʃn]	n. 	变化；转换；转换；变换
theories	 ['θɪərɪz]	n. 	学说( theory的名词复数 )；理论；原理；意见
BC	 [ˌbi:'si:]	abbr. 	before Christ 公元前（基督教会历法用）；British Columbia （加拿大）不列颠哥伦比亚省；bachelor of commerce 化学学士
relating	 [rɪ'leɪtɪŋ]	v. 	（把…）联系起来( relate的现在分词 )；讲述，叙述
probabilities		n. 	可能性，可能发生的事( probability的名词复数 )；概率
anticipation	 [ænˌtɪsɪˈpeɪʃn]	n. 	期待，希望；预期，预测，预感；（信托财产收益的）预支
fractions	 [f'rækʃnz]	n. 	分数( fraction的名词复数 )；小部分；分裂；[化学]（分）馏（部）分
Cathy		n. 	凯茜，女子名
		 	[女子名] 卡西 Catherine,Cathleen,Cathryn等的昵称
Boots		 	布茨（男子名）
mustard	 [ˈmʌstəd]	n. 	芥末，芥菜；芥末色，深黄色；强烈的兴趣；热情的人
Michelangelo		n. 	米开朗基罗(1475-1564，意大利文艺复兴时期成就卓著的科学家，艺术家)
cheek	 [tʃi:k]	n. 	脸颊，脸蛋；无礼而放肆的行为，厚颜；半边屁股；两侧相对的物体
		vt. 	对…无礼地说话
assessors	 [ə'sesəz]	n. 	技术顾问( assessor的名词复数 )；评税员；陪审法官；鉴定器
peered		v. 	凝视( peer的过去式和过去分词 )；盯着看；同等；比得上
crawled		v. 	爬( crawl的过去式和过去分词 )；（昆虫）爬行；缓慢行进；巴结
nude	 [nju:d]	adj. 	裸体的；无装饰的；[法]无效的，无偿的
		n. 	裸体；裸体像
Okay		 	[人名] 奥凯
Borden		 	[人名] 博登；[地名] [澳大利亚、加拿大、美国] 博登
Plato	 ['pleɪtəʊ]	n. 	(427-347BC,古希腊哲学家)柏拉图
Oedipus	 [ˈi:dipəs,ˈedipəs]	n. 	俄狄浦斯
lungs	 ['lʌŋz]	n. 	肺( lung的名词复数 )；肺脏
input	 [ˈɪnpʊt]	n. 	输入，投入；输入电路；输入端；输入的数据
		vt. 	把…输入电脑；[自][电子] 输入；输入，给料
suitcase	 [ˈsu:tkeɪs]	n. 	手提箱；衣箱
BOD		abbr. 	Biochemical Oxygen Demand 生化需氧量
Freddy		 	[男子名] 弗雷迪 Frederic,Frederick等的昵称；[女子名] 弗雷迪 Frederica的昵称
airport	 [ˈeəpɔ:t]	n. 	机场；航空站
Gov		abbr. 	Governor 长官；总督；省长；州长
consistently	 [kən'sɪstəntlɪ]	adv. 	一贯地，坚持地，固守地；总
policeman	 [pəˈli:smən]	n. 	（男）警察，警员；看守矿井的人；[化] 淀帚
folks	 ['fəʊks]	n. 	人们；父母；亲人；家属；人们( folk的名词复数 )；亲属；大伙儿；民间音乐
underground	 [ˈʌndəgraʊnd]	adj. 	地下的；秘密的；先锋派的；隐蔽的
		adv. 	在地下；秘密地，偷偷地
		n. 	地铁；地下组织或活动；地道；地下
remainder	 [rɪˈmeɪndə(r)]	n. 	剩余物；其他人员；差数；廉价出售的图书
		vt. 	廉价出售（书）；廉价出售
		adj. 	剩余的；留存下的
whereby	 [weəˈbaɪ]	adv. 	通过…；借以；与…一致
imposed		adj. 	自己担负的
		v. 	强迫( impose的过去式和过去分词 )；勉强（某人做某事）；推行；[印刷]把…装版
discharge	 [dɪsˈtʃɑ:dʒ]	vt. 	下（客）；卸船；免除（自己的义务、负担等）；执行
		vt.& vi. 	放出；流出；开枪；发射
		n. 	（气体、液体如水从管子里）流出；排放出的物体
		vi. 	（船、飞机等）卸货；（颜料、墨水或染料等）化开；卸掉负担（或负载）；下客
AVOIDED	 [ə'vɔɪdɪd]	v. 	避开，避免，预防( avoid的过去式和过去分词 )；[法律]宣布（判决、抗辩等）无效；使无效；废止，撤销
Cuban	 [ˈkju:bən]	n. 	古巴人
		adj. 	古巴（人）的
Arkansas	 [ˈɑ:kənsɔ:]	n. 	阿肯色州（美国中南部的州）
enforcement	 [ɪn'fɔ:smənt]	n. 	强制，实施，执行
commissioner	 [kəˈmɪʃənə(r)]	n. 	专员；委员；长官；职业运动组织的行政管理员
Appeals		n. 	上诉( appeal的名词复数 )；[体育]诉请；呼吁；（迫切的）要求（帮助、同情等）恳求
		v. 	（迫切）要求( appeal的第三人称单数 )；有吸引力；求助（于）；提请注意
supervision	 [ˌsju:pə'vɪʒn]	n. 	监督；管理；监督的行为、过程或作用
interviews		n. 	接见( interview的名词复数 )；采访；面谈；会谈
		v. 	面试( interview的第三人称单数 )；访问；会见；（私下）提问
politicians	 [pɒlɪ'tɪʃnz]	n. 	政治家( politician的名词复数 )；政客，玩弄权术者
Elementary	 [ˌelɪˈmentri]	adj. 	基本的；初级的；[化]元素的；初等
stresses		n. 	强调( stress的名词复数 )；重音；压力；重力
		v. 	重读( stress的第三人称单数 )；[机械学]使承受压力；给…加压力（或应力）
directors	 [dɪ'rektəz]	n. 	主管( director的名词复数 )；董事；负责人；导演
Continental		 	[地名] [美国] 康特嫩特尔
filing	 [ˈfaɪlɪŋ]	n. 	整理成档案，文件归档，锉
		v. 	提出（离婚诉讼或其他讼案）( file的现在分词 )；把…归档；用锉锉；（法院或其它行政机关）定案
males	 ['meɪlz]	n. 	男人，雄性动物，雄性植物( male的名词复数 )
guards	 ['gɑrd]	n. 	卫兵( guard的名词复数 )；警戒；警卫队；防护装置
		v. 	保护，控制( guard的第三人称单数 )
Vincent		n. 	文森特（男子名）
SALEM	 ['seɪləm]	n. 	塞伦
specialists	 ['speʃəlɪsts]	n. 	专家，行家( specialist的名词复数 )；专科医生
wiped		v. 	擦( wipe的过去式和过去分词 )；拭；擦去；拭去
slender	 [ˈslendə(r)]	adj. 	苗条的；微薄的；柔弱的
snapped	 [s'næpt]	v. 	猛地咬住（ snap的过去式和过去分词 ）；咔嚓一声折断；厉声地说；拍照
span	 [spæn]	n. 	共轭（马、骡）；跨度，墩距；一段时间；[航] 跨绳
		vt. 	缚住或扎牢；跨越时间或空间；以掌测量；以手围绕测量类似测量
drank	 [dræŋk]	v. 	喝（酒）( drink的过去式 )；饮；喝酒；（尤指）酗酒
fathers		n. 	父亲( father的名词复数 )；祖先；（尤指天主教和东正教的）神父；天父
Frederick		n. 	弗雷德里克（男子名）
		 	[男子名] [英格兰人姓氏] 弗雷德里克来源于日耳曼语人名，含义是“和平+权力”(peace+power) 昵称Fred,Freddie,Freddy；[地名] [美国] 弗雷德里克
toast	 [təʊst]	n. 	干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
		vt.& vi. 	向…祝酒，为…干杯
		vi. 	烤火，取暖；使暖和；烘烤（面包片等）
Lover	 [ˈlʌvə]	 	洛弗（姓氏）
Calif		abbr. 	California 加利福尼亚（州）；Californian 加利福尼亚州人，加州的
solved		v. 	解决( solve的过去式和过去分词 )；解答；解释；揭示
Theology	 [θiˈɒlədʒi]	n. 	神学
victims	 ['vɪktɪmz]	n. 	牺牲者( victim的名词复数 )；牺牲品；受骗者；为祭祀杀死的动物（或人）
packed	 [pækt]	adj. 	充满…的；塞满了…的
		v. 	包装(pack的过去式和过去分词)
lacked		v. 	缺乏，缺少( lack的过去式和过去分词 )
condemned	 [kən'demd]	adj. 	被责难的，被宣告有罪的；被认为不当的，受谴责的；被认为不适用的
		v. 	condemn的过去式和过去分词)
documents		n. 	（计算机）文档( document的名词复数 )；证件；公文；[用复数]票据
eve	 [i:v]	n. 	前夕，前夜；重要事件的前夕；傍晚
entries		n. 	entry 的复数形式；进入( entry的名词复数 )；入口处；入场权；参赛的人[物]
wildlife	 [ˈwaɪldlaɪf]	n. 	野生的鸟兽等
		adj. 	野生生物的
livestock	 [ˈlaɪvstɒk]	n. 	家畜，牲畜
youngster	 [ˈjʌŋstə(r)]	n. 	年轻人；小孩子；少年
businesses	 ['bɪznəsɪz]	n. 	事情( business的名词复数 )；商业；营业额；交易
shipping	 [ˈʃɪpɪŋ]	n. 	[船]船舶；船舶总数；航运，海运；运送
		v. 	运送，乘船(ship的ing形式)
earnings	 [ˈɜ:nɪŋz]	n. 	收入，所得；工资，报酬；收益，利润
makers		n. 	制造者，制造商（maker的复数形式）
gains	 ['ɡeɪnz]	n. 	利润( gain的名词复数 )；[土木工程]腰槽；获益
		v. 	获得( gain的第三人称单数 )；赢得；增加；（钟、表）走快
venture	 [ˈventʃə(r)]	n. 	冒险事业；冒险；冒险行动；商业冒险
		vt. 	冒…的危险；拿…冒险；用…进行投机；以…做赌注
		vi. 	冒险前进，冒险行事；猜测（常与at连用）
allows	 [ə'laʊz]	v. 	允许( allow的第三人称单数 )；承认；酌增；接受
toes		n. 	脚趾；脚趾( toe的名词复数 )；（鞋，袜的）足尖部；脚趾状物
loves		v. 	爱，热爱( love的第三人称单数 )；喜爱；喜好；喜欢
Mexico	 ['meksɪkəʊ]	n. 	墨西哥
ham	 [hæm]	n. 	火腿；（旧时的）小镇，村庄；大腿后部；拙劣演员（尤指表演过火者）
		vi. 	表情夸张，表演过火
		adj. 	过火的，做作的；蹩脚的；自满的；搞业余无线电收发报的
dreamed	 [dri:md]	v. 	做梦，向往( dream的过去式和过去分词 )；想到，料到；[常用于疑问句或否定句]考虑到，想到，料到；虚度（光阴），（在空想中）度过（时间），迷迷糊糊地度过（与 away,out 连用）
